               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13466,            0.029412,                   0,                   0,                   0,                   0,                   0,             0.11014,           0.0029063,                   0,            0.070158,           0.0033158,           0.0033158
                   1,             0.12681,           0.0032662,                   0,                   0,                   0,                   0,                   0,             0.10901,          0.00014923,                   0,            0.040125,           0.0066162,           0.0066162
                   2,             0.12848,           0.0012657,                   0,                   0,                   0,                   0,                   0,             0.10888,          0.00012071,                   0,            0.010059,           0.0098836,           0.0098836
                   3,              0.1256,          0.00076038,                   0,                   0,                   0,                   0,                   0,             0.10881,          9.8983e-05,                   0,           0.0098515,           0.0098515,           0.0098515
                   4,             0.12843,          0.00059992,                   0,                   0,                   0,                   0,                   0,             0.10877,          9.0102e-05,                   0,           0.0098515,           0.0098515,           0.0098515
                   5,             0.12839,          0.00073638,                   0,                   0,                   0,                   0,                   0,             0.10882,           0.0001593,                   0,            0.009802,            0.009802,            0.009802
                   6,             0.12651,          0.00084068,                   0,                   0,                   0,                   0,                   0,             0.10875,          0.00012082,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,             0.12564,           0.0010532,                   0,           0.0055249,           0.0023337,           0.0028011,          0.00070408,               0.109,           0.0008588,                   0,            0.009703,            0.009703,            0.009703
                   8,             0.12645,            0.001067,                   0,           0.0074153,            0.016336,           0.0039645,           0.0010639,             0.10876,          0.00042178,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,             0.12588,           0.0011364,                   0,           0.0077178,            0.016336,           0.0040947,           0.0012851,             0.10886,          0.00073332,                   0,            0.009604,            0.009604,            0.009604
                  10,             0.12821,           0.0012209,                   0,           0.0088496,           0.0011669,           0.0045208,           0.0013562,             0.10871,          7.3989e-05,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,              0.1245,           0.0012869,                   0,           0.0041715,            0.050175,           0.0036978,          0.00079147,              0.1088,          0.00072843,                   0,            0.009505,            0.009505,            0.009505
                  12,             0.12524,           0.0014531,                   0,            0.005733,            0.032672,           0.0038754,          0.00093607,             0.10871,          0.00052673,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,             0.12539,           0.0017505,                   0,            0.033869,             0.14702,            0.015601,           0.0035007,             0.10846,           0.0032032,                   0,            0.009406,            0.009406,            0.009406
                  14,             0.12499,           0.0021767,                   0,           0.0028116,           0.0035006,           0.0019522,           0.0003869,              0.1087,          0.00010451,                   0,           0.0093565,           0.0093565,           0.0093565
                  15,             0.12627,           0.0022664,                   0,             0.01185,            0.047841,           0.0094905,           0.0029105,             0.10867,          0.00058879,                   0,            0.009307,            0.009307,            0.009307
                  16,             0.12637,           0.0025417,                   0,             0.12698,            0.072345,            0.034471,           0.0074163,             0.10819,           0.0024402,                   0,           0.0092575,           0.0092575,           0.0092575
                  17,             0.12336,           0.0028747,                   0,            0.098685,             0.10035,            0.030032,           0.0074622,             0.10805,           0.0018075,                   0,            0.009208,            0.009208,            0.009208
                  18,             0.12594,           0.0028664,                   0,            0.076296,             0.14702,             0.03598,           0.0080682,             0.10781,           0.0035776,                   0,           0.0091585,           0.0091585,           0.0091585
                  19,              0.1236,           0.0028472,                   0,           0.0076046,           0.0023337,           0.0087731,           0.0037169,             0.10867,          0.00012495,                   0,            0.009109,            0.009109,            0.009109
                  20,             0.12425,           0.0032525,                   0,              0.1131,            0.092182,            0.027865,           0.0065529,               0.108,            0.002095,                   0,           0.0090595,           0.0090595,           0.0090595
                  21,             0.12962,           0.0032982,                   0,              0.2111,             0.11319,            0.061258,            0.015023,              0.1072,           0.0040588,                   0,             0.00901,             0.00901,             0.00901
                  22,             0.12685,           0.0037219,                   0,             0.22461,             0.15403,            0.092892,            0.021002,             0.10663,           0.0056314,                   0,           0.0089605,           0.0089605,           0.0089605
                  23,             0.12419,           0.0038232,                   0,             0.25961,             0.15986,             0.10068,            0.025453,             0.10641,           0.0053631,                   0,            0.008911,            0.008911,            0.008911
                  24,             0.12369,           0.0041099,                   0,             0.26238,             0.16219,             0.11606,            0.028454,             0.10582,           0.0062466,                   0,           0.0088615,           0.0088615,           0.0088615
                  25,              0.1271,           0.0044087,                   0,             0.25218,             0.14469,            0.088403,            0.023607,             0.10681,            0.003864,                   0,            0.008812,            0.008812,            0.008812
                  26,             0.12253,           0.0048014,                   0,             0.33221,              0.2217,             0.18213,            0.044909,             0.10515,           0.0072168,                   0,           0.0087625,           0.0087625,           0.0087625
                  27,             0.12387,           0.0042372,                   0,             0.27689,             0.24154,             0.16635,            0.042523,             0.10521,           0.0067301,                   0,            0.008713,            0.008713,            0.008713
                  28,             0.12718,            0.004226,                   0,             0.30012,             0.21704,             0.15287,            0.040633,              0.1051,           0.0067209,                   0,           0.0086635,           0.0086635,           0.0086635
                  29,             0.12741,            0.004265,                   0,              0.3604,             0.23454,             0.19423,            0.049856,             0.10477,           0.0075041,                   0,            0.008614,            0.008614,            0.008614
                  30,             0.12421,           0.0049131,                   0,             0.36218,              0.2252,             0.18854,            0.048951,             0.10494,           0.0071014,                   0,           0.0085645,           0.0085645,           0.0085645
                  31,             0.12527,           0.0049031,                   0,             0.40967,             0.29071,             0.25502,            0.065035,             0.10427,           0.0080964,                   0,            0.008515,            0.008515,            0.008515
                  32,             0.12314,           0.0054766,                   0,             0.35095,             0.29405,             0.22914,            0.058126,             0.10449,           0.0079467,                   0,           0.0084655,           0.0084655,           0.0084655
                  33,             0.12465,           0.0049487,                   0,             0.38712,             0.27421,             0.25417,            0.069655,              0.1043,            0.007589,                   0,            0.008416,            0.008416,            0.008416
                  34,             0.12237,           0.0057811,                   0,             0.42307,             0.27888,             0.22848,            0.058846,             0.10474,           0.0064065,                   0,           0.0083665,           0.0083665,           0.0083665
                  35,             0.12223,           0.0046404,                   0,              0.4232,             0.33022,             0.26979,            0.066552,             0.10411,             0.00822,                   0,            0.008317,            0.008317,            0.008317
                  36,             0.12361,           0.0055401,                   0,             0.41302,             0.30572,              0.2639,            0.066206,             0.10404,           0.0075588,                   0,           0.0082675,           0.0082675,           0.0082675
                  37,             0.12375,           0.0056302,                   0,             0.45773,             0.34772,             0.31971,            0.083024,              0.1031,           0.0084372,                   0,            0.008218,            0.008218,            0.008218
                  38,             0.12135,           0.0054373,                   0,             0.42153,             0.32905,             0.27333,            0.068839,             0.10368,           0.0077858,                   0,           0.0081685,           0.0081685,           0.0081685
                  39,              0.1289,           0.0054012,                   0,             0.42727,             0.31505,             0.30432,            0.085781,             0.10296,            0.009065,                   0,            0.008119,            0.008119,            0.008119
                  40,             0.12399,           0.0062848,                   0,             0.46908,             0.36289,             0.33067,             0.08515,             0.10314,           0.0093222,                   0,           0.0080695,           0.0080695,           0.0080695
                  41,             0.12315,           0.0060556,                   0,             0.48512,             0.38156,             0.35614,             0.09468,             0.10269,            0.009429,                   0,             0.00802,             0.00802,             0.00802
                  42,             0.12192,           0.0062367,                   0,             0.46795,              0.3839,             0.33781,            0.098368,             0.10246,           0.0096194,                   0,           0.0079705,           0.0079705,           0.0079705
                  43,             0.12568,           0.0062772,                   0,             0.50743,             0.36989,              0.3415,            0.095261,             0.10261,           0.0084318,                   0,            0.007921,            0.007921,            0.007921
                  44,             0.12248,           0.0052542,                   0,             0.48515,             0.30455,             0.28499,            0.079557,             0.10363,           0.0070257,                   0,           0.0078715,           0.0078715,           0.0078715
                  45,             0.12556,           0.0066648,                   0,             0.54748,             0.41928,             0.38897,             0.10128,             0.10231,           0.0098829,                   0,            0.007822,            0.007822,            0.007822
                  46,             0.12527,           0.0062994,                   0,             0.55333,             0.43641,             0.40852,             0.10932,             0.10203,           0.0097504,                   0,           0.0077725,           0.0077725,           0.0077725
                  47,             0.12564,           0.0063613,                   0,             0.50136,             0.41424,             0.36338,             0.10047,             0.10195,           0.0096817,                   0,            0.007723,            0.007723,            0.007723
                  48,             0.12001,           0.0064259,                   0,             0.51067,             0.39212,             0.35537,             0.10131,             0.10224,           0.0091934,                   0,           0.0076735,           0.0076735,           0.0076735
                  49,             0.12534,           0.0055085,                   0,             0.49048,              0.3734,             0.32999,            0.087904,              0.1031,           0.0087779,                   0,            0.007624,            0.007624,            0.007624
                  50,             0.12357,           0.0060746,                   0,             0.55788,             0.41774,             0.39501,             0.10785,             0.10206,           0.0090507,                   0,           0.0075745,           0.0075745,           0.0075745
                  51,             0.12675,           0.0060289,                   0,             0.56361,             0.42499,             0.40267,             0.11435,              0.1017,           0.0094757,                   0,            0.007525,            0.007525,            0.007525
                  52,             0.12127,           0.0068495,                   0,             0.55133,             0.42442,             0.41513,             0.11644,             0.10146,            0.010127,                   0,           0.0074755,           0.0074755,           0.0074755
                  53,             0.12222,           0.0071719,                   0,              0.5766,             0.44335,             0.45979,             0.13334,               0.101,            0.010516,                   0,            0.007426,            0.007426,            0.007426
                  54,              0.1235,           0.0075391,                   0,             0.57076,             0.46081,             0.44079,             0.12175,             0.10149,           0.0099325,                   0,           0.0073765,           0.0073765,           0.0073765
                  55,             0.12398,           0.0063135,                   0,             0.58262,             0.45391,             0.43648,             0.12958,             0.10137,            0.009704,                   0,            0.007327,            0.007327,            0.007327
                  56,             0.12303,           0.0069003,                   0,             0.56078,             0.45974,             0.42752,             0.12808,             0.10125,            0.010039,                   0,           0.0072775,           0.0072775,           0.0072775
                  57,             0.12197,           0.0068498,                   0,             0.59121,             0.44341,             0.44065,             0.13493,             0.10101,            0.010059,                   0,            0.007228,            0.007228,            0.007228
                  58,             0.12254,            0.006443,                   0,               0.531,             0.40257,             0.38399,             0.10915,             0.10235,           0.0089216,                   0,           0.0071785,           0.0071785,           0.0071785
                  59,             0.12326,           0.0073775,                   0,               0.564,             0.47375,             0.45024,             0.13068,             0.10095,             0.01042,                   0,            0.007129,            0.007129,            0.007129
                  60,             0.12303,           0.0062421,                   0,             0.57385,             0.42007,             0.38885,             0.12029,             0.10187,           0.0083459,                   0,           0.0070795,           0.0070795,           0.0070795
                  61,             0.12139,           0.0066547,                   0,             0.56876,             0.46674,             0.44235,             0.13352,             0.10094,           0.0098985,                   0,             0.00703,             0.00703,             0.00703
                  62,              0.1224,           0.0068262,                   0,             0.56248,             0.45158,             0.44936,             0.14086,             0.10083,           0.0099065,                   0,           0.0069805,           0.0069805,           0.0069805
                  63,             0.12149,           0.0067453,                   0,             0.54985,             0.47462,             0.44411,             0.13903,             0.10101,           0.0097399,                   0,            0.006931,            0.006931,            0.006931
                  64,             0.12073,           0.0069875,                   0,             0.61073,             0.46683,              0.4556,             0.14253,              0.1009,           0.0094388,                   0,           0.0068815,           0.0068815,           0.0068815
                  65,             0.11936,            0.006987,                   0,             0.57419,             0.48658,             0.46968,             0.13813,             0.10072,            0.010488,                   0,            0.006832,            0.006832,            0.006832
                  66,             0.12102,           0.0076408,                   0,             0.59357,              0.4154,             0.41906,             0.13134,             0.10149,           0.0086727,                   0,           0.0067825,           0.0067825,           0.0067825
                  67,             0.12357,           0.0063734,                   0,             0.58561,             0.47958,             0.47407,             0.14322,             0.10042,            0.010253,                   0,            0.006733,            0.006733,            0.006733
                  68,             0.12369,           0.0079437,                   0,             0.53615,             0.46908,             0.43488,             0.13367,              0.1011,            0.010226,                   0,           0.0066835,           0.0066835,           0.0066835
                  69,             0.12297,           0.0065948,                   0,             0.59641,              0.4294,             0.43862,             0.13158,             0.10147,           0.0089944,                   0,            0.006634,            0.006634,            0.006634
                  70,             0.12314,           0.0065213,                   0,             0.60377,             0.49592,             0.48159,             0.14557,             0.10057,           0.0099227,                   0,           0.0065845,           0.0065845,           0.0065845
                  71,               0.121,           0.0076764,                   0,             0.60421,             0.47725,             0.45966,             0.14084,             0.10067,            0.010346,                   0,            0.006535,            0.006535,            0.006535
                  72,             0.11964,            0.007241,                   0,             0.60666,             0.52742,             0.50261,             0.15732,             0.10021,            0.010131,                   0,           0.0064855,           0.0064855,           0.0064855
                  73,             0.11842,           0.0069585,                   0,             0.62558,             0.52975,             0.52656,             0.16627,            0.099822,            0.010846,                   0,            0.006436,            0.006436,            0.006436
                  74,             0.12286,           0.0072329,                   0,             0.64341,             0.50642,             0.49925,             0.14549,             0.10036,            0.010464,                   0,           0.0063865,           0.0063865,           0.0063865
                  75,              0.1231,           0.0074524,                   0,             0.59421,             0.51692,             0.50157,             0.15751,              0.1001,             0.01057,                   0,            0.006337,            0.006337,            0.006337
                  76,             0.11966,           0.0074653,                   0,             0.60102,             0.48775,             0.46693,             0.13623,             0.10054,            0.010365,                   0,           0.0062875,           0.0062875,           0.0062875
                  77,             0.11882,            0.008105,                   0,              0.6177,             0.51809,             0.50334,             0.15167,             0.10011,            0.010873,                   0,            0.006238,            0.006238,            0.006238
                  78,             0.11854,           0.0086594,                   0,             0.61141,             0.49937,             0.48179,             0.13682,             0.10041,            0.010766,                   0,           0.0061885,           0.0061885,           0.0061885
                  79,             0.12206,           0.0076765,                   0,             0.60228,             0.50184,             0.47082,             0.14259,             0.10051,            0.010106,                   0,            0.006139,            0.006139,            0.006139
                  80,             0.11872,            0.008222,                   0,             0.64083,             0.55795,             0.52757,             0.15921,            0.099823,            0.010867,                   0,           0.0060895,           0.0060895,           0.0060895
                  81,              0.1212,           0.0080895,                   0,             0.63669,             0.53166,             0.50675,             0.15929,            0.099795,             0.01047,                   0,             0.00604,             0.00604,             0.00604
                  82,             0.12279,           0.0080004,                   0,             0.60673,             0.47141,             0.45731,             0.13722,             0.10054,            0.010371,                   0,           0.0059905,           0.0059905,           0.0059905
                  83,             0.11816,           0.0077479,                   0,             0.61623,             0.53209,             0.52269,             0.16449,            0.099721,            0.011068,                   0,            0.005941,            0.005941,            0.005941
                  84,              0.1203,           0.0080526,                   0,             0.62122,             0.52625,             0.51041,             0.17019,            0.099321,            0.010923,                   0,           0.0058915,           0.0058915,           0.0058915
                  85,             0.12011,           0.0081663,                   0,             0.63483,             0.53909,             0.51245,             0.16832,            0.099579,            0.010576,                   0,            0.005842,            0.005842,            0.005842
                  86,              0.1209,           0.0085461,                   0,             0.59813,             0.49125,             0.48523,             0.15049,             0.10032,            0.010749,                   0,           0.0057925,           0.0057925,           0.0057925
                  87,             0.12165,           0.0074118,                   0,             0.60571,             0.49008,             0.45658,              0.1406,             0.10056,            0.009669,                   0,            0.005743,            0.005743,            0.005743
                  88,             0.12141,           0.0079779,                   0,             0.62199,             0.54259,             0.51795,             0.16536,            0.099775,            0.010725,                   0,           0.0056935,           0.0056935,           0.0056935
                  89,             0.11678,           0.0082238,                   0,             0.61667,             0.51435,             0.48259,             0.16146,             0.10002,            0.010085,                   0,            0.005644,            0.005644,            0.005644
                  90,             0.12401,             0.00812,                   0,             0.62764,             0.50292,             0.49273,             0.15876,              0.1002,           0.0098413,                   0,           0.0055945,           0.0055945,           0.0055945
                  91,             0.12293,           0.0072773,                   0,              0.6342,             0.51692,             0.50317,              0.1698,            0.099915,           0.0096645,                   0,            0.005545,            0.005545,            0.005545
                  92,             0.12246,           0.0067988,                   0,              0.6554,             0.56592,             0.55081,             0.17679,             0.09916,            0.011008,                   0,           0.0054955,           0.0054955,           0.0054955
                  93,             0.12277,           0.0077935,                   0,             0.65955,             0.54026,             0.51402,             0.16875,             0.09984,             0.01027,                   0,            0.005446,            0.005446,            0.005446
                  94,              0.1196,           0.0073546,                   0,             0.65604,             0.55193,             0.52937,             0.17082,            0.099534,            0.010298,                   0,           0.0053965,           0.0053965,           0.0053965
                  95,             0.12133,            0.007939,                   0,             0.66285,             0.57582,             0.54401,             0.17185,            0.099301,            0.010838,                   0,            0.005347,            0.005347,            0.005347
                  96,             0.12107,           0.0086543,                   0,             0.65077,             0.56968,             0.55189,             0.18007,            0.099084,            0.011147,                   0,           0.0052975,           0.0052975,           0.0052975
                  97,             0.12029,           0.0082786,                   0,             0.67158,             0.60608,             0.57791,             0.18708,            0.099064,            0.011436,                   0,            0.005248,            0.005248,            0.005248
                  98,             0.12024,           0.0084527,                   0,             0.66503,              0.5846,             0.59415,             0.19826,            0.098823,            0.011194,                   0,           0.0051985,           0.0051985,           0.0051985
                  99,             0.12055,           0.0073475,                   0,             0.67276,             0.52975,             0.52748,             0.17011,            0.099687,            0.010231,                   0,            0.005149,            0.005149,            0.005149
                 100,             0.12212,           0.0082221,                   0,             0.68469,             0.57265,             0.57008,             0.18478,            0.098919,            0.011124,                   0,           0.0050995,           0.0050995,           0.0050995
                 101,             0.12144,           0.0085771,                   0,             0.66747,             0.57148,             0.57624,              0.1873,            0.098828,            0.011442,                   0,             0.00505,             0.00505,             0.00505
                 102,              0.1182,           0.0083869,                   0,             0.67455,             0.58576,             0.57953,             0.18028,            0.099098,            0.011122,                   0,           0.0050005,           0.0050005,           0.0050005
                 103,             0.12331,           0.0088942,                   0,             0.66947,             0.58343,             0.58103,              0.1845,            0.098825,            0.011291,                   0,            0.004951,            0.004951,            0.004951
                 104,             0.12327,            0.008267,                   0,             0.67605,              0.6091,             0.59635,             0.18769,            0.098864,            0.011225,                   0,           0.0049015,           0.0049015,           0.0049015
                 105,             0.12306,           0.0084395,                   0,             0.66724,             0.58576,             0.57429,             0.18403,            0.098969,            0.011121,                   0,            0.004852,            0.004852,            0.004852
                 106,             0.12314,           0.0079098,                   0,             0.68892,              0.5741,              0.5756,             0.18566,             0.09889,             0.01077,                   0,           0.0048025,           0.0048025,           0.0048025
                 107,             0.11766,            0.007378,                   0,             0.65061,             0.57876,             0.57526,             0.19747,             0.09873,            0.011459,                   0,            0.004753,            0.004753,            0.004753
                 108,             0.12254,            0.008127,                   0,             0.66806,             0.57993,             0.57958,             0.19158,             0.09863,            0.011127,                   0,           0.0047035,           0.0047035,           0.0047035
                 109,              0.1187,           0.0088045,                   0,             0.64413,              0.5846,             0.56755,             0.18451,            0.098768,            0.011255,                   0,            0.004654,            0.004654,            0.004654
                 110,             0.12098,           0.0084898,                   0,              0.6721,             0.59743,             0.59162,             0.20069,             0.09849,             0.01143,                   0,           0.0046045,           0.0046045,           0.0046045
                 111,             0.12337,           0.0088896,                   0,              0.6886,             0.61494,             0.61337,              0.2026,            0.098295,            0.011578,                   0,            0.004555,            0.004555,            0.004555
                 112,              0.1211,             0.00889,                   0,             0.69033,             0.63244,              0.6092,             0.19977,            0.098384,            0.011606,                   0,           0.0045055,           0.0045055,           0.0045055
                 113,             0.12116,           0.0086624,                   0,             0.64996,             0.58576,             0.57247,             0.19694,            0.098509,            0.011454,                   0,            0.004456,            0.004456,            0.004456
                 114,             0.11861,           0.0086838,                   0,             0.69045,             0.60677,             0.60061,             0.20028,            0.098568,            0.011369,                   0,           0.0044065,           0.0044065,           0.0044065
                 115,             0.12227,           0.0081059,                   0,             0.66945,             0.61144,             0.59307,             0.20024,             0.09836,             0.01127,                   0,            0.004357,            0.004357,            0.004357
                 116,              0.1204,           0.0084243,                   0,              0.6956,             0.60327,             0.59331,             0.20397,             0.09821,            0.011158,                   0,           0.0043075,           0.0043075,           0.0043075
                 117,             0.12236,           0.0086951,                   0,             0.70503,             0.62544,             0.62218,             0.21395,            0.098044,            0.011663,                   0,            0.004258,            0.004258,            0.004258
                 118,             0.11837,           0.0085117,                   0,             0.69761,              0.5916,             0.59095,             0.20586,            0.098684,            0.011098,                   0,           0.0042085,           0.0042085,           0.0042085
                 119,             0.12335,           0.0087491,                   0,             0.67748,              0.5916,             0.59309,             0.20976,            0.098203,            0.011435,                   0,            0.004159,            0.004159,            0.004159
                 120,             0.12195,           0.0094476,                   0,             0.69982,             0.59575,             0.60852,             0.20314,             0.09832,            0.011311,                   0,           0.0041095,           0.0041095,           0.0041095
                 121,             0.11831,           0.0086497,                   0,             0.71781,             0.61377,             0.62554,             0.21322,            0.098038,            0.011372,                   0,             0.00406,             0.00406,             0.00406
                 122,             0.12385,           0.0081739,                   0,             0.70088,             0.58693,             0.57101,             0.19968,            0.098401,            0.010655,                   0,           0.0040105,           0.0040105,           0.0040105
                 123,             0.12349,           0.0084109,                   0,             0.69671,             0.60093,             0.60939,             0.21631,            0.097982,            0.011317,                   0,            0.003961,            0.003961,            0.003961
                 124,             0.12059,           0.0089328,                   0,             0.71551,             0.61377,             0.62928,             0.21759,            0.097891,             0.01159,                   0,           0.0039115,           0.0039115,           0.0039115
                 125,             0.12148,            0.009042,                   0,             0.72036,              0.6196,             0.63741,             0.22439,            0.097649,            0.011716,                   0,            0.003862,            0.003862,            0.003862
                 126,              0.1196,           0.0091313,                   0,             0.69819,              0.5916,             0.60766,             0.21395,            0.097824,            0.011503,                   0,           0.0038125,           0.0038125,           0.0038125
                 127,             0.12047,           0.0083727,                   0,             0.69519,              0.6126,             0.61666,             0.22416,            0.097736,            0.011467,                   0,            0.003763,            0.003763,            0.003763
                 128,             0.11963,           0.0092115,                   0,              0.6938,             0.63984,             0.63648,             0.22216,            0.097628,            0.011897,                   0,           0.0037135,           0.0037135,           0.0037135
                 129,             0.11803,           0.0096985,                   0,             0.70386,             0.64527,             0.63843,             0.23158,            0.097509,            0.011969,                   0,            0.003664,            0.003664,            0.003664
                 130,             0.11934,           0.0096323,                   0,             0.70601,             0.63711,             0.64604,             0.23099,            0.097489,             0.01193,                   0,           0.0036145,           0.0036145,           0.0036145
                 131,             0.12274,           0.0090197,                   0,             0.70404,             0.62733,             0.62334,             0.22143,            0.097663,            0.011784,                   0,            0.003565,            0.003565,            0.003565
                 132,             0.11724,           0.0082474,                   0,             0.69849,             0.62194,             0.62546,              0.2317,            0.097456,            0.011672,                   0,           0.0035155,           0.0035155,           0.0035155
                 133,             0.11758,           0.0095673,                   0,             0.70963,             0.63127,             0.64631,              0.2279,            0.097374,            0.011946,                   0,            0.003466,            0.003466,            0.003466
                 134,             0.12047,            0.010048,                   0,             0.67443,             0.59743,              0.6146,             0.22078,            0.097651,            0.011721,                   0,           0.0034165,           0.0034165,           0.0034165
                 135,             0.11942,           0.0096927,                   0,             0.69067,              0.6231,             0.63339,              0.2234,            0.097397,            0.011714,                   0,            0.003367,            0.003367,            0.003367
                 136,             0.11754,           0.0087858,                   0,             0.71944,              0.6553,             0.65156,             0.23465,            0.097189,            0.011664,                   0,           0.0033175,           0.0033175,           0.0033175
                 137,             0.11997,           0.0084653,                   0,             0.70611,              0.6392,              0.6288,             0.23445,            0.097217,            0.011693,                   0,            0.003268,            0.003268,            0.003268
                 138,             0.11875,           0.0095551,                   0,             0.70925,             0.63475,             0.63281,             0.23403,            0.097147,            0.011763,                   0,           0.0032185,           0.0032185,           0.0032185
                 139,             0.11858,           0.0088289,                   0,             0.70574,             0.63244,             0.63154,             0.23456,            0.097151,            0.011759,                   0,            0.003169,            0.003169,            0.003169
                 140,             0.11973,           0.0084618,                   0,             0.71546,              0.6308,             0.63545,             0.23174,            0.097226,            0.011592,                   0,           0.0031195,           0.0031195,           0.0031195
                 141,             0.12178,           0.0089177,                   0,             0.71812,             0.66161,             0.66594,              0.2458,            0.096891,            0.011991,                   0,             0.00307,             0.00307,             0.00307
                 142,             0.12046,           0.0082362,                   0,             0.71788,             0.65228,             0.64631,             0.23604,            0.096967,            0.011923,                   0,           0.0030205,           0.0030205,           0.0030205
