               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10127,            0.019144,                   0,            0.053039,             0.23221,            0.032727,            0.006386,            0.074186,            0.011965,                   0,            0.070158,           0.0033158,           0.0033158
                   1,            0.076764,            0.014093,                   0,             0.40422,              0.4259,             0.34619,            0.093139,             0.05477,            0.011255,                   0,            0.040125,           0.0066162,           0.0066162
                   2,            0.069716,            0.013179,                   0,             0.39906,             0.54242,             0.40115,             0.11172,            0.050213,            0.012217,                   0,            0.010059,           0.0098836,           0.0098836
                   3,            0.061151,            0.012272,                   0,             0.50695,             0.47258,             0.42003,              0.1137,             0.04715,           0.0097235,                   0,           0.0098515,           0.0098515,           0.0098515
                   4,            0.059373,            0.011776,                   0,             0.61548,             0.50875,             0.51296,             0.16269,            0.045182,            0.010226,                   0,           0.0098515,           0.0098515,           0.0098515
                   5,            0.057138,            0.011612,                   0,             0.60299,             0.56826,             0.53234,             0.16465,            0.045143,            0.009482,                   0,            0.009802,            0.009802,            0.009802
                   6,            0.052513,            0.010851,                   0,             0.66004,             0.60941,             0.59886,             0.18481,            0.044255,           0.0091411,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,            0.050508,            0.010636,                   0,             0.72906,             0.69389,             0.68875,             0.23086,            0.041297,           0.0087342,                   0,            0.009703,            0.009703,            0.009703
                   8,             0.05058,            0.010643,                   0,             0.69216,             0.65928,             0.64042,             0.22539,            0.040124,           0.0089059,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,            0.049706,            0.010496,                   0,             0.71029,             0.71412,             0.69054,             0.24418,            0.040032,           0.0086605,                   0,            0.009604,            0.009604,            0.009604
                  10,            0.048459,            0.010378,                   0,             0.71743,             0.74446,             0.70042,             0.24528,            0.038307,            0.008584,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,            0.046096,           0.0099915,                   0,             0.75048,             0.70541,             0.72607,             0.26257,            0.038929,           0.0084159,                   0,            0.009505,            0.009505,            0.009505
                  12,            0.047073,            0.010141,                   0,             0.73277,             0.70478,             0.69282,             0.23632,            0.038849,            0.008715,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,            0.045101,           0.0099751,                   0,             0.73659,             0.74722,             0.70755,             0.24019,            0.038682,           0.0083397,                   0,            0.009406,            0.009406,            0.009406
                  14,            0.044423,            0.010039,                   0,             0.78546,             0.76043,             0.77588,             0.28268,            0.037033,            0.008328,                   0,           0.0093565,           0.0093565,           0.0093565
                  15,            0.044641,           0.0099083,                   0,             0.76948,             0.78646,             0.77186,              0.2833,            0.036797,           0.0081532,                   0,            0.009307,            0.009307,            0.009307
                  16,            0.044869,            0.010004,                   0,             0.77505,             0.72769,             0.73288,             0.26714,            0.037258,           0.0084945,                   0,           0.0092575,           0.0092575,           0.0092575
                  17,            0.042654,           0.0099033,                   0,             0.80309,             0.72815,             0.75954,             0.28018,            0.038317,           0.0087005,                   0,            0.009208,            0.009208,            0.009208
                  18,            0.043209,           0.0096521,                   0,             0.80217,             0.79813,             0.79715,             0.30893,            0.035292,           0.0080134,                   0,           0.0091585,           0.0091585,           0.0091585
                  19,            0.041333,            0.009425,                   0,             0.77734,             0.78996,             0.79406,              0.2906,            0.035779,            0.008248,                   0,            0.009109,            0.009109,            0.009109
                  20,            0.041605,            0.009727,                   0,             0.81431,             0.80513,             0.80106,             0.31654,             0.03435,           0.0080064,                   0,           0.0090595,           0.0090595,           0.0090595
                  21,            0.043313,           0.0097272,                   0,             0.78944,             0.80397,             0.80574,             0.31763,            0.034336,           0.0080021,                   0,             0.00901,             0.00901,             0.00901
                  22,            0.042001,           0.0096787,                   0,              0.7933,             0.81214,             0.81711,             0.31735,            0.035707,           0.0082371,                   0,           0.0089605,           0.0089605,           0.0089605
                  23,            0.040961,           0.0093605,                   0,             0.80339,             0.83314,             0.81691,              0.3233,            0.034877,           0.0078332,                   0,            0.008911,            0.008911,            0.008911
                  24,            0.040656,           0.0093162,                   0,             0.76265,             0.77363,             0.79614,             0.29012,            0.037471,           0.0079024,                   0,           0.0088615,           0.0088615,           0.0088615
                  25,             0.04072,           0.0095565,                   0,             0.83284,             0.81564,             0.82636,             0.35414,            0.033144,           0.0076921,                   0,            0.008812,            0.008812,            0.008812
                  26,            0.038921,           0.0094157,                   0,             0.82838,             0.81097,             0.83544,             0.32905,            0.035447,            0.007774,                   0,           0.0087625,           0.0087625,           0.0087625
                  27,            0.039785,           0.0093827,                   0,              0.8323,             0.83781,             0.83746,             0.34426,            0.034058,            0.007857,                   0,            0.008713,            0.008713,            0.008713
                  28,            0.039694,           0.0091895,                   0,             0.83516,             0.83357,             0.84295,             0.35876,            0.033632,           0.0077268,                   0,           0.0086635,           0.0086635,           0.0086635
                  29,            0.039873,           0.0091989,                   0,             0.82729,             0.84364,             0.85225,             0.36691,            0.031615,           0.0076561,                   0,            0.008614,            0.008614,            0.008614
                  30,            0.037927,           0.0092858,                   0,             0.83607,             0.83911,             0.85186,             0.36772,            0.031591,           0.0077646,                   0,           0.0085645,           0.0085645,           0.0085645
                  31,            0.038113,           0.0091828,                   0,             0.82309,             0.83603,             0.84645,             0.37023,              0.0325,           0.0076726,                   0,            0.008515,            0.008515,            0.008515
                  32,            0.037248,           0.0090962,                   0,             0.85419,             0.85064,             0.85964,             0.37945,            0.031956,           0.0077091,                   0,           0.0084655,           0.0084655,           0.0084655
                  33,             0.03796,           0.0089432,                   0,             0.84526,             0.83501,             0.85788,             0.38261,            0.031701,           0.0076583,                   0,            0.008416,            0.008416,            0.008416
