               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10201,            0.021124,                   0,          8.7719e-06,           0.0011669,          6.1607e-06,          6.1607e-07,            0.079946,            0.015606,                   0,            0.070158,           0.0033158,           0.0033158
                   1,            0.096134,            0.019131,                   0,          1.7544e-05,           0.0023337,          8.7927e-06,          8.7927e-07,            0.080604,            0.014994,                   0,            0.040125,           0.0066162,           0.0066162
                   2,            0.097216,            0.018351,                   0,          3.5119e-05,           0.0046674,          1.7654e-05,          7.0556e-06,            0.079257,            0.015621,                   0,            0.010059,           0.0098836,           0.0098836
                   3,            0.090194,            0.017656,                   0,             0.01003,              0.2217,           0.0063168,           0.0015637,            0.076986,            0.017465,                   0,           0.0098515,           0.0098515,           0.0098515
                   4,            0.080849,            0.017056,                   0,             0.11654,             0.17736,            0.067396,            0.014591,            0.058974,            0.015036,                   0,           0.0098515,           0.0098515,           0.0098515
                   5,            0.075112,            0.015918,                   0,             0.18543,             0.14002,            0.085263,            0.020613,            0.056673,             0.01459,                   0,            0.009802,            0.009802,            0.009802
                   6,            0.070431,            0.015147,                   0,             0.22638,              0.2147,             0.14481,            0.035602,            0.054062,            0.013718,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,            0.067188,            0.014337,                   0,             0.33749,             0.28471,             0.22229,            0.062361,            0.050808,            0.012462,                   0,            0.009703,            0.009703,            0.009703
                   8,             0.06494,            0.013992,                   0,             0.29826,             0.26721,             0.19181,            0.045288,            0.051948,            0.014091,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,            0.063689,            0.013652,                   0,             0.31316,             0.28471,             0.22048,            0.055006,            0.049857,            0.012881,                   0,            0.009604,            0.009604,            0.009604
                  10,            0.063856,            0.013569,                   0,             0.30703,             0.30805,             0.24302,            0.061995,            0.050538,            0.012442,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,            0.060078,            0.013162,                   0,             0.38737,             0.39907,             0.32682,            0.088753,            0.048365,            0.011436,                   0,            0.009505,            0.009505,            0.009505
                  12,            0.059627,            0.013082,                   0,             0.44038,             0.41504,             0.36524,            0.096892,            0.047769,            0.011571,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,            0.058457,            0.012614,                   0,             0.48668,             0.42824,             0.40458,             0.11211,            0.047263,             0.01122,                   0,            0.009406,            0.009406,            0.009406
                  14,            0.058714,            0.012873,                   0,             0.43882,             0.37318,             0.32006,            0.081244,            0.049644,            0.011966,                   0,           0.0093565,           0.0093565,           0.0093565
                  15,            0.058727,            0.012855,                   0,             0.45797,              0.4154,             0.36842,            0.098083,            0.046581,            0.011351,                   0,            0.009307,            0.009307,            0.009307
                  16,            0.057917,            0.012535,                   0,             0.48153,             0.44341,             0.42003,             0.12042,             0.04624,            0.010565,                   0,           0.0092575,           0.0092575,           0.0092575
                  17,            0.055563,            0.012353,                   0,              0.5355,             0.48425,             0.45331,             0.12496,             0.04579,            0.010246,                   0,            0.009208,            0.009208,            0.009208
                  18,            0.056993,            0.012182,                   0,             0.51989,             0.47004,             0.41395,              0.1177,            0.046327,             0.01085,                   0,           0.0091585,           0.0091585,           0.0091585
                  19,            0.054293,            0.011964,                   0,             0.55425,             0.50175,              0.4786,             0.12981,            0.045032,            0.010372,                   0,            0.009109,            0.009109,            0.009109
                  20,            0.053545,            0.011833,                   0,             0.55369,             0.48891,             0.47913,             0.13723,            0.044799,            0.010275,                   0,           0.0090595,           0.0090595,           0.0090595
                  21,            0.056191,             0.01188,                   0,             0.55658,             0.50758,             0.48365,             0.13932,            0.044721,            0.010321,                   0,             0.00901,             0.00901,             0.00901
                  22,            0.055148,            0.011861,                   0,             0.60362,             0.50292,             0.48987,             0.14277,             0.04439,           0.0098413,                   0,           0.0089605,           0.0089605,           0.0089605
                  23,            0.052734,            0.011577,                   0,             0.56479,             0.54363,             0.50532,             0.15161,             0.04357,           0.0098048,                   0,            0.008911,            0.008911,            0.008911
                  24,            0.052444,            0.011466,                   0,             0.56098,             0.56593,              0.5147,             0.15529,            0.043252,           0.0096503,                   0,           0.0088615,           0.0088615,           0.0088615
                  25,            0.052772,            0.011716,                   0,             0.55537,             0.55659,             0.49693,             0.14692,            0.043935,           0.0096521,                   0,            0.008812,            0.008812,            0.008812
                  26,            0.050317,            0.011587,                   0,             0.60789,             0.61494,             0.53965,             0.16669,            0.042989,           0.0094076,                   0,           0.0087625,           0.0087625,           0.0087625
                  27,            0.051507,            0.011397,                   0,             0.60811,             0.55193,             0.53801,             0.16571,            0.042602,           0.0094733,                   0,            0.008713,            0.008713,            0.008713
