               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12596,            0.032757,                   0,          1.7544e-05,           0.0023337,          8.8169e-06,          8.8169e-07,             0.10308,            0.016713,                   0,            0.070158,           0.0033158,           0.0033158
                   1,             0.12018,            0.020706,                   0,          0.00040368,            0.053676,          0.00026541,          6.7504e-05,               0.102,            0.016724,                   0,            0.040125,           0.0066162,           0.0066162
                   2,             0.11245,            0.026202,                   0,            0.064378,            0.071179,            0.021576,           0.0048541,            0.085174,            0.029172,                   0,            0.010059,           0.0098836,           0.0098836
                   3,            0.094904,            0.032717,                   0,             0.19559,             0.16103,            0.084697,            0.018719,            0.074974,            0.032814,                   0,           0.0098515,           0.0098515,           0.0098515
                   4,            0.088832,            0.034279,                   0,              0.2612,             0.31505,             0.16929,            0.038066,            0.063556,            0.031832,                   0,           0.0098515,           0.0098515,           0.0098515
                   5,            0.083223,            0.035169,                   0,             0.25712,             0.32322,             0.17471,            0.041319,            0.063233,            0.035545,                   0,            0.009802,            0.009802,            0.009802
                   6,            0.078437,            0.034947,                   0,             0.44312,             0.33372,             0.28709,            0.063579,            0.058255,            0.032804,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,            0.073438,            0.035122,                   0,             0.32471,             0.32439,             0.18697,            0.044786,            0.057607,            0.030803,                   0,            0.009703,            0.009703,            0.009703
                   8,            0.070931,            0.035121,                   0,             0.40484,             0.41307,             0.30917,            0.072044,            0.055905,            0.031815,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,            0.068395,            0.035055,                   0,             0.50173,             0.45705,             0.38739,            0.093826,            0.054286,            0.030647,                   0,            0.009604,            0.009604,            0.009604
                  10,            0.069072,            0.035475,                   0,             0.50346,             0.43407,             0.35979,            0.090917,            0.054565,            0.031427,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,            0.065625,            0.034793,                   0,              0.5098,             0.44293,             0.39163,             0.10013,             0.05137,            0.030069,                   0,            0.009505,            0.009505,            0.009505
                  12,              0.0663,             0.03481,                   0,             0.51793,             0.47375,             0.40421,             0.10337,            0.053045,            0.029764,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,            0.064229,            0.034038,                   0,             0.54258,             0.48858,             0.42078,             0.10292,            0.052666,            0.030242,                   0,            0.009406,            0.009406,            0.009406
                  14,            0.062755,            0.035103,                   0,             0.53648,             0.51049,               0.421,             0.10908,            0.049365,            0.029619,                   0,           0.0093565,           0.0093565,           0.0093565
                  15,             0.06367,            0.034833,                   0,             0.61451,             0.55193,             0.48901,             0.12931,            0.049498,            0.029548,                   0,            0.009307,            0.009307,            0.009307
                  16,            0.063239,             0.03449,                   0,             0.58851,             0.52234,             0.46245,             0.11943,            0.048052,            0.029317,                   0,           0.0092575,           0.0092575,           0.0092575
                  17,            0.060187,            0.034831,                   0,             0.57536,             0.53326,             0.48233,             0.13045,            0.049865,            0.028863,                   0,            0.009208,            0.009208,            0.009208
                  18,            0.061385,            0.033906,                   0,             0.62479,             0.57643,               0.518,             0.14014,            0.048464,            0.028929,                   0,           0.0091585,           0.0091585,           0.0091585
                  19,            0.058627,            0.033809,                   0,             0.60144,              0.5441,             0.50379,             0.13454,            0.048605,            0.029752,                   0,            0.009109,            0.009109,            0.009109
                  20,             0.05826,             0.03418,                   0,             0.62339,             0.60454,             0.54553,             0.14855,            0.047899,            0.028614,                   0,           0.0090595,           0.0090595,           0.0090595
                  21,            0.061595,            0.034115,                   0,             0.63914,             0.57876,             0.53908,             0.14928,            0.047615,            0.028897,                   0,             0.00901,             0.00901,             0.00901
                  22,            0.059695,            0.034277,                   0,             0.60578,             0.56126,             0.50721,             0.14039,            0.048474,             0.02887,                   0,           0.0089605,           0.0089605,           0.0089605
                  23,            0.059557,            0.033597,                   0,             0.63516,             0.61146,             0.55454,             0.15749,            0.047777,            0.028213,                   0,            0.008911,            0.008911,            0.008911
                  24,            0.057913,            0.033826,                   0,              0.6281,             0.64294,             0.59686,             0.16548,            0.047315,            0.028652,                   0,           0.0088615,           0.0088615,           0.0088615
                  25,            0.057839,            0.034686,                   0,             0.65457,             0.62133,             0.57543,             0.16625,            0.045842,             0.02853,                   0,            0.008812,            0.008812,            0.008812
                  26,            0.055168,            0.034421,                   0,             0.63104,             0.62427,              0.5708,             0.16062,            0.046539,            0.028428,                   0,           0.0087625,           0.0087625,           0.0087625
                  27,            0.056067,            0.033784,                   0,             0.57374,             0.48891,             0.43471,             0.11156,            0.051303,            0.030069,                   0,            0.008713,            0.008713,            0.008713
                  28,            0.057483,             0.03396,                   0,             0.67362,             0.66044,             0.62908,             0.19326,            0.045127,            0.027765,                   0,           0.0086635,           0.0086635,           0.0086635
                  29,            0.057687,            0.033434,                   0,             0.64844,             0.62427,             0.57261,             0.16078,            0.045641,            0.028285,                   0,            0.008614,            0.008614,            0.008614
                  30,            0.055459,            0.033729,                   0,             0.68872,             0.64877,             0.63673,             0.18847,            0.045893,            0.027818,                   0,           0.0085645,           0.0085645,           0.0085645
                  31,            0.055116,            0.033677,                   0,             0.64202,             0.64061,             0.58132,             0.17157,            0.046371,            0.027643,                   0,            0.008515,            0.008515,            0.008515
                  32,              0.0539,            0.033462,                   0,             0.68188,             0.62544,             0.59523,             0.18453,            0.044407,            0.027662,                   0,           0.0084655,           0.0084655,           0.0084655
                  33,            0.054011,            0.033039,                   0,             0.69051,             0.63262,             0.60158,              0.1808,             0.04602,            0.028371,                   0,            0.008416,            0.008416,            0.008416
                  34,            0.052991,            0.032993,                   0,             0.65326,             0.65228,             0.61177,             0.17705,            0.045334,            0.028716,                   0,           0.0083665,           0.0083665,           0.0083665
                  35,            0.054655,            0.033422,                   0,             0.68122,             0.66078,             0.63429,             0.19233,            0.044332,            0.027677,                   0,            0.008317,            0.008317,            0.008317
                  36,            0.053848,            0.033109,                   0,              0.7009,             0.67911,             0.63515,             0.18799,            0.044754,            0.027508,                   0,           0.0082675,           0.0082675,           0.0082675
                  37,            0.052937,            0.033325,                   0,             0.71221,             0.69312,             0.65817,             0.20522,            0.042806,            0.027559,                   0,            0.008218,            0.008218,            0.008218
                  38,            0.052797,            0.032618,                   0,             0.71627,             0.69815,             0.66453,             0.20154,            0.043421,            0.027803,                   0,           0.0081685,           0.0081685,           0.0081685
                  39,            0.055322,            0.032812,                   0,             0.72189,             0.68145,             0.65629,             0.19324,            0.044587,            0.027615,                   0,            0.008119,            0.008119,            0.008119
                  40,            0.053686,            0.033101,                   0,             0.66208,             0.64644,             0.57187,             0.16762,            0.045275,            0.027783,                   0,           0.0080695,           0.0080695,           0.0080695
                  41,            0.052747,            0.032659,                   0,             0.69006,             0.67445,             0.63586,             0.20243,             0.04386,             0.02758,                   0,             0.00802,             0.00802,             0.00802
                  42,            0.051746,            0.032964,                   0,             0.72745,             0.71945,             0.66837,             0.21465,             0.04265,            0.027146,                   0,           0.0079705,           0.0079705,           0.0079705
                  43,            0.053344,            0.032952,                   0,             0.73212,             0.68728,             0.66304,             0.20712,            0.043875,            0.027173,                   0,            0.007921,            0.007921,            0.007921
                  44,            0.052299,            0.032132,                   0,             0.71179,             0.67211,             0.63753,             0.20055,            0.043039,            0.027266,                   0,           0.0078715,           0.0078715,           0.0078715
                  45,             0.05277,            0.032735,                   0,             0.76382,             0.72462,             0.70349,             0.22481,            0.041183,            0.026708,                   0,            0.007822,            0.007822,            0.007822
                  46,            0.052497,            0.032764,                   0,             0.73862,             0.71224,             0.68053,             0.21588,            0.043485,            0.026733,                   0,           0.0077725,           0.0077725,           0.0077725
                  47,            0.053009,            0.032686,                   0,             0.71852,             0.70595,             0.69131,              0.2249,            0.042048,            0.027096,                   0,            0.007723,            0.007723,            0.007723
                  48,            0.049923,            0.032556,                   0,             0.75284,             0.70945,             0.69956,             0.23689,            0.041456,            0.026885,                   0,           0.0076735,           0.0076735,           0.0076735
                  49,            0.051852,            0.032375,                   0,             0.70961,             0.70012,             0.65817,             0.21659,            0.042326,            0.026979,                   0,            0.007624,            0.007624,            0.007624
                  50,             0.05106,            0.032234,                   0,             0.74218,             0.70538,             0.68913,             0.21823,            0.041665,            0.026852,                   0,           0.0075745,           0.0075745,           0.0075745
                  51,            0.052304,            0.032026,                   0,             0.76606,             0.72598,             0.71011,             0.24015,            0.041386,            0.026398,                   0,            0.007525,            0.007525,            0.007525
                  52,            0.049665,             0.03182,                   0,             0.72775,             0.72929,             0.70517,             0.22758,             0.04232,            0.026421,                   0,           0.0074755,           0.0074755,           0.0074755
                  53,            0.049623,            0.032121,                   0,             0.75867,             0.74833,             0.72688,             0.25159,            0.041218,            0.026118,                   0,            0.007426,            0.007426,            0.007426
                  54,            0.050681,            0.031907,                   0,             0.75271,             0.74796,             0.72121,             0.24457,            0.040585,            0.026165,                   0,           0.0073765,           0.0073765,           0.0073765
                  55,            0.050042,            0.031706,                   0,             0.74672,             0.71062,             0.69656,             0.24146,             0.04068,            0.026175,                   0,            0.007327,            0.007327,            0.007327
