               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12564,            0.028752,                   0,          2.6316e-05,           0.0035006,           1.321e-05,          1.7626e-06,             0.10358,            0.014848,                   0,            0.070158,           0.0033158,           0.0033158
                   1,              0.1196,            0.021394,                   0,          0.00073693,            0.098016,          0.00078146,          0.00013072,            0.099442,            0.019646,                   0,            0.040125,           0.0066162,           0.0066162
                   2,             0.10928,            0.028646,                   0,            0.058177,            0.071179,            0.019608,            0.004184,            0.085496,            0.031113,                   0,            0.010059,           0.0098836,           0.0098836
                   3,            0.095129,            0.033074,                   0,             0.18314,             0.25904,             0.10762,            0.026187,            0.067313,             0.03121,                   0,           0.0098515,           0.0098515,           0.0098515
                   4,            0.089447,             0.03425,                   0,             0.29111,             0.33606,             0.20321,            0.051291,             0.06156,             0.03125,                   0,           0.0098515,           0.0098515,           0.0098515
                   5,            0.083719,            0.035207,                   0,             0.35489,             0.34772,             0.23694,            0.059334,            0.061403,            0.031859,                   0,            0.009802,            0.009802,            0.009802
                   6,            0.080026,            0.034796,                   0,             0.34509,             0.35969,             0.23036,            0.052015,            0.058361,            0.031389,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,             0.07505,            0.035031,                   0,             0.34456,             0.32322,              0.1964,            0.042239,            0.057991,            0.030021,                   0,            0.009703,            0.009703,            0.009703
                   8,            0.073192,            0.035053,                   0,             0.45461,             0.41142,             0.33444,            0.079989,            0.056464,            0.030588,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,            0.070545,            0.035055,                   0,             0.48174,             0.48191,             0.36277,            0.087345,              0.0557,             0.03078,                   0,            0.009604,            0.009604,            0.009604
                  10,            0.070998,            0.035336,                   0,             0.43495,              0.4084,             0.32229,            0.085597,            0.056142,            0.032272,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,            0.067563,            0.034942,                   0,             0.51541,             0.47958,             0.40535,             0.10441,            0.052311,             0.03061,                   0,            0.009505,            0.009505,            0.009505
                  12,             0.06699,            0.035186,                   0,             0.54902,             0.50058,             0.43897,             0.11034,            0.054272,            0.030557,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,            0.065461,            0.034222,                   0,             0.51424,             0.50399,             0.39964,              0.1031,            0.051823,              0.0301,                   0,            0.009406,            0.009406,            0.009406
                  14,            0.064082,             0.03523,                   0,             0.54096,              0.5129,             0.44685,              0.1123,             0.05398,            0.030467,                   0,           0.0093565,           0.0093565,           0.0093565
                  15,            0.065499,            0.035177,                   0,             0.53967,             0.50477,             0.40221,            0.099039,            0.052422,            0.029805,                   0,            0.009307,            0.009307,            0.009307
                  16,            0.064125,            0.034698,                   0,              0.5681,              0.5111,             0.44957,             0.11492,            0.050314,            0.029782,                   0,           0.0092575,           0.0092575,           0.0092575
                  17,            0.060809,            0.034804,                   0,             0.52341,             0.53092,             0.44675,              0.1243,            0.051647,            0.029062,                   0,            0.009208,            0.009208,            0.009208
                  18,            0.062004,            0.033954,                   0,             0.55799,             0.53559,              0.4563,             0.11452,            0.048374,            0.028832,                   0,           0.0091585,           0.0091585,           0.0091585
                  19,            0.059824,            0.033866,                   0,             0.55148,             0.54842,             0.47343,             0.13204,            0.049359,            0.029298,                   0,            0.009109,            0.009109,            0.009109
                  20,            0.059898,            0.034417,                   0,             0.58393,             0.53209,             0.46995,             0.12816,             0.05005,            0.029573,                   0,           0.0090595,           0.0090595,           0.0090595
                  21,            0.062241,            0.034325,                   0,             0.60294,               0.567,             0.49904,             0.13086,            0.048489,             0.02901,                   0,             0.00901,             0.00901,             0.00901
                  22,            0.060114,            0.034448,                   0,             0.64366,             0.58805,             0.54039,             0.14879,             0.04882,             0.02847,                   0,           0.0089605,           0.0089605,           0.0089605
                  23,            0.059306,            0.033495,                   0,             0.60946,             0.57176,             0.51651,             0.14085,            0.048633,             0.02914,                   0,            0.008911,            0.008911,            0.008911
                  24,            0.059049,            0.033747,                   0,             0.62894,             0.63127,             0.55897,             0.15896,            0.046091,            0.028712,                   0,           0.0088615,           0.0088615,           0.0088615
                  25,             0.05867,            0.034619,                   0,             0.61307,             0.60327,             0.52932,              0.1496,            0.046682,            0.028769,                   0,            0.008812,            0.008812,            0.008812
                  26,            0.056083,              0.0342,                   0,             0.64232,             0.62025,              0.5685,             0.15622,            0.046768,            0.028226,                   0,           0.0087625,           0.0087625,           0.0087625
                  27,            0.058239,             0.03387,                   0,             0.67115,             0.63011,             0.57323,             0.16568,            0.046766,            0.028092,                   0,            0.008713,            0.008713,            0.008713
                  28,             0.05838,            0.033992,                   0,             0.64565,              0.6161,             0.56485,             0.16007,             0.04703,            0.028473,                   0,           0.0086635,           0.0086635,           0.0086635
                  29,            0.057746,            0.033697,                   0,             0.61733,             0.55309,             0.52603,             0.15105,            0.048224,            0.028967,                   0,            0.008614,            0.008614,            0.008614
                  30,            0.055822,            0.033868,                   0,             0.66487,             0.62427,             0.58379,             0.16775,            0.046511,            0.028198,                   0,           0.0085645,           0.0085645,           0.0085645
                  31,             0.05626,            0.033791,                   0,             0.65067,             0.65694,             0.59509,             0.17339,            0.046034,            0.027882,                   0,            0.008515,            0.008515,            0.008515
                  32,            0.055172,            0.033472,                   0,             0.64859,             0.62025,             0.58294,              0.1792,            0.046022,            0.027653,                   0,           0.0084655,           0.0084655,           0.0084655
                  33,            0.055203,            0.033128,                   0,             0.66716,             0.64877,             0.60617,             0.16517,            0.047122,            0.027512,                   0,            0.008416,            0.008416,            0.008416
                  34,            0.054016,            0.032966,                   0,             0.67172,             0.61494,             0.58438,             0.16999,            0.046107,            0.028287,                   0,           0.0083665,           0.0083665,           0.0083665
                  35,             0.05418,            0.033478,                   0,             0.67388,             0.68495,             0.63414,             0.18638,            0.045172,            0.027435,                   0,            0.008317,            0.008317,            0.008317
                  36,            0.054085,            0.033234,                   0,             0.65684,             0.63011,             0.57786,             0.16192,            0.045475,            0.027517,                   0,           0.0082675,           0.0082675,           0.0082675
                  37,            0.054009,            0.033333,                   0,             0.68477,             0.66044,             0.61619,             0.18298,             0.04509,            0.027916,                   0,            0.008218,            0.008218,            0.008218
                  38,            0.052759,            0.032719,                   0,             0.70061,             0.70828,             0.65231,             0.19282,            0.044212,            0.027553,                   0,           0.0081685,           0.0081685,           0.0081685
                  39,            0.056145,            0.033034,                   0,             0.69323,             0.68728,             0.64473,             0.18838,            0.045201,             0.02757,                   0,            0.008119,            0.008119,            0.008119
                  40,            0.053992,            0.033045,                   0,             0.66094,             0.68145,             0.60496,             0.18459,            0.045299,            0.027364,                   0,           0.0080695,           0.0080695,           0.0080695
                  41,            0.053312,            0.032738,                   0,             0.67246,             0.70478,               0.653,             0.20284,            0.044934,            0.027449,                   0,             0.00802,             0.00802,             0.00802
                  42,            0.052056,             0.03306,                   0,             0.70795,             0.68495,             0.63691,             0.20375,            0.044228,             0.02707,                   0,           0.0079705,           0.0079705,           0.0079705
                  43,            0.054563,            0.033129,                   0,              0.6901,              0.6834,             0.61933,             0.19111,            0.044586,            0.027404,                   0,            0.007921,            0.007921,            0.007921
                  44,            0.052779,            0.032313,                   0,             0.71329,             0.71413,             0.65839,             0.20936,            0.042717,            0.027036,                   0,           0.0078715,           0.0078715,           0.0078715
                  45,            0.053087,            0.032919,                   0,             0.71206,             0.73862,             0.67156,             0.21259,            0.043016,            0.027222,                   0,            0.007822,            0.007822,            0.007822
                  46,            0.053202,            0.032937,                   0,             0.71649,             0.73512,              0.6693,             0.19979,            0.045016,            0.027096,                   0,           0.0077725,           0.0077725,           0.0077725
                  47,            0.053532,            0.032672,                   0,             0.73095,             0.71644,             0.67783,              0.2039,            0.042914,            0.027102,                   0,            0.007723,            0.007723,            0.007723
                  48,            0.050873,            0.032699,                   0,             0.74027,             0.71836,             0.68125,             0.21847,            0.042561,            0.026849,                   0,           0.0076735,           0.0076735,           0.0076735
                  49,            0.052383,            0.032342,                   0,             0.70815,             0.74562,             0.69399,             0.22286,             0.04223,            0.026644,                   0,            0.007624,            0.007624,            0.007624
                  50,            0.051468,            0.032335,                   0,             0.72746,             0.72462,             0.69965,              0.2125,            0.042487,            0.027063,                   0,           0.0075745,           0.0075745,           0.0075745
                  51,            0.052681,            0.032272,                   0,             0.72831,             0.72929,             0.69328,              0.2229,            0.041914,            0.026718,                   0,            0.007525,            0.007525,            0.007525
                  52,             0.05021,            0.032231,                   0,             0.73857,             0.73841,             0.70882,             0.22453,            0.042748,            0.026807,                   0,           0.0074755,           0.0074755,           0.0074755
                  53,            0.049525,            0.032029,                   0,             0.71432,             0.72812,              0.6861,             0.21662,            0.042079,            0.026952,                   0,            0.007426,            0.007426,            0.007426
                  54,            0.051038,            0.032008,                   0,             0.72732,             0.73141,             0.70351,              0.2282,             0.04138,            0.026902,                   0,           0.0073765,           0.0073765,           0.0073765
                  55,             0.05074,            0.031857,                   0,             0.74116,             0.73979,             0.70679,             0.23772,             0.04059,            0.026655,                   0,            0.007327,            0.007327,            0.007327
                  56,             0.04927,            0.032604,                   0,             0.73855,             0.72188,              0.7083,             0.23358,            0.042222,            0.026651,                   0,           0.0072775,           0.0072775,           0.0072775
                  57,            0.049572,            0.031874,                   0,             0.73394,             0.75846,              0.7191,             0.23388,            0.040901,            0.026172,                   0,            0.007228,            0.007228,            0.007228
                  58,            0.049721,            0.031772,                   0,             0.73995,             0.75846,             0.73414,              0.2485,            0.041297,            0.026024,                   0,           0.0071785,           0.0071785,           0.0071785
                  59,            0.050377,            0.032057,                   0,             0.76432,             0.77953,             0.73783,             0.24586,            0.040365,             0.02589,                   0,            0.007129,            0.007129,            0.007129
                  60,            0.049052,            0.031914,                   0,             0.76386,             0.75613,             0.75464,             0.25117,            0.041576,            0.026192,                   0,           0.0070795,           0.0070795,           0.0070795
                  61,            0.049859,            0.031947,                   0,              0.7369,             0.74514,             0.70864,             0.22584,            0.041506,             0.02683,                   0,             0.00703,             0.00703,             0.00703
                  62,            0.050112,            0.032094,                   0,              0.7602,             0.75263,             0.72212,             0.23534,            0.041135,            0.026152,                   0,           0.0069805,           0.0069805,           0.0069805
