               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               0.123,            0.037795,                   0,                   0,                   0,                   0,                   0,             0.10116,            0.021746,                   0,            0.070158,           0.0033158,           0.0033158
                   1,             0.11916,            0.024287,                   0,          0.00028104,             0.03734,          0.00015442,          2.5903e-05,             0.10026,            0.019548,                   0,            0.040125,           0.0066162,           0.0066162
                   2,             0.11914,            0.023259,                   0,           0.0011917,             0.15519,          0.00081522,          0.00019244,            0.094753,            0.027252,                   0,            0.010059,           0.0098836,           0.0098836
                   3,             0.10168,            0.030141,                   0,             0.16067,             0.16803,             0.09302,            0.021071,            0.073027,            0.029644,                   0,           0.0098515,           0.0098515,           0.0098515
                   4,            0.091578,             0.03272,                   0,             0.28108,             0.28938,             0.16022,            0.035113,            0.064458,            0.030181,                   0,           0.0098515,           0.0098515,           0.0098515
                   5,             0.08502,            0.033713,                   0,             0.36539,             0.37456,             0.24472,            0.059478,            0.059367,            0.030872,                   0,            0.009802,            0.009802,            0.009802
                   6,            0.078092,             0.03403,                   0,             0.28462,             0.34306,             0.20895,            0.046346,            0.061356,             0.03207,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,            0.073319,            0.034303,                   0,             0.36408,             0.35006,             0.23635,             0.05554,            0.057701,            0.029539,                   0,            0.009703,            0.009703,            0.009703
                   8,            0.071344,            0.034297,                   0,             0.43915,             0.40257,              0.3131,             0.08341,             0.05443,            0.030189,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,             0.06928,            0.034446,                   0,             0.44428,             0.39673,             0.31201,            0.075411,            0.055394,            0.030452,                   0,            0.009604,            0.009604,            0.009604
                  10,            0.068064,            0.034872,                   0,             0.46254,             0.46495,              0.3689,            0.094379,            0.054213,            0.030363,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,            0.065572,            0.034087,                   0,             0.50132,             0.46324,             0.38207,             0.10132,            0.053516,            0.030133,                   0,            0.009505,            0.009505,            0.009505
                  12,            0.065531,            0.034634,                   0,             0.55243,             0.47958,              0.4129,             0.11025,            0.051473,            0.030617,                   0,           0.0094555,           0.0094555,           0.0094555
