               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12261,             0.03864,                   0,                   0,                   0,                   0,                   0,             0.10039,            0.022955,                   0,            0.070158,           0.0033158,           0.0033158
                   1,             0.11915,            0.024466,                   0,          0.00014052,             0.01867,          7.1633e-05,          1.2473e-05,             0.10035,            0.020249,                   0,            0.040125,           0.0066162,           0.0066162
                   2,             0.12052,            0.022618,                   0,          0.00018286,            0.014002,          9.4522e-05,           1.889e-05,             0.10611,             0.01649,                   0,            0.010059,           0.0098836,           0.0098836
                   3,              0.1047,             0.02825,                   0,             0.16641,             0.17036,            0.067631,            0.014424,            0.075179,            0.030881,                   0,           0.0098515,           0.0098515,           0.0098515
                   4,            0.094051,             0.03204,                   0,          0.00042715,            0.053676,          0.00022323,          3.9776e-05,              0.1206,              5.7587,                   0,           0.0098515,           0.0098515,           0.0098515
                   5,            0.087228,            0.033858,                   0,             0.19135,             0.25088,             0.11306,            0.025609,            0.070832,            0.030221,                   0,            0.009802,            0.009802,            0.009802
                   6,            0.080681,            0.034115,                   0,              0.2107,             0.27305,             0.14315,            0.035602,            0.064087,            0.031977,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,            0.075802,            0.034738,                   0,             0.30942,             0.26488,             0.14442,            0.031348,            0.060189,            0.031639,                   0,            0.009703,            0.009703,            0.009703
                   8,            0.073914,            0.034851,                   0,             0.40703,             0.35589,             0.27397,            0.061062,            0.058684,            0.030984,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,            0.071527,            0.035064,                   0,             0.50844,             0.42124,             0.34468,            0.080767,            0.055431,            0.030806,                   0,            0.009604,            0.009604,            0.009604
                  10,            0.070809,            0.035214,                   0,             0.27433,             0.36989,             0.17071,            0.039131,            0.063458,             0.03078,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,            0.067521,            0.034606,                   0,              0.5158,             0.45158,              0.3735,            0.089591,            0.053526,            0.029915,                   0,            0.009505,            0.009505,            0.009505
                  12,            0.067906,            0.035173,                   0,             0.47601,             0.43057,             0.36255,            0.087566,            0.055083,            0.030294,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,            0.065401,            0.034434,                   0,             0.47305,             0.45974,             0.36535,            0.088972,            0.054156,            0.029929,                   0,            0.009406,            0.009406,            0.009406
                  14,            0.063939,            0.035286,                   0,             0.49229,             0.47258,              0.3709,            0.097387,            0.051555,            0.030031,                   0,           0.0093565,           0.0093565,           0.0093565
                  15,             0.06471,            0.035048,                   0,             0.48044,             0.48075,             0.37488,            0.093615,            0.053449,            0.029897,                   0,            0.009307,            0.009307,            0.009307
                  16,            0.064473,            0.034651,                   0,             0.57168,             0.51551,             0.43477,             0.10831,             0.04992,            0.030118,                   0,           0.0092575,           0.0092575,           0.0092575
                  17,              0.0612,            0.035009,                   0,             0.56592,             0.50202,             0.43853,             0.11998,            0.049649,            0.029518,                   0,            0.009208,            0.009208,            0.009208
