               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12182,            0.036059,                   0,                   0,                   0,                   0,                   0,             0.10066,            0.021733,                   0,            0.070158,           0.0033158,           0.0033158
                   1,             0.11911,            0.024102,                   0,           0.0002499,            0.031505,          0.00012975,          2.1027e-05,             0.10028,            0.020515,                   0,            0.040125,           0.0066162,           0.0066162
                   2,             0.11964,             0.02293,                   0,          0.00034132,           0.0011669,           3.889e-05,          1.1539e-05,                 nan,                 nan,                   0,            0.010059,           0.0098836,           0.0098836
                   3,             0.10185,            0.030504,                   0,             0.12547,             0.14819,            0.047936,            0.010587,            0.077028,            0.031532,                   0,           0.0098515,           0.0098515,           0.0098515
                   4,            0.093052,            0.033361,                   0,             0.17929,             0.23221,            0.089486,            0.019386,            0.068977,            0.031307,                   0,           0.0098515,           0.0098515,           0.0098515
                   5,            0.086806,              0.0341,                   0,             0.20536,             0.23454,             0.12266,            0.025954,            0.067761,            0.031481,                   0,            0.009802,            0.009802,            0.009802
                   6,             0.07944,            0.034431,                   0,              0.4184,             0.29968,             0.25102,            0.057811,             0.06147,            0.031179,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,            0.075164,            0.034785,                   0,             0.35484,             0.29172,             0.19695,            0.046424,             0.06007,            0.030555,                   0,            0.009703,            0.009703,            0.009703
                   8,            0.072085,            0.034652,                   0,              0.4588,             0.38506,             0.29729,            0.074057,            0.056218,            0.031074,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,             0.07042,            0.035063,                   0,             0.43597,             0.41074,             0.33728,            0.092711,            0.054195,            0.030239,                   0,            0.009604,            0.009604,            0.009604
                  10,            0.069738,            0.034976,                   0,             0.39744,             0.34072,             0.26867,            0.063708,            0.060388,            0.031091,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,            0.066395,            0.034587,                   0,             0.41876,             0.38251,             0.26879,            0.063035,             0.05674,             0.03085,                   0,            0.009505,            0.009505,            0.009505
                  12,            0.065592,             0.03477,                   0,             0.52415,             0.47375,             0.39729,             0.10187,            0.052318,            0.030414,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,            0.064615,            0.034141,                   0,             0.54404,             0.47841,             0.40062,             0.10639,            0.052472,            0.030233,                   0,            0.009406,            0.009406,            0.009406
                  14,            0.063167,            0.035067,                   0,             0.56344,             0.51342,             0.44406,             0.11965,            0.050482,            0.030036,                   0,           0.0093565,           0.0093565,           0.0093565
                  15,            0.063917,             0.03502,                   0,             0.57244,             0.49942,             0.42158,             0.11333,            0.051122,            0.029556,                   0,            0.009307,            0.009307,            0.009307
                  16,            0.063263,            0.034635,                   0,             0.54459,             0.50525,             0.41928,             0.11281,            0.051877,            0.030115,                   0,           0.0092575,           0.0092575,           0.0092575
                  17,            0.060791,            0.034895,                   0,             0.56084,             0.55882,             0.46255,             0.13013,            0.051312,            0.029233,                   0,            0.009208,            0.009208,            0.009208
                  18,            0.061144,            0.034037,                   0,             0.58809,             0.52742,             0.46809,             0.12247,            0.049507,             0.02939,                   0,           0.0091585,           0.0091585,           0.0091585
                  19,              0.0592,            0.033807,                   0,             0.61899,             0.54726,             0.49102,             0.13522,            0.049324,            0.029573,                   0,            0.009109,            0.009109,            0.009109
                  20,            0.058608,            0.034259,                   0,             0.57962,             0.52859,             0.46757,             0.12941,            0.048989,            0.029009,                   0,           0.0090595,           0.0090595,           0.0090595
                  21,            0.061389,              0.0341,                   0,             0.62307,             0.57478,              0.5082,             0.14125,            0.047616,            0.028392,                   0,             0.00901,             0.00901,             0.00901
                  22,            0.058541,            0.034324,                   0,             0.59115,             0.55845,             0.48222,             0.13235,            0.050063,            0.029251,                   0,           0.0089605,           0.0089605,           0.0089605
                  23,            0.058299,            0.033587,                   0,             0.63075,             0.57876,              0.5142,             0.14578,            0.047748,            0.028914,                   0,            0.008911,            0.008911,            0.008911
                  24,            0.057605,            0.033858,                   0,             0.64309,             0.55776,             0.52637,             0.13916,            0.048301,            0.028873,                   0,           0.0088615,           0.0088615,           0.0088615
                  25,            0.058637,            0.034878,                   0,             0.65022,              0.5916,             0.54404,             0.15269,            0.046945,            0.028696,                   0,            0.008812,            0.008812,            0.008812
                  26,            0.055222,            0.034282,                   0,             0.63687,             0.60167,             0.56206,             0.16586,            0.047129,            0.028202,                   0,           0.0087625,           0.0087625,           0.0087625
                  27,            0.055936,            0.033755,                   0,             0.62041,              0.5881,              0.5333,             0.15737,            0.047207,            0.028519,                   0,            0.008713,            0.008713,            0.008713
                  28,            0.057396,            0.034084,                   0,             0.63046,             0.59977,               0.531,             0.15926,            0.046843,            0.028429,                   0,           0.0086635,           0.0086635,           0.0086635
                  29,            0.057195,            0.033593,                   0,             0.62257,             0.59627,             0.54355,             0.15128,            0.047494,            0.028277,                   0,            0.008614,            0.008614,            0.008614
                  30,            0.054986,            0.033807,                   0,             0.65807,              0.5951,             0.57689,             0.16626,            0.046736,            0.028155,                   0,           0.0085645,           0.0085645,           0.0085645
                  31,            0.054935,            0.033708,                   0,             0.67954,             0.62601,              0.5992,             0.17122,            0.045814,            0.028131,                   0,            0.008515,            0.008515,            0.008515
                  32,            0.053986,            0.033451,                   0,             0.65962,             0.63244,              0.5909,             0.17187,            0.046009,            0.028211,                   0,           0.0084655,           0.0084655,           0.0084655
                  33,            0.054863,            0.033103,                   0,             0.65815,             0.61027,             0.57807,             0.16438,            0.047593,            0.028123,                   0,            0.008416,            0.008416,            0.008416
                  34,            0.053786,            0.032932,                   0,              0.6033,             0.62544,             0.54586,             0.15189,            0.048616,            0.028096,                   0,           0.0083665,           0.0083665,           0.0083665
                  35,             0.05429,             0.03326,                   0,              0.6931,             0.64035,             0.60016,              0.1757,            0.044962,            0.027745,                   0,            0.008317,            0.008317,            0.008317
                  36,            0.054482,            0.033382,                   0,             0.65495,             0.62427,              0.5958,             0.17606,            0.046004,            0.027758,                   0,           0.0082675,           0.0082675,           0.0082675
                  37,            0.052887,            0.033712,                   0,              0.7014,             0.64061,             0.60936,             0.17957,            0.044566,            0.027635,                   0,            0.008218,            0.008218,            0.008218
                  38,            0.052022,            0.032639,                   0,             0.69657,             0.66394,             0.62782,              0.1875,            0.045098,            0.027268,                   0,           0.0081685,           0.0081685,           0.0081685
                  39,            0.055604,            0.032992,                   0,             0.67312,             0.64061,             0.60521,             0.16859,             0.04648,            0.028006,                   0,            0.008119,            0.008119,            0.008119
                  40,            0.053006,            0.033017,                   0,             0.69254,             0.65928,             0.61135,              0.1885,            0.043967,            0.027985,                   0,           0.0080695,           0.0080695,           0.0080695
                  41,            0.052423,            0.032687,                   0,             0.71347,             0.66861,             0.63564,             0.19431,            0.045229,            0.027535,                   0,             0.00802,             0.00802,             0.00802
                  42,             0.05198,            0.032929,                   0,              0.7196,             0.68378,             0.65279,             0.19923,            0.044739,            0.026993,                   0,           0.0079705,           0.0079705,           0.0079705
                  43,            0.053698,            0.033063,                   0,             0.71026,             0.63477,             0.62249,             0.19199,            0.044044,            0.027582,                   0,            0.007921,            0.007921,            0.007921
                  44,            0.051799,            0.032243,                   0,             0.73473,             0.69428,             0.66955,             0.20252,            0.043179,            0.027131,                   0,           0.0078715,           0.0078715,           0.0078715
                  45,            0.052594,            0.032909,                   0,             0.73296,             0.68961,             0.64881,             0.20409,            0.042762,            0.027127,                   0,            0.007822,            0.007822,            0.007822
                  46,              0.0524,            0.032795,                   0,             0.72797,             0.69312,             0.67426,             0.21303,            0.043303,              0.0271,                   0,           0.0077725,           0.0077725,           0.0077725
                  47,            0.052768,            0.032591,                   0,             0.69574,             0.68841,             0.64605,             0.20721,            0.044701,            0.027174,                   0,            0.007723,            0.007723,            0.007723
                  48,            0.051012,            0.032904,                   0,             0.73705,             0.67678,             0.67159,             0.20479,            0.044256,            0.027081,                   0,           0.0076735,           0.0076735,           0.0076735
                  49,            0.052226,            0.032489,                   0,             0.72989,             0.69054,             0.66845,             0.21505,            0.042928,            0.026675,                   0,            0.007624,            0.007624,            0.007624
                  50,            0.050493,            0.032296,                   0,             0.73874,             0.71762,              0.6997,             0.22513,            0.041128,             0.02658,                   0,           0.0075745,           0.0075745,           0.0075745
                  51,             0.05198,            0.032226,                   0,             0.72032,             0.70712,              0.6659,              0.2163,            0.043365,            0.026521,                   0,            0.007525,            0.007525,            0.007525
                  52,            0.049769,            0.032108,                   0,             0.70446,             0.67864,             0.65547,             0.20669,            0.043989,            0.026814,                   0,           0.0074755,           0.0074755,           0.0074755
                  53,             0.04977,             0.03213,                   0,              0.7283,             0.70245,             0.68546,             0.22906,             0.04314,            0.026498,                   0,            0.007426,            0.007426,            0.007426
                  54,            0.050486,            0.032073,                   0,             0.73873,             0.71179,             0.70412,             0.22519,            0.041879,            0.026599,                   0,           0.0073765,           0.0073765,           0.0073765
                  55,            0.050278,            0.031764,                   0,             0.75461,             0.72112,             0.69787,             0.23366,             0.04163,            0.026466,                   0,            0.007327,            0.007327,            0.007327
                  56,            0.049156,            0.032784,                   0,              0.7458,             0.72929,             0.70759,             0.22761,            0.042824,             0.02641,                   0,           0.0072775,           0.0072775,           0.0072775
                  57,            0.049419,            0.031853,                   0,             0.72909,             0.73512,             0.70168,             0.22749,            0.043135,            0.026223,                   0,            0.007228,            0.007228,            0.007228
                  58,            0.049334,             0.03189,                   0,             0.76065,             0.75846,             0.71888,             0.24327,            0.040455,            0.026158,                   0,           0.0071785,           0.0071785,           0.0071785
                  59,            0.049476,            0.031991,                   0,             0.76264,             0.75613,             0.73109,             0.24145,            0.041329,            0.026214,                   0,            0.007129,            0.007129,            0.007129
                  60,            0.049447,             0.03217,                   0,             0.75032,             0.73162,             0.71795,             0.24005,            0.039985,            0.026562,                   0,           0.0070795,           0.0070795,           0.0070795
                  61,            0.049336,            0.032138,                   0,             0.73681,             0.70945,             0.70997,             0.23548,            0.041647,            0.026452,                   0,             0.00703,             0.00703,             0.00703
                  62,            0.048979,            0.032043,                   0,             0.75374,             0.76079,             0.73997,             0.25679,            0.039628,            0.026197,                   0,           0.0069805,           0.0069805,           0.0069805
                  63,            0.048478,            0.031874,                   0,             0.74363,             0.72462,             0.70898,             0.24055,            0.040894,            0.026177,                   0,            0.006931,            0.006931,            0.006931
                  64,            0.047718,            0.031573,                   0,             0.76121,             0.72534,             0.71729,              0.2429,             0.04065,            0.026442,                   0,           0.0068815,           0.0068815,           0.0068815
                  65,            0.047235,            0.031601,                   0,              0.7841,              0.7713,             0.75402,             0.25654,            0.040958,            0.025875,                   0,            0.006832,            0.006832,            0.006832
                  66,            0.048053,            0.031578,                   0,             0.76249,             0.74679,             0.73047,              0.2677,            0.040063,            0.025917,                   0,           0.0067825,           0.0067825,           0.0067825
                  67,            0.048556,            0.032084,                   0,             0.76481,             0.75496,             0.74512,             0.25692,            0.041644,            0.025887,                   0,            0.006733,            0.006733,            0.006733
                  68,            0.048114,            0.031575,                   0,             0.75271,             0.76313,             0.73081,             0.24596,             0.04085,            0.026306,                   0,           0.0066835,           0.0066835,           0.0066835
                  69,            0.048755,            0.031544,                   0,             0.79075,             0.74329,             0.74982,             0.26454,            0.040396,            0.025695,                   0,            0.006634,            0.006634,            0.006634
                  70,             0.04822,            0.031498,                   0,             0.77253,             0.73046,             0.73816,             0.25331,            0.039955,            0.026275,                   0,           0.0065845,           0.0065845,           0.0065845
                  71,             0.04715,            0.031407,                   0,             0.78631,             0.75568,             0.75419,             0.26447,            0.040765,            0.026257,                   0,            0.006535,            0.006535,            0.006535
                  72,            0.046347,            0.031279,                   0,             0.77039,              0.7713,             0.75364,             0.26222,            0.040126,            0.025383,                   0,           0.0064855,           0.0064855,           0.0064855
                  73,            0.045553,            0.031258,                   0,             0.79181,             0.78551,             0.78004,             0.28037,            0.038792,            0.025449,                   0,            0.006436,            0.006436,            0.006436
                  74,            0.046998,             0.03124,                   0,             0.78468,             0.79697,             0.77584,             0.27407,            0.039362,            0.025486,                   0,           0.0063865,           0.0063865,           0.0063865
                  75,            0.047378,            0.031006,                   0,             0.79391,              0.7923,             0.78794,             0.28239,            0.039538,            0.025246,                   0,            0.006337,            0.006337,            0.006337
                  76,            0.046053,            0.031183,                   0,             0.80913,             0.77946,              0.7872,             0.28284,            0.039403,            0.025296,                   0,           0.0062875,           0.0062875,           0.0062875
                  77,            0.044764,            0.030654,                   0,             0.80404,             0.78041,             0.77752,             0.29632,            0.038354,            0.025039,                   0,            0.006238,            0.006238,            0.006238
                  78,            0.043926,            0.030698,                   0,             0.78084,             0.78996,             0.77479,              0.2895,            0.037414,            0.025219,                   0,           0.0061885,           0.0061885,           0.0061885
                  79,            0.046278,            0.030992,                   0,             0.81076,             0.80747,             0.79994,             0.29564,             0.03896,            0.025113,                   0,            0.006139,            0.006139,            0.006139
                  80,            0.044992,            0.030494,                   0,             0.81211,             0.77166,             0.78748,             0.27551,             0.04001,             0.02528,                   0,           0.0060895,           0.0060895,           0.0060895
                  81,            0.045823,            0.031136,                   0,             0.80047,             0.80047,             0.78471,             0.29173,            0.037881,            0.025339,                   0,             0.00604,             0.00604,             0.00604
                  82,            0.045698,            0.030494,                   0,             0.79642,             0.79697,             0.78657,             0.30129,            0.038236,            0.025155,                   0,           0.0059905,           0.0059905,           0.0059905
                  83,            0.044802,            0.030817,                   0,              0.8034,             0.81214,             0.79933,              0.3022,              0.0386,            0.025101,                   0,            0.005941,            0.005941,            0.005941
                  84,             0.04484,            0.030349,                   0,               0.802,             0.81564,             0.81045,             0.30729,            0.037396,            0.024918,                   0,           0.0058915,           0.0058915,           0.0058915
                  85,            0.043986,            0.030156,                   0,             0.83066,             0.80747,             0.81104,             0.31249,            0.038031,            0.024785,                   0,            0.005842,            0.005842,            0.005842
                  86,            0.044889,            0.030486,                   0,             0.81489,             0.79813,             0.81053,             0.30097,            0.039105,            0.025222,                   0,           0.0057925,           0.0057925,           0.0057925
                  87,              0.0458,            0.030566,                   0,             0.81262,              0.8063,             0.80828,             0.29983,            0.038371,            0.025083,                   0,            0.005743,            0.005743,            0.005743
                  88,            0.044498,            0.030709,                   0,             0.82009,             0.80863,              0.8153,             0.30831,            0.038127,            0.024899,                   0,           0.0056935,           0.0056935,           0.0056935
                  89,            0.043094,            0.030471,                   0,             0.83603,             0.80863,             0.82722,             0.30332,              0.0379,            0.024924,                   0,            0.005644,            0.005644,            0.005644
                  90,            0.046157,            0.030878,                   0,             0.80814,             0.81447,             0.80717,             0.31238,            0.037726,            0.024859,                   0,           0.0055945,           0.0055945,           0.0055945
                  91,            0.046031,            0.030897,                   0,             0.83878,             0.79813,             0.82656,               0.317,            0.037329,            0.024871,                   0,            0.005545,            0.005545,            0.005545
                  92,            0.044144,            0.030117,                   0,              0.8062,             0.79813,             0.80264,             0.30557,            0.037524,            0.025177,                   0,           0.0054955,           0.0054955,           0.0054955
                  93,            0.045184,            0.030789,                   0,             0.82802,             0.81797,              0.8319,             0.33314,            0.036325,            0.024354,                   0,            0.005446,            0.005446,            0.005446
                  94,            0.043664,            0.030165,                   0,             0.81341,             0.79353,             0.81055,             0.31521,             0.03777,             0.02478,                   0,           0.0053965,           0.0053965,           0.0053965
                  95,            0.044332,            0.030154,                   0,             0.82696,             0.81414,             0.81921,             0.33871,            0.036441,            0.024178,                   0,            0.005347,            0.005347,            0.005347
                  96,            0.043396,            0.030042,                   0,             0.82907,             0.82063,             0.82076,             0.33177,            0.036088,            0.024263,                   0,           0.0052975,           0.0052975,           0.0052975
                  97,            0.043923,            0.030056,                   0,             0.82357,             0.83197,             0.82714,             0.34177,            0.036238,            0.024245,                   0,            0.005248,            0.005248,            0.005248
                  98,            0.043113,            0.030092,                   0,             0.83892,             0.83866,             0.84611,             0.35234,            0.036227,            0.024165,                   0,           0.0051985,           0.0051985,           0.0051985
                  99,            0.043498,            0.029321,                   0,              0.8548,             0.84247,             0.84545,             0.33851,            0.035934,            0.024152,                   0,            0.005149,            0.005149,            0.005149
                 100,            0.043477,            0.029654,                   0,             0.83609,             0.83664,             0.83521,             0.33701,            0.036681,             0.02415,                   0,           0.0050995,           0.0050995,           0.0050995
                 101,            0.043938,            0.029678,                   0,             0.85875,             0.82497,              0.8387,             0.34136,            0.035969,            0.024085,                   0,             0.00505,             0.00505,             0.00505
                 102,            0.042007,            0.029662,                   0,             0.84592,             0.83281,             0.84263,             0.33575,            0.036506,             0.02418,                   0,           0.0050005,           0.0050005,           0.0050005
                 103,            0.043174,            0.029368,                   0,             0.84494,             0.85298,             0.84813,             0.34498,            0.035616,             0.02394,                   0,            0.004951,            0.004951,            0.004951
                 104,            0.043109,             0.02992,                   0,               0.851,             0.85971,             0.86428,             0.35378,            0.035781,            0.023975,                   0,           0.0049015,           0.0049015,           0.0049015
                 105,            0.042954,            0.029443,                   0,             0.85783,             0.84131,             0.84541,              0.3518,              0.0352,             0.02388,                   0,            0.004852,            0.004852,            0.004852
                 106,            0.042977,            0.029474,                   0,             0.85521,             0.84084,             0.85205,             0.34841,            0.036028,            0.023977,                   0,           0.0048025,           0.0048025,           0.0048025
                 107,            0.040713,            0.029666,                   0,             0.86851,             0.86114,             0.86133,             0.35529,            0.035036,            0.023573,                   0,            0.004753,            0.004753,            0.004753
                 108,            0.042181,            0.029482,                   0,               0.876,             0.86231,             0.86987,             0.36645,            0.034394,            0.023695,                   0,           0.0047035,           0.0047035,           0.0047035
                 109,            0.041595,            0.029653,                   0,             0.87843,             0.86114,             0.87755,             0.36997,            0.034967,            0.023446,                   0,            0.004654,            0.004654,            0.004654
                 110,            0.041788,            0.029887,                   0,             0.88267,             0.84247,             0.86795,             0.36332,            0.035434,            0.023397,                   0,           0.0046045,           0.0046045,           0.0046045
                 111,            0.042503,            0.029306,                   0,             0.88368,             0.85983,             0.86765,             0.37373,            0.035076,            0.023367,                   0,            0.004555,            0.004555,            0.004555
                 112,            0.041639,            0.029035,                   0,             0.88767,             0.85181,             0.87171,             0.37834,            0.034173,            0.023404,                   0,           0.0045055,           0.0045055,           0.0045055
                 113,            0.041189,            0.029278,                   0,             0.87377,             0.87398,              0.8776,             0.37532,            0.034387,            0.023235,                   0,            0.004456,            0.004456,            0.004456
                 114,            0.040258,            0.029064,                   0,             0.86666,              0.8646,             0.87252,             0.37171,            0.034384,            0.023313,                   0,           0.0044065,           0.0044065,           0.0044065
                 115,            0.042237,            0.029173,                   0,             0.88329,             0.86698,             0.88007,             0.37801,            0.034311,            0.023045,                   0,            0.004357,            0.004357,            0.004357
                 116,            0.040656,            0.028899,                   0,             0.88108,             0.87048,             0.87441,             0.38595,            0.033782,            0.022842,                   0,           0.0043075,           0.0043075,           0.0043075
                 117,            0.041045,            0.029353,                   0,             0.89176,             0.87398,             0.88552,              0.3807,            0.033835,            0.023066,                   0,            0.004258,            0.004258,            0.004258
                 118,            0.040356,            0.029039,                   0,             0.87591,             0.87165,             0.88058,             0.38036,            0.033531,            0.023147,                   0,           0.0042085,           0.0042085,           0.0042085
                 119,            0.041844,            0.028864,                   0,             0.89551,             0.88098,             0.88736,             0.38393,            0.033698,            0.022897,                   0,            0.004159,            0.004159,            0.004159
                 120,            0.040299,            0.028798,                   0,             0.89528,             0.87787,             0.88704,             0.38848,            0.033464,            0.022879,                   0,           0.0041095,           0.0041095,           0.0041095
                 121,            0.039939,            0.028694,                   0,             0.87837,             0.87398,             0.87858,             0.39455,             0.03338,            0.022855,                   0,             0.00406,             0.00406,             0.00406
                 122,            0.041145,            0.028485,                   0,             0.89088,             0.87515,             0.88915,             0.38706,            0.033387,            0.023035,                   0,           0.0040105,           0.0040105,           0.0040105
                 123,            0.040818,            0.028578,                   0,             0.91038,             0.87709,             0.89816,             0.40527,            0.032164,            0.022545,                   0,            0.003961,            0.003961,            0.003961
                 124,             0.03992,            0.028271,                   0,             0.89283,             0.88458,             0.88986,              0.3933,            0.033907,            0.022631,                   0,           0.0039115,           0.0039115,           0.0039115
                 125,            0.040379,            0.028673,                   0,             0.91221,             0.88513,             0.90091,             0.41428,            0.032966,            0.022302,                   0,            0.003862,            0.003862,            0.003862
                 126,            0.039605,            0.028525,                   0,             0.89431,             0.87875,               0.893,              0.4094,            0.032299,            0.022417,                   0,           0.0038125,           0.0038125,           0.0038125
                 127,            0.040158,            0.028387,                   0,             0.89406,             0.88623,             0.89427,             0.40884,            0.032332,            0.022354,                   0,            0.003763,            0.003763,            0.003763
                 128,            0.038741,            0.028485,                   0,             0.90122,             0.88681,             0.90298,             0.40809,            0.032475,            0.022487,                   0,           0.0037135,           0.0037135,           0.0037135
                 129,            0.039147,            0.028436,                   0,             0.89564,             0.89615,             0.90529,             0.41131,            0.032505,            0.022222,                   0,            0.003664,            0.003664,            0.003664
                 130,            0.038999,            0.028101,                   0,             0.89902,             0.89341,             0.90443,             0.41853,            0.031986,            0.022153,                   0,           0.0036145,           0.0036145,           0.0036145
                 131,            0.039902,            0.028124,                   0,             0.88636,             0.89188,             0.89303,             0.41342,            0.032013,            0.022144,                   0,            0.003565,            0.003565,            0.003565
                 132,            0.038406,            0.028332,                   0,             0.90092,             0.89127,             0.90769,             0.41307,            0.032424,            0.022289,                   0,           0.0035155,           0.0035155,           0.0035155
                 133,            0.037604,            0.028321,                   0,             0.89944,             0.89753,             0.90686,             0.42646,            0.031533,             0.02202,                   0,            0.003466,            0.003466,            0.003466
                 134,            0.038177,            0.027568,                   0,             0.90138,             0.90651,             0.90927,             0.43075,            0.031582,            0.021929,                   0,           0.0034165,           0.0034165,           0.0034165
                 135,            0.038697,            0.027976,                   0,             0.90918,             0.89965,             0.90936,             0.42857,            0.031621,            0.021855,                   0,            0.003367,            0.003367,            0.003367
                 136,            0.038153,            0.027655,                   0,             0.89527,             0.88778,             0.90938,             0.42716,            0.032196,            0.022053,                   0,           0.0033175,           0.0033175,           0.0033175
                 137,            0.038001,            0.028023,                   0,             0.89954,             0.89852,             0.90994,             0.43143,            0.031622,            0.021923,                   0,            0.003268,            0.003268,            0.003268
                 138,            0.037906,            0.028082,                   0,             0.90227,             0.88339,             0.90177,              0.4371,             0.03117,            0.021802,                   0,           0.0032185,           0.0032185,           0.0032185
                 139,            0.037979,            0.028117,                   0,             0.91115,             0.88545,             0.90585,             0.44304,            0.031015,            0.021692,                   0,            0.003169,            0.003169,            0.003169
                 140,            0.038559,            0.027178,                   0,             0.91866,             0.90548,             0.91277,              0.4393,            0.031293,            0.021626,                   0,           0.0031195,           0.0031195,           0.0031195
                 141,            0.038849,            0.028033,                   0,             0.90694,             0.90548,             0.91605,             0.44109,            0.031173,            0.021565,                   0,             0.00307,             0.00307,             0.00307
                 142,            0.037948,            0.027805,                   0,             0.90351,             0.90685,             0.91679,             0.43619,            0.031204,            0.021577,                   0,           0.0030205,           0.0030205,           0.0030205
                 143,            0.036401,            0.027194,                   0,             0.92061,             0.90656,             0.92078,             0.44584,            0.030508,            0.021347,                   0,            0.002971,            0.002971,            0.002971
                 144,            0.037631,            0.027625,                   0,             0.91828,             0.89732,             0.91629,             0.44655,            0.030411,            0.021331,                   0,           0.0029215,           0.0029215,           0.0029215
                 145,            0.037197,            0.027065,                   0,             0.91547,             0.89032,             0.91163,             0.44682,            0.030857,            0.021395,                   0,            0.002872,            0.002872,            0.002872
                 146,            0.036409,            0.027593,                   0,             0.92645,             0.89662,              0.9231,              0.4524,             0.03076,            0.021323,                   0,           0.0028225,           0.0028225,           0.0028225
                 147,            0.037169,            0.026952,                   0,             0.91613,             0.91365,             0.92537,             0.45044,            0.030615,            0.021375,                   0,            0.002773,            0.002773,            0.002773
                 148,              0.0366,            0.027243,                   0,               0.919,             0.91249,             0.92748,             0.45551,            0.030372,            0.021367,                   0,           0.0027235,           0.0027235,           0.0027235
                 149,            0.037819,            0.027395,                   0,             0.92654,             0.90548,             0.92847,             0.45741,            0.030725,            0.021218,                   0,            0.002674,            0.002674,            0.002674
                 150,             0.03708,            0.027213,                   0,             0.91861,             0.91365,             0.92872,             0.46332,            0.030417,            0.021131,                   0,           0.0026245,           0.0026245,           0.0026245
                 151,            0.035702,            0.027352,                   0,             0.91889,             0.91132,             0.92614,             0.46646,            0.030301,            0.021004,                   0,            0.002575,            0.002575,            0.002575
                 152,            0.035912,            0.026941,                   0,              0.9249,             0.90898,             0.93253,             0.46306,            0.030073,            0.021021,                   0,           0.0025255,           0.0025255,           0.0025255
                 153,            0.036943,            0.026637,                   0,             0.92474,             0.91765,             0.93464,             0.46767,            0.030002,            0.020965,                   0,            0.002476,            0.002476,            0.002476
                 154,            0.035245,            0.027049,                   0,             0.92273,             0.91132,             0.93215,             0.45814,            0.030182,            0.021092,                   0,           0.0024265,           0.0024265,           0.0024265
                 155,             0.03602,            0.026846,                   0,             0.93258,             0.91132,             0.93288,             0.46816,             0.02982,            0.020883,                   0,            0.002377,            0.002377,            0.002377
                 156,            0.035052,            0.026618,                   0,             0.92918,             0.90665,             0.93135,             0.47763,            0.029656,            0.020709,                   0,           0.0023275,           0.0023275,           0.0023275
