               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12291,            0.037533,                   0,                   0,                   0,                   0,                   0,             0.10065,            0.022259,                   0,            0.070158,           0.0033158,           0.0033158
                   1,             0.11905,             0.02428,                   0,          2.3776e-05,           0.0011669,          1.2277e-05,          2.4554e-06,             0.10641,            0.013485,                   0,            0.040125,           0.0066162,           0.0066162
                   2,             0.12044,            0.022745,                   0,          0.00078508,            0.073512,          0.00087565,          0.00028273,             0.10016,            0.020348,                   0,            0.010059,           0.0098836,           0.0098836
                   3,             0.10393,            0.028842,                   0,             0.19434,             0.18802,            0.085988,             0.01864,            0.076741,            0.030449,                   0,           0.0098515,           0.0098515,           0.0098515
                   4,            0.092645,            0.033398,                   0,             0.27788,             0.25321,             0.15942,            0.036777,            0.066488,            0.031553,                   0,           0.0098515,           0.0098515,           0.0098515
                   5,            0.086311,            0.034626,                   0,             0.20679,             0.19837,             0.10606,            0.025262,            0.069246,             0.03237,                   0,            0.009802,            0.009802,            0.009802
                   6,            0.079865,            0.034563,                   0,             0.30248,             0.30563,             0.19712,            0.047001,            0.060796,            0.030543,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,            0.073483,            0.035069,                   0,             0.41642,             0.35239,             0.26197,            0.057051,            0.056717,             0.03061,                   0,            0.009703,            0.009703,            0.009703
                   8,            0.072314,            0.034891,                   0,             0.40227,             0.37459,             0.26301,            0.059985,            0.057817,            0.030742,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,            0.069949,            0.035096,                   0,             0.44131,             0.39633,             0.28924,            0.071078,            0.055857,            0.030581,                   0,            0.009604,            0.009604,            0.009604
                  10,            0.069693,            0.035128,                   0,             0.45898,             0.44574,             0.34466,            0.080047,            0.053314,             0.02991,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,            0.065753,             0.03445,                   0,              0.5164,             0.45603,             0.37307,            0.091273,            0.053347,            0.030281,                   0,            0.009505,            0.009505,            0.009505
                  12,            0.065372,            0.034719,                   0,             0.55574,             0.48023,             0.41365,             0.10435,            0.051782,            0.030165,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,            0.064172,            0.034143,                   0,             0.50346,             0.46615,             0.39301,             0.10217,            0.052643,            0.030188,                   0,            0.009406,            0.009406,            0.009406
                  14,            0.063615,            0.035196,                   0,             0.55417,             0.49894,             0.44688,             0.11709,            0.053197,            0.030107,                   0,           0.0093565,           0.0093565,           0.0093565
                  15,            0.064235,               0.035,                   0,             0.58527,             0.54026,             0.45538,             0.11519,            0.049263,            0.029505,                   0,            0.009307,            0.009307,            0.009307
                  16,            0.062624,            0.034614,                   0,             0.59088,             0.54609,              0.5011,             0.13176,            0.048234,            0.029995,                   0,           0.0092575,           0.0092575,           0.0092575
                  17,            0.060334,            0.034742,                   0,              0.5893,             0.54959,             0.47391,             0.12748,            0.049075,            0.029548,                   0,            0.009208,            0.009208,            0.009208
                  18,            0.061335,            0.033998,                   0,             0.60236,             0.54726,             0.48161,             0.12727,            0.049098,            0.029255,                   0,           0.0091585,           0.0091585,           0.0091585
                  19,            0.058717,            0.033848,                   0,             0.56995,             0.53442,             0.49231,             0.14073,            0.048197,            0.029131,                   0,            0.009109,            0.009109,            0.009109
                  20,            0.058872,            0.034351,                   0,             0.62457,             0.55076,             0.50401,             0.13161,            0.049271,            0.029033,                   0,           0.0090595,           0.0090595,           0.0090595
                  21,            0.061233,            0.034293,                   0,             0.63704,             0.54609,             0.49326,              0.1308,             0.04842,            0.029419,                   0,             0.00901,             0.00901,             0.00901
                  22,            0.059742,            0.034468,                   0,              0.5839,                0.56,              0.4862,              0.1322,            0.048309,            0.030321,                   0,           0.0089605,           0.0089605,           0.0089605
                  23,            0.058445,            0.033686,                   0,             0.65945,             0.56715,              0.5155,             0.13781,            0.047847,            0.029281,                   0,            0.008911,            0.008911,            0.008911
                  24,            0.057035,            0.033889,                   0,             0.61761,             0.60327,             0.55601,              0.1595,            0.046585,            0.029047,                   0,           0.0088615,           0.0088615,           0.0088615
                  25,            0.058667,            0.034766,                   0,             0.63323,             0.60093,             0.53379,             0.15003,             0.04668,            0.028635,                   0,            0.008812,            0.008812,            0.008812
                  26,            0.055442,            0.034442,                   0,             0.64931,             0.59627,             0.54371,             0.15444,             0.04689,            0.028332,                   0,           0.0087625,           0.0087625,           0.0087625
                  27,            0.056808,            0.033872,                   0,             0.67534,             0.61494,             0.55682,             0.15689,            0.045505,            0.029128,                   0,            0.008713,            0.008713,            0.008713
                  28,            0.057707,            0.034117,                   0,             0.68101,             0.63944,             0.57929,             0.17041,            0.045202,            0.028199,                   0,           0.0086635,           0.0086635,           0.0086635
                  29,            0.056912,            0.033731,                   0,             0.66447,             0.62894,             0.58391,             0.16906,            0.045516,            0.027894,                   0,            0.008614,            0.008614,            0.008614
                  30,            0.055308,            0.033968,                   0,             0.64904,             0.63594,             0.57491,             0.16541,            0.045399,            0.028221,                   0,           0.0085645,           0.0085645,           0.0085645
                  31,            0.055611,            0.033875,                   0,             0.66141,             0.66278,             0.59788,             0.17116,            0.045056,            0.028023,                   0,            0.008515,            0.008515,            0.008515
                  32,            0.054192,            0.033762,                   0,             0.67992,             0.63594,             0.57471,             0.16659,            0.045069,            0.028455,                   0,           0.0084655,           0.0084655,           0.0084655
                  33,             0.05473,            0.033292,                   0,              0.6499,             0.66064,             0.58152,             0.16938,            0.045348,             0.02802,                   0,            0.008416,            0.008416,            0.008416
                  34,            0.053465,            0.033139,                   0,             0.64979,             0.66035,              0.5822,             0.17191,            0.046311,            0.028462,                   0,           0.0083665,           0.0083665,           0.0083665
                  35,            0.053206,            0.033608,                   0,             0.65746,             0.65694,             0.59857,             0.17521,            0.045664,            0.027773,                   0,            0.008317,            0.008317,            0.008317
                  36,            0.054011,            0.033268,                   0,              0.6392,             0.64911,             0.58003,             0.16788,            0.045282,            0.027968,                   0,           0.0082675,           0.0082675,           0.0082675
                  37,            0.053676,            0.033575,                   0,              0.6524,             0.65702,             0.60647,             0.17944,            0.044003,            0.027576,                   0,            0.008218,            0.008218,            0.008218
                  38,            0.052447,            0.032733,                   0,             0.69841,             0.67795,              0.6416,             0.19345,            0.045589,            0.027211,                   0,           0.0081685,           0.0081685,           0.0081685
                  39,            0.055703,            0.033107,                   0,             0.69857,             0.68958,             0.64295,             0.19409,            0.044208,             0.02767,                   0,            0.008119,            0.008119,            0.008119
                  40,            0.053927,            0.033344,                   0,             0.68407,             0.65344,             0.61429,             0.18367,            0.043766,            0.027827,                   0,           0.0080695,           0.0080695,           0.0080695
                  41,            0.053823,            0.033034,                   0,             0.68695,             0.68261,             0.64769,             0.19157,            0.044278,            0.027596,                   0,             0.00802,             0.00802,             0.00802
                  42,            0.052767,            0.033453,                   0,             0.69071,             0.67491,              0.6325,             0.19533,            0.045098,            0.027508,                   0,           0.0079705,           0.0079705,           0.0079705
                  43,            0.054437,            0.033334,                   0,             0.68324,             0.66696,             0.60958,             0.19008,            0.044451,            0.027296,                   0,            0.007921,            0.007921,            0.007921
                  44,            0.052406,            0.032455,                   0,             0.70467,             0.69327,             0.63876,             0.20288,            0.043662,            0.027272,                   0,           0.0078715,           0.0078715,           0.0078715
                  45,            0.052964,            0.033107,                   0,             0.71923,             0.69895,             0.65314,             0.20743,            0.042811,            0.027076,                   0,            0.007822,            0.007822,            0.007822
                  46,            0.052462,            0.033067,                   0,             0.70988,             0.72112,             0.67305,             0.20809,            0.043306,            0.026888,                   0,           0.0077725,           0.0077725,           0.0077725
                  47,            0.052774,            0.032834,                   0,             0.69179,             0.72025,             0.67168,             0.20614,            0.043941,            0.027099,                   0,            0.007723,            0.007723,            0.007723
                  48,            0.051049,            0.032943,                   0,             0.71688,             0.71502,             0.66995,             0.21549,            0.042181,            0.026934,                   0,           0.0076735,           0.0076735,           0.0076735
                  49,            0.052878,             0.03283,                   0,             0.68831,             0.72407,             0.65952,             0.21227,            0.042275,             0.02683,                   0,            0.007624,            0.007624,            0.007624
                  50,            0.050723,            0.032463,                   0,             0.73533,             0.70672,             0.67578,             0.21215,            0.042156,             0.02691,                   0,           0.0075745,           0.0075745,           0.0075745
                  51,            0.052399,            0.032499,                   0,             0.70431,             0.71762,             0.64281,             0.20827,            0.042519,            0.026601,                   0,            0.007525,            0.007525,            0.007525
                  52,            0.050114,            0.032218,                   0,             0.71715,             0.72187,             0.67689,             0.22221,            0.041415,            0.026648,                   0,           0.0074755,           0.0074755,           0.0074755
                  53,            0.049804,            0.032461,                   0,             0.72368,             0.69545,             0.66149,             0.21826,            0.043222,            0.026833,                   0,            0.007426,            0.007426,            0.007426
                  54,            0.051174,            0.032266,                   0,             0.72427,             0.73255,             0.68452,             0.22855,            0.042022,            0.026582,                   0,           0.0073765,           0.0073765,           0.0073765
                  55,            0.051364,            0.032079,                   0,             0.72592,             0.71699,             0.68526,              0.2267,            0.042195,            0.026767,                   0,            0.007327,            0.007327,            0.007327
                  56,            0.049557,            0.032894,                   0,             0.71003,             0.72462,             0.67136,             0.22233,            0.042989,            0.026501,                   0,           0.0072775,           0.0072775,           0.0072775
                  57,            0.049401,            0.032235,                   0,             0.72637,             0.70945,             0.66633,             0.20927,            0.042569,            0.026847,                   0,            0.007228,            0.007228,            0.007228
                  58,            0.049947,            0.032035,                   0,             0.74329,             0.74912,             0.69826,             0.24043,            0.040517,            0.026367,                   0,           0.0071785,           0.0071785,           0.0071785
                  59,            0.050224,            0.032254,                   0,             0.72592,             0.71645,             0.68495,             0.22975,            0.042719,            0.026422,                   0,            0.007129,            0.007129,            0.007129
                  60,            0.049652,            0.032355,                   0,             0.75029,             0.73396,             0.72443,             0.24908,            0.041132,            0.026238,                   0,           0.0070795,           0.0070795,           0.0070795
                  61,            0.049074,            0.031997,                   0,             0.74061,             0.71962,             0.67985,              0.2331,            0.041317,            0.026581,                   0,             0.00703,             0.00703,             0.00703
                  62,            0.049325,            0.032176,                   0,             0.73614,             0.75963,              0.7038,             0.24392,            0.040029,            0.026333,                   0,           0.0069805,           0.0069805,           0.0069805
                  63,            0.048879,            0.031898,                   0,             0.71036,             0.70973,             0.67102,             0.21989,            0.042549,            0.027065,                   0,            0.006931,            0.006931,            0.006931
                  64,            0.048073,            0.032058,                   0,             0.74898,             0.74856,             0.70598,             0.24104,            0.040481,            0.026141,                   0,           0.0068815,           0.0068815,           0.0068815
                  65,            0.047277,            0.031795,                   0,              0.7533,             0.75379,             0.72237,             0.24932,            0.039986,            0.026078,                   0,            0.006832,            0.006832,            0.006832
                  66,            0.047658,            0.031623,                   0,             0.74193,             0.75963,             0.71483,              0.2519,            0.040623,            0.026205,                   0,           0.0067825,           0.0067825,           0.0067825
                  67,            0.048883,            0.032354,                   0,             0.73645,             0.74796,              0.7084,             0.24959,            0.040495,            0.026243,                   0,            0.006733,            0.006733,            0.006733
                  68,            0.048316,             0.03185,                   0,             0.74445,             0.76821,             0.69984,             0.24826,            0.040203,            0.026154,                   0,           0.0066835,           0.0066835,           0.0066835
                  69,            0.048374,            0.031553,                   0,             0.76349,             0.74796,             0.73016,             0.25712,            0.040034,            0.026075,                   0,            0.006634,            0.006634,            0.006634
                  70,            0.048504,            0.031514,                   0,             0.76075,             0.75729,             0.71877,             0.25301,             0.04176,            0.025787,                   0,           0.0065845,           0.0065845,           0.0065845
                  71,              0.0476,            0.031535,                   0,             0.77215,             0.76429,             0.73167,             0.27127,            0.040613,            0.026052,                   0,            0.006535,            0.006535,            0.006535
                  72,            0.047153,            0.031438,                   0,             0.75673,             0.78646,             0.74086,             0.26328,             0.03895,            0.026024,                   0,           0.0064855,           0.0064855,           0.0064855
                  73,            0.045723,            0.031315,                   0,              0.7708,             0.75963,             0.74915,              0.2657,            0.039553,            0.025858,                   0,            0.006436,            0.006436,            0.006436
                  74,             0.04709,            0.031287,                   0,               0.776,             0.75963,             0.75303,             0.25548,            0.040512,            0.026262,                   0,           0.0063865,           0.0063865,           0.0063865
                  75,            0.048172,            0.031248,                   0,             0.76269,              0.7838,              0.7393,             0.26552,            0.039533,             0.02575,                   0,            0.006337,            0.006337,            0.006337
                  76,             0.04581,            0.031366,                   0,             0.79834,             0.77246,             0.74495,              0.2682,            0.038934,             0.02556,                   0,           0.0062875,           0.0062875,           0.0062875
                  77,            0.045874,            0.030932,                   0,             0.76634,             0.78063,             0.74801,             0.26126,            0.039283,            0.025688,                   0,            0.006238,            0.006238,            0.006238
                  78,            0.044814,            0.030913,                   0,             0.77283,             0.77246,             0.74299,              0.2633,            0.039505,            0.025879,                   0,           0.0061885,           0.0061885,           0.0061885
                  79,            0.046652,            0.031262,                   0,             0.74671,             0.79117,             0.75123,             0.27975,             0.03914,            0.025485,                   0,            0.006139,            0.006139,            0.006139
                  80,            0.045535,            0.030971,                   0,              0.7694,             0.78296,             0.74087,             0.26061,             0.03963,            0.025634,                   0,           0.0060895,           0.0060895,           0.0060895
                  81,             0.04624,            0.031332,                   0,              0.7577,             0.77363,             0.74313,              0.2758,            0.038715,             0.02576,                   0,             0.00604,             0.00604,             0.00604
                  82,            0.045712,            0.030594,                   0,             0.78134,              0.7853,             0.75238,             0.27695,            0.039497,            0.025296,                   0,           0.0059905,           0.0059905,           0.0059905
                  83,            0.045113,            0.031131,                   0,             0.77492,              0.7923,             0.76009,             0.28375,            0.038435,            0.025418,                   0,            0.005941,            0.005941,            0.005941
                  84,            0.045636,            0.030934,                   0,             0.78517,             0.80163,             0.78767,             0.29236,            0.037819,            0.025169,                   0,           0.0058915,           0.0058915,           0.0058915
                  85,            0.045746,            0.030453,                   0,             0.79838,             0.80397,             0.78168,             0.29734,            0.038551,            0.025005,                   0,            0.005842,            0.005842,            0.005842
