               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12248,             0.24078,                   0,                   0,                   0,                   0,                   0,             0.10123,            0.024473,                   0,            0.070158,           0.0033158,           0.0033158
                   1,             0.11929,             0.02604,                   0,          0.00011614,            0.015169,          5.9298e-05,          1.0459e-05,             0.10026,            0.020964,                   0,            0.040125,           0.0066162,           0.0066162
                   2,             0.11806,            0.026183,                   0,           0.0023774,             0.30805,           0.0023149,          0.00050197,            0.098943,            0.029142,                   0,            0.010059,           0.0098836,           0.0098836
                   3,             0.10037,            0.032827,                   0,             0.17147,             0.17036,            0.080816,            0.017649,            0.072333,            0.033583,                   0,           0.0098515,           0.0098515,           0.0098515
                   4,            0.091216,            0.034212,                   0,             0.30764,             0.27168,             0.18052,            0.040908,            0.066039,            0.030158,                   0,           0.0098515,           0.0098515,           0.0098515
                   5,            0.084896,            0.034939,                   0,             0.38037,             0.31272,             0.22109,            0.050192,            0.063514,             0.03032,                   0,            0.009802,            0.009802,            0.009802
                   6,            0.078845,             0.03485,                   0,             0.29747,             0.32439,             0.21295,            0.050278,            0.060214,            0.031894,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,            0.074392,            0.035074,                   0,             0.31427,             0.31389,             0.17703,            0.041156,            0.059736,            0.030259,                   0,            0.009703,            0.009703,            0.009703
                   8,            0.071401,            0.034897,                   0,             0.43407,              0.3874,             0.29115,            0.066466,            0.059295,            0.031307,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,            0.071236,            0.034985,                   0,             0.41744,             0.27071,              0.2091,            0.050857,            0.061297,            0.031155,                   0,            0.009604,            0.009604,            0.009604
                  10,             0.07038,            0.035159,                   0,             0.50693,             0.45858,             0.34467,            0.083135,            0.053238,            0.029642,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,            0.065578,            0.034434,                   0,              0.5608,             0.48308,             0.44757,              0.1165,            0.051888,            0.029951,                   0,            0.009505,            0.009505,            0.009505
                  12,            0.065401,            0.034723,                   0,             0.57011,             0.53387,             0.43655,               0.113,            0.051091,            0.029593,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,            0.064351,            0.033968,                   0,             0.59544,             0.55817,             0.48422,             0.13182,            0.050146,             0.02943,                   0,            0.009406,            0.009406,            0.009406
                  14,            0.063011,            0.034942,                   0,              0.5668,             0.51225,             0.44087,             0.12126,             0.04854,            0.029372,                   0,           0.0093565,           0.0093565,           0.0093565
                  15,            0.064227,            0.034766,                   0,             0.58142,             0.55432,             0.47364,              0.1295,            0.049231,            0.029023,                   0,            0.009307,            0.009307,            0.009307
                  16,            0.062201,            0.034563,                   0,             0.57871,             0.56359,             0.48094,                0.13,             0.04947,            0.029037,                   0,           0.0092575,           0.0092575,           0.0092575
                  17,            0.060992,            0.034529,                   0,             0.59375,             0.57473,             0.49995,             0.14501,            0.047721,            0.028768,                   0,            0.009208,            0.009208,            0.009208
                  18,            0.061667,            0.033897,                   0,             0.59801,             0.55776,             0.49631,             0.14398,            0.047897,            0.029064,                   0,           0.0091585,           0.0091585,           0.0091585
                  19,             0.05883,            0.033891,                   0,             0.57654,             0.53676,             0.46642,             0.12706,            0.048467,             0.03058,                   0,            0.009109,            0.009109,            0.009109
                  20,            0.058295,            0.034327,                   0,             0.61653,             0.57033,             0.51709,             0.14848,             0.04712,            0.028655,                   0,           0.0090595,           0.0090595,           0.0090595
                  21,            0.062039,            0.034033,                   0,             0.59715,             0.59043,             0.52657,             0.15408,            0.046863,            0.028602,                   0,             0.00901,             0.00901,             0.00901
                  22,            0.059615,            0.034304,                   0,             0.62662,             0.56826,             0.52707,              0.1531,             0.04872,            0.028634,                   0,           0.0089605,           0.0089605,           0.0089605
                  23,            0.058151,            0.033349,                   0,             0.63604,             0.59743,             0.54711,              0.1584,            0.046882,            0.028374,                   0,            0.008911,            0.008911,            0.008911
                  24,            0.057403,            0.033614,                   0,              0.6577,             0.62427,             0.58539,             0.16666,             0.04575,            0.028092,                   0,           0.0088615,           0.0088615,           0.0088615
                  25,            0.058594,            0.034568,                   0,             0.63776,             0.57526,             0.55537,             0.16521,            0.045999,             0.02801,                   0,            0.008812,            0.008812,            0.008812
                  26,            0.055993,            0.034068,                   0,             0.65868,              0.6091,              0.5864,             0.17812,            0.046331,            0.027858,                   0,           0.0087625,           0.0087625,           0.0087625
                  27,            0.055983,            0.033507,                   0,             0.64167,             0.63521,             0.58445,             0.16655,            0.046785,            0.028424,                   0,            0.008713,            0.008713,            0.008713
                  28,            0.057707,            0.033758,                   0,             0.63467,             0.63361,              0.5949,             0.17502,            0.047351,             0.02777,                   0,           0.0086635,           0.0086635,           0.0086635
                  29,            0.057241,            0.033325,                   0,             0.70105,             0.66861,             0.63789,             0.18824,            0.045006,            0.027837,                   0,            0.008614,            0.008614,            0.008614
                  30,            0.056016,            0.033846,                   0,             0.63711,             0.63506,              0.5735,              0.1706,            0.047005,            0.028346,                   0,           0.0085645,           0.0085645,           0.0085645
                  31,             0.05632,            0.033635,                   0,             0.67226,             0.63944,              0.5847,             0.17135,            0.045151,            0.027992,                   0,            0.008515,            0.008515,            0.008515
                  32,            0.055359,            0.033376,                   0,             0.67314,             0.68728,             0.62162,             0.19015,            0.043838,            0.027799,                   0,           0.0084655,           0.0084655,           0.0084655
                  33,            0.055364,            0.032819,                   0,             0.67329,             0.67678,             0.62834,             0.19211,            0.043697,            0.027957,                   0,            0.008416,            0.008416,            0.008416
                  34,            0.054256,              0.0328,                   0,              0.6816,             0.67328,             0.61121,             0.18755,            0.044276,             0.02754,                   0,           0.0083665,           0.0083665,           0.0083665
                  35,            0.053938,            0.033067,                   0,             0.68079,             0.68961,             0.64984,             0.20077,            0.043877,             0.02729,                   0,            0.008317,            0.008317,            0.008317
                  36,            0.054706,            0.033133,                   0,              0.6719,              0.6667,             0.63181,             0.18346,            0.044994,            0.027908,                   0,           0.0082675,           0.0082675,           0.0082675
                  37,            0.054169,             0.03323,                   0,             0.66846,             0.67678,              0.6428,             0.18683,            0.043739,            0.027696,                   0,            0.008218,            0.008218,            0.008218
                  38,            0.052117,            0.032451,                   0,              0.7045,             0.68728,             0.66686,             0.21963,            0.042952,            0.027169,                   0,           0.0081685,           0.0081685,           0.0081685
                  39,            0.056105,            0.032599,                   0,             0.69034,             0.68261,             0.64367,             0.20687,            0.043595,            0.027161,                   0,            0.008119,            0.008119,            0.008119
                  40,            0.052356,            0.032611,                   0,             0.67612,             0.68935,             0.63387,             0.19927,            0.043614,             0.02775,                   0,           0.0080695,           0.0080695,           0.0080695
                  41,            0.053206,             0.03262,                   0,             0.67644,             0.64411,             0.62342,              0.1985,            0.044874,            0.027075,                   0,             0.00802,             0.00802,             0.00802
                  42,            0.052261,            0.032781,                   0,             0.72745,             0.71645,             0.67176,             0.22291,            0.042757,            0.026513,                   0,           0.0079705,           0.0079705,           0.0079705
                  43,            0.053811,            0.032797,                   0,             0.72017,             0.71473,             0.67409,             0.21573,            0.043405,            0.026902,                   0,            0.007921,            0.007921,            0.007921
                  44,            0.052401,            0.031664,                   0,             0.70465,             0.73162,             0.67988,             0.21354,            0.042936,            0.027023,                   0,           0.0078715,           0.0078715,           0.0078715
                  45,             0.05253,            0.032335,                   0,             0.72797,             0.72462,             0.69252,             0.22888,             0.04177,            0.027188,                   0,            0.007822,            0.007822,            0.007822
                  46,            0.052527,            0.032595,                   0,              0.7093,             0.71412,             0.68751,              0.2142,            0.043048,            0.027004,                   0,           0.0077725,           0.0077725,           0.0077725
                  47,            0.052685,            0.032279,                   0,             0.73002,             0.73512,             0.70078,             0.23347,            0.041542,            0.026595,                   0,            0.007723,            0.007723,            0.007723
                  48,            0.050026,            0.032083,                   0,             0.74193,             0.73746,             0.71453,             0.24193,            0.041881,            0.026367,                   0,           0.0076735,           0.0076735,           0.0076735
                  49,            0.051433,            0.031931,                   0,              0.7353,             0.73746,             0.70126,             0.23806,            0.041919,            0.026425,                   0,            0.007624,            0.007624,            0.007624
                  50,            0.050751,            0.031868,                   0,              0.7462,             0.75846,             0.72566,             0.23679,            0.041372,            0.026405,                   0,           0.0075745,           0.0075745,           0.0075745
                  51,             0.05188,            0.031733,                   0,             0.73644,             0.73362,             0.71827,              0.2385,            0.041676,            0.026606,                   0,            0.007525,            0.007525,            0.007525
                  52,            0.049538,            0.031646,                   0,             0.77587,             0.77363,               0.765,             0.25526,            0.041216,            0.025708,                   0,           0.0074755,           0.0074755,           0.0074755
                  53,            0.048583,            0.031571,                   0,             0.73109,             0.74552,             0.71609,             0.24965,            0.041648,            0.026402,                   0,            0.007426,            0.007426,            0.007426
                  54,            0.050323,            0.031696,                   0,             0.75074,             0.74796,             0.72381,             0.23497,            0.041171,             0.02649,                   0,           0.0073765,           0.0073765,           0.0073765
                  55,            0.050687,             0.03138,                   0,             0.75729,             0.76821,             0.76329,             0.26639,            0.039706,            0.025871,                   0,            0.007327,            0.007327,            0.007327
                  56,            0.048494,             0.03205,                   0,             0.76078,              0.7923,             0.75719,             0.26349,            0.039079,            0.026237,                   0,           0.0072775,           0.0072775,           0.0072775
                  57,            0.048522,            0.031339,                   0,             0.76093,             0.76896,             0.75812,             0.26308,            0.040573,            0.025799,                   0,            0.007228,            0.007228,            0.007228
                  58,            0.048625,            0.031354,                   0,             0.76728,             0.76663,              0.7568,             0.26942,            0.039649,             0.02577,                   0,           0.0071785,           0.0071785,           0.0071785
                  59,            0.049868,            0.031831,                   0,             0.74349,              0.7888,             0.76059,             0.27546,            0.040379,             0.02627,                   0,            0.007129,            0.007129,            0.007129
                  60,              0.0487,            0.031504,                   0,             0.77836,              0.7923,             0.76743,             0.27617,            0.039286,            0.025612,                   0,           0.0070795,           0.0070795,           0.0070795
                  61,            0.048277,            0.031312,                   0,             0.76338,             0.78303,             0.75661,             0.28003,            0.039597,            0.025501,                   0,             0.00703,             0.00703,             0.00703
                  62,            0.048029,             0.03137,                   0,             0.79477,             0.78628,             0.77998,             0.27615,            0.039403,            0.025413,                   0,           0.0069805,           0.0069805,           0.0069805
                  63,            0.047634,            0.031138,                   0,             0.75944,              0.7713,             0.75145,             0.26083,            0.040026,            0.026219,                   0,            0.006931,            0.006931,            0.006931
                  64,            0.047393,            0.031088,                   0,                 0.8,              0.7888,             0.78821,             0.28073,            0.038425,            0.025354,                   0,           0.0068815,           0.0068815,           0.0068815
                  65,            0.046392,            0.031097,                   0,             0.78124,             0.78996,             0.76488,              0.2799,            0.038571,            0.025351,                   0,            0.006832,            0.006832,            0.006832
                  66,             0.04668,            0.030945,                   0,             0.77634,              0.7748,             0.76898,             0.27978,            0.039376,            0.025365,                   0,           0.0067825,           0.0067825,           0.0067825
                  67,            0.048011,             0.03145,                   0,             0.77981,             0.81447,             0.78722,             0.27682,            0.038589,            0.025488,                   0,            0.006733,            0.006733,            0.006733
                  68,            0.047855,            0.030982,                   0,             0.79862,             0.80047,             0.78657,             0.29439,            0.038593,            0.025196,                   0,           0.0066835,           0.0066835,           0.0066835
                  69,            0.047833,            0.030894,                   0,             0.78189,             0.80312,             0.79986,             0.29778,            0.038102,            0.025252,                   0,            0.006634,            0.006634,            0.006634
                  70,             0.04719,            0.030731,                   0,             0.77846,              0.7923,             0.78833,             0.28574,            0.039516,            0.025555,                   0,           0.0065845,           0.0065845,           0.0065845
                  71,            0.047593,            0.030812,                   0,             0.79275,             0.79813,             0.79345,             0.29859,            0.039168,            0.025255,                   0,            0.006535,            0.006535,            0.006535
                  72,            0.046064,            0.030616,                   0,             0.81008,             0.80863,             0.80258,             0.30231,            0.037448,             0.02484,                   0,           0.0064855,           0.0064855,           0.0064855
                  73,            0.045251,             0.03056,                   0,             0.80126,              0.8063,             0.80087,             0.30311,            0.038326,            0.025013,                   0,            0.006436,            0.006436,            0.006436
                  74,             0.04668,            0.030687,                   0,             0.78487,             0.81914,             0.79565,             0.30102,            0.038039,            0.025264,                   0,           0.0063865,           0.0063865,           0.0063865
                  75,             0.04685,            0.030169,                   0,             0.80447,              0.8133,             0.80152,             0.30707,            0.037907,            0.024839,                   0,            0.006337,            0.006337,            0.006337
                  76,            0.044124,            0.030419,                   0,             0.82407,             0.83079,             0.82228,             0.32246,            0.037425,            0.024467,                   0,           0.0062875,           0.0062875,           0.0062875
                  77,            0.044106,            0.029957,                   0,             0.82681,                0.83,             0.82839,              0.3102,            0.037184,            0.024619,                   0,            0.006238,            0.006238,            0.006238
                  78,            0.043344,             0.02987,                   0,             0.82567,             0.82345,             0.81854,             0.31377,            0.037312,            0.024502,                   0,           0.0061885,           0.0061885,           0.0061885
                  79,            0.045061,              0.0302,                   0,             0.82305,             0.84127,             0.84325,             0.32126,            0.037301,            0.024805,                   0,            0.006139,            0.006139,            0.006139
                  80,            0.043685,             0.02977,                   0,              0.8223,             0.84364,             0.84012,             0.34288,            0.036773,             0.02421,                   0,           0.0060895,           0.0060895,           0.0060895
                  81,            0.044544,            0.030065,                   0,             0.80803,             0.82497,             0.82278,              0.3235,            0.037165,            0.024499,                   0,             0.00604,             0.00604,             0.00604
                  82,            0.044579,            0.029721,                   0,             0.82155,             0.84014,             0.83252,             0.33646,            0.036162,            0.024261,                   0,           0.0059905,           0.0059905,           0.0059905
                  83,            0.043611,            0.029979,                   0,             0.83955,             0.83547,             0.84638,             0.34812,            0.035252,            0.023904,                   0,            0.005941,            0.005941,            0.005941
                  84,            0.043168,            0.029583,                   0,             0.85266,             0.85648,             0.86236,             0.35859,            0.035559,            0.023824,                   0,           0.0058915,           0.0058915,           0.0058915
                  85,            0.042926,            0.029246,                   0,             0.82841,             0.84131,             0.84076,             0.35092,            0.035712,            0.023712,                   0,            0.005842,            0.005842,            0.005842
                  86,            0.043091,            0.029455,                   0,             0.86099,             0.86931,              0.8669,             0.37226,             0.03498,            0.023356,                   0,           0.0057925,           0.0057925,           0.0057925
                  87,            0.043993,            0.029402,                   0,             0.83967,             0.85414,             0.85559,             0.35094,            0.036304,            0.023908,                   0,            0.005743,            0.005743,            0.005743
                  88,            0.043183,            0.029357,                   0,             0.84529,              0.8479,             0.85476,             0.35565,            0.035273,             0.02364,                   0,           0.0056935,           0.0056935,           0.0056935
                  89,            0.041159,            0.029192,                   0,             0.86413,             0.87748,             0.87394,             0.36203,            0.035131,            0.023585,                   0,            0.005644,            0.005644,            0.005644
                  90,            0.044186,            0.029808,                   0,             0.86152,             0.85298,             0.86261,             0.36066,            0.034711,            0.023654,                   0,           0.0055945,           0.0055945,           0.0055945
                  91,            0.044202,            0.029691,                   0,             0.85814,             0.86114,             0.87046,             0.35903,            0.035027,            0.023458,                   0,            0.005545,            0.005545,            0.005545
                  92,            0.042589,            0.029233,                   0,             0.84607,             0.86583,              0.8644,             0.36798,            0.034034,            0.023446,                   0,           0.0054955,           0.0054955,           0.0054955
                  93,            0.042792,            0.029578,                   0,             0.84902,             0.85957,             0.87835,             0.37434,            0.034991,            0.023334,                   0,            0.005446,            0.005446,            0.005446
                  94,            0.041657,            0.028821,                   0,              0.8707,             0.86435,             0.86976,             0.38594,            0.033796,            0.023169,                   0,           0.0053965,           0.0053965,           0.0053965
                  95,            0.042097,             0.02903,                   0,             0.88242,             0.87748,             0.89652,             0.38873,            0.033804,            0.022944,                   0,            0.005347,            0.005347,            0.005347
                  96,            0.042213,            0.028869,                   0,             0.88164,             0.87748,             0.89465,             0.39265,            0.034108,            0.022756,                   0,           0.0052975,           0.0052975,           0.0052975
                  97,             0.04214,             0.02893,                   0,              0.8759,             0.87296,             0.88862,             0.37584,            0.034572,            0.023163,                   0,            0.005248,            0.005248,            0.005248
                  98,            0.041333,            0.029089,                   0,             0.87813,             0.87515,             0.90067,             0.39701,            0.033995,            0.023028,                   0,           0.0051985,           0.0051985,           0.0051985
                  99,            0.041323,            0.028019,                   0,             0.87507,             0.87457,             0.88507,             0.40048,            0.033597,            0.022793,                   0,            0.005149,            0.005149,            0.005149
                 100,            0.041605,            0.028536,                   0,             0.86585,             0.87165,             0.88587,             0.39074,            0.034166,            0.023017,                   0,           0.0050995,           0.0050995,           0.0050995
                 101,            0.042162,            0.028535,                   0,             0.87896,             0.86348,             0.88515,             0.39489,            0.034181,            0.022838,                   0,             0.00505,             0.00505,             0.00505
                 102,            0.039619,            0.028409,                   0,             0.87863,             0.87165,             0.89328,             0.40166,             0.03405,            0.022722,                   0,           0.0050005,           0.0050005,           0.0050005
                 103,            0.040822,            0.028133,                   0,             0.85955,             0.87048,             0.87717,             0.39797,            0.033377,            0.022933,                   0,            0.004951,            0.004951,            0.004951
                 104,            0.040686,            0.028636,                   0,             0.88984,             0.89148,             0.88947,             0.40784,            0.032872,            0.022298,                   0,           0.0049015,           0.0049015,           0.0049015
                 105,            0.041403,            0.028182,                   0,             0.87761,             0.87748,             0.89374,              0.3858,            0.034111,            0.022816,                   0,            0.004852,            0.004852,            0.004852
                 106,            0.041419,            0.028459,                   0,             0.90605,               0.889,             0.90544,             0.41663,            0.032538,            0.022348,                   0,           0.0048025,           0.0048025,           0.0048025
                 107,            0.039182,            0.028595,                   0,             0.91122,             0.89827,             0.91332,              0.4211,            0.032619,            0.022336,                   0,            0.004753,            0.004753,            0.004753
                 108,            0.040135,            0.028254,                   0,             0.90335,             0.88344,             0.90007,             0.41935,            0.032821,            0.022346,                   0,           0.0047035,           0.0047035,           0.0047035
                 109,            0.039639,            0.028573,                   0,              0.9057,             0.88681,             0.90027,             0.43197,            0.031993,            0.022108,                   0,            0.004654,            0.004654,            0.004654
                 110,            0.039407,            0.028512,                   0,             0.90219,             0.89334,             0.90457,             0.42213,            0.032383,            0.022264,                   0,           0.0046045,           0.0046045,           0.0046045
                 111,            0.040211,             0.02802,                   0,              0.9139,             0.89173,             0.91096,             0.43832,            0.031839,            0.021985,                   0,            0.004555,            0.004555,            0.004555
                 112,            0.039732,             0.02773,                   0,             0.91149,             0.88925,             0.91242,             0.43201,            0.032049,            0.022002,                   0,           0.0045055,           0.0045055,           0.0045055
                 113,            0.039726,            0.028008,                   0,             0.90992,             0.89148,             0.91139,             0.42875,            0.032356,            0.021947,                   0,            0.004456,            0.004456,            0.004456
                 114,            0.038131,            0.027861,                   0,             0.92471,             0.90898,             0.92256,             0.44242,            0.031401,            0.021663,                   0,           0.0044065,           0.0044065,           0.0044065
                 115,            0.039814,            0.027968,                   0,             0.91655,             0.89965,             0.91917,             0.44094,            0.031774,            0.021868,                   0,            0.004357,            0.004357,            0.004357
                 116,            0.038875,            0.027619,                   0,             0.91337,             0.89807,             0.90712,             0.43354,            0.031771,            0.021869,                   0,           0.0043075,           0.0043075,           0.0043075
                 117,            0.039111,            0.028065,                   0,             0.91218,             0.89265,             0.91428,             0.43927,            0.031887,            0.021796,                   0,            0.004258,            0.004258,            0.004258
                 118,            0.038291,            0.027667,                   0,              0.9041,             0.90208,             0.91268,               0.448,            0.032109,            0.021718,                   0,           0.0042085,           0.0042085,           0.0042085
                 119,            0.039405,            0.027457,                   0,             0.91825,             0.89848,             0.92709,             0.45642,            0.031529,            0.021506,                   0,            0.004159,            0.004159,            0.004159
                 120,            0.038055,            0.027461,                   0,             0.91895,             0.90548,             0.93035,             0.45769,            0.031283,            0.021452,                   0,           0.0041095,           0.0041095,           0.0041095
                 121,            0.037394,            0.027131,                   0,             0.92043,             0.90441,             0.92747,             0.46024,            0.030467,            0.021394,                   0,             0.00406,             0.00406,             0.00406
                 122,            0.038793,            0.026983,                   0,               0.915,             0.90548,             0.92228,             0.46027,            0.030949,             0.02145,                   0,           0.0040105,           0.0040105,           0.0040105
                 123,            0.038682,            0.027299,                   0,             0.91169,              0.9035,             0.92009,             0.46499,            0.030399,            0.021317,                   0,            0.003961,            0.003961,            0.003961
                 124,            0.037941,            0.027224,                   0,             0.92169,             0.89615,             0.92321,             0.45911,            0.030536,            0.021332,                   0,           0.0039115,           0.0039115,           0.0039115
                 125,            0.038685,            0.027538,                   0,             0.91232,             0.90898,             0.92448,             0.46149,             0.03063,            0.021206,                   0,            0.003862,            0.003862,            0.003862
                 126,            0.037326,            0.027269,                   0,             0.91527,             0.91832,             0.93556,             0.46572,            0.031024,            0.021146,                   0,           0.0038125,           0.0038125,           0.0038125
                 127,            0.037216,            0.027069,                   0,             0.91949,             0.91482,             0.93174,             0.47239,            0.030534,            0.020948,                   0,            0.003763,            0.003763,            0.003763
