               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12235,            0.036582,                   0,                   0,                   0,                   0,                   0,             0.10133,            0.022043,                   0,            0.070158,           0.0033158,           0.0033158
                   1,              0.1197,            0.024326,                   0,          6.1404e-05,            0.008168,          3.2032e-05,          4.0911e-06,             0.10124,            0.019007,                   0,            0.040125,           0.0066162,           0.0066162
                   2,             0.12124,            0.022807,                   0,          0.00062281,            0.082847,           0.0004153,          7.6557e-05,             0.10004,            0.019513,                   0,            0.010059,           0.0098836,           0.0098836
                   3,             0.11074,            0.027343,                   0,              0.0436,            0.070012,            0.013413,           0.0027472,            0.088495,            0.028449,                   0,           0.0098515,           0.0098515,           0.0098515
                   4,            0.099067,            0.032948,                   0,             0.18216,             0.23571,             0.10397,            0.022924,            0.068934,            0.031737,                   0,           0.0098515,           0.0098515,           0.0098515
                   5,            0.090193,            0.033981,                   0,             0.20512,             0.26138,             0.13987,            0.033897,            0.065254,             0.03472,                   0,            0.009802,            0.009802,            0.009802
                   6,            0.083733,             0.03434,                   0,             0.25429,             0.29522,             0.18715,            0.040561,            0.062514,            0.031466,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,            0.076657,            0.034995,                   0,             0.39318,             0.35239,             0.26094,             0.06157,            0.057117,            0.030819,                   0,            0.009703,            0.009703,            0.009703
                   8,             0.07306,            0.035057,                   0,             0.34642,             0.35123,             0.22266,            0.053743,            0.055405,            0.031445,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,            0.071182,            0.035161,                   0,             0.40564,             0.38856,             0.29919,            0.070679,             0.05407,            0.031851,                   0,            0.009604,            0.009604,            0.009604
                  10,            0.070264,            0.035276,                   0,             0.43817,             0.42707,              0.3224,             0.07497,            0.053086,            0.030177,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,             0.06645,            0.034805,                   0,             0.47828,             0.43643,              0.3567,            0.090405,            0.054138,            0.030729,                   0,            0.009505,            0.009505,            0.009505
                  12,            0.066561,            0.035147,                   0,             0.54069,              0.4684,             0.43743,             0.11197,            0.051913,            0.029631,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,            0.065321,            0.034556,                   0,             0.48287,             0.44341,             0.36499,            0.088984,            0.052288,            0.031273,                   0,            0.009406,            0.009406,            0.009406
                  14,            0.064335,            0.035307,                   0,             0.55921,             0.51072,             0.45558,             0.12227,            0.050161,            0.030102,                   0,           0.0093565,           0.0093565,           0.0093565
                  15,            0.064986,            0.035081,                   0,             0.54383,             0.49358,             0.43072,             0.11142,            0.050772,            0.029665,                   0,            0.009307,            0.009307,            0.009307
                  16,            0.063238,            0.034674,                   0,              0.5629,             0.49942,             0.44034,              0.1112,            0.050131,            0.030353,                   0,           0.0092575,           0.0092575,           0.0092575
                  17,            0.060965,            0.034985,                   0,             0.54549,             0.51342,             0.44089,             0.11649,             0.04984,            0.029533,                   0,            0.009208,            0.009208,            0.009208
                  18,            0.061555,            0.034179,                   0,             0.58208,             0.52975,             0.47153,             0.12447,            0.047831,            0.028923,                   0,           0.0091585,           0.0091585,           0.0091585
                  19,            0.059438,            0.033886,                   0,             0.56853,             0.51814,             0.45418,             0.12578,            0.049219,            0.029255,                   0,            0.009109,            0.009109,            0.009109
                  20,            0.058438,            0.034329,                   0,              0.6079,             0.54026,              0.4989,             0.13205,            0.047436,            0.029205,                   0,           0.0090595,           0.0090595,           0.0090595
                  21,            0.062317,            0.034168,                   0,             0.63327,             0.54492,             0.51658,             0.14167,            0.048126,            0.029114,                   0,             0.00901,             0.00901,             0.00901
                  22,             0.05968,            0.034393,                   0,             0.61896,             0.59743,             0.53528,             0.15279,            0.047278,             0.02813,                   0,           0.0089605,           0.0089605,           0.0089605
                  23,            0.058365,            0.033478,                   0,             0.62966,              0.5846,             0.53173,             0.14721,             0.04782,            0.028552,                   0,            0.008911,            0.008911,            0.008911
                  24,            0.057547,            0.033817,                   0,             0.64359,             0.63213,             0.57648,             0.16533,            0.046718,            0.028246,                   0,           0.0088615,           0.0088615,           0.0088615
                  25,            0.058877,            0.034833,                   0,             0.58854,              0.5916,             0.54594,             0.15363,            0.047256,            0.028385,                   0,            0.008812,            0.008812,            0.008812
                  26,            0.055419,            0.034357,                   0,             0.62039,             0.63711,             0.55664,             0.16248,            0.045922,            0.028362,                   0,           0.0087625,           0.0087625,           0.0087625
                  27,            0.056599,            0.034136,                   0,             0.62695,             0.57293,             0.55038,              0.1551,            0.047031,            0.029047,                   0,            0.008713,            0.008713,            0.008713
                  28,            0.057477,            0.034004,                   0,             0.66387,              0.6161,             0.58436,             0.17155,            0.046503,            0.027525,                   0,           0.0086635,           0.0086635,           0.0086635
                  29,            0.057789,            0.033581,                   0,             0.61635,             0.62544,             0.56571,              0.1649,            0.046551,            0.027783,                   0,            0.008614,            0.008614,            0.008614
                  30,            0.055607,            0.034085,                   0,             0.64729,             0.64177,             0.60182,             0.17238,            0.045819,            0.028225,                   0,           0.0085645,           0.0085645,           0.0085645
                  31,            0.055704,            0.033941,                   0,             0.63868,             0.65228,             0.59751,             0.16968,            0.046188,            0.027538,                   0,            0.008515,            0.008515,            0.008515
                  32,            0.054491,            0.033644,                   0,             0.67337,              0.6021,             0.57085,             0.16121,            0.046331,            0.027804,                   0,           0.0084655,           0.0084655,           0.0084655
                  33,            0.054619,            0.033209,                   0,             0.69376,             0.65821,             0.60844,             0.17969,            0.044709,            0.027625,                   0,            0.008416,            0.008416,            0.008416
                  34,            0.053813,            0.032975,                   0,             0.62668,             0.61377,              0.5661,              0.1619,             0.04702,            0.028278,                   0,           0.0083665,           0.0083665,           0.0083665
                  35,            0.054204,            0.033399,                   0,             0.66268,             0.63594,             0.58761,             0.16537,            0.045827,            0.027755,                   0,            0.008317,            0.008317,            0.008317
                  36,            0.054258,            0.033342,                   0,              0.6682,             0.63918,             0.59916,             0.16963,            0.046329,            0.027978,                   0,           0.0082675,           0.0082675,           0.0082675
                  37,            0.053686,            0.033621,                   0,             0.68326,             0.63594,             0.62455,             0.18682,            0.045317,            0.028022,                   0,            0.008218,            0.008218,            0.008218
                  38,            0.052599,            0.032793,                   0,             0.71122,             0.68495,              0.6523,             0.18842,            0.043969,            0.027133,                   0,           0.0081685,           0.0081685,           0.0081685
                  39,            0.056054,            0.033172,                   0,              0.6645,             0.66561,             0.60806,             0.17703,            0.043917,            0.027413,                   0,            0.008119,            0.008119,            0.008119
                  40,            0.053658,            0.033088,                   0,             0.66246,             0.69618,             0.63755,             0.19007,            0.043848,            0.027241,                   0,           0.0080695,           0.0080695,           0.0080695
                  41,             0.05306,            0.032701,                   0,             0.69504,             0.68495,             0.63866,               0.202,            0.043888,            0.026996,                   0,             0.00802,             0.00802,             0.00802
                  42,            0.052157,            0.033062,                   0,             0.70363,             0.66511,             0.62695,             0.18484,            0.044579,            0.027019,                   0,           0.0079705,           0.0079705,           0.0079705
                  43,             0.05431,            0.033231,                   0,             0.68928,             0.70407,             0.65802,             0.20012,            0.043882,            0.027342,                   0,            0.007921,            0.007921,            0.007921
                  44,            0.052512,            0.032574,                   0,             0.69331,             0.70431,             0.66896,              0.2038,            0.043242,            0.026977,                   0,           0.0078715,           0.0078715,           0.0078715
                  45,            0.053237,            0.033046,                   0,             0.70041,               0.682,             0.65051,             0.20358,            0.043189,            0.027133,                   0,            0.007822,            0.007822,            0.007822
                  46,            0.053087,            0.032971,                   0,             0.69375,             0.65578,             0.62933,             0.19225,            0.044107,             0.02731,                   0,           0.0077725,           0.0077725,           0.0077725
                  47,            0.052982,            0.032715,                   0,             0.71419,             0.72896,             0.68479,             0.21283,            0.043288,            0.026559,                   0,            0.007723,            0.007723,            0.007723
                  48,             0.05058,            0.032768,                   0,             0.69825,             0.68853,             0.65128,              0.2043,            0.043263,            0.027139,                   0,           0.0076735,           0.0076735,           0.0076735
                  49,            0.052448,            0.032521,                   0,             0.71455,             0.70245,             0.65588,             0.20706,             0.04222,            0.026782,                   0,            0.007624,            0.007624,            0.007624
                  50,            0.051328,            0.032448,                   0,             0.71024,             0.69788,             0.66333,             0.21105,            0.042799,            0.027207,                   0,           0.0075745,           0.0075745,           0.0075745
                  51,            0.052704,            0.032446,                   0,             0.72283,             0.71529,             0.68135,             0.21714,            0.042129,            0.026563,                   0,            0.007525,            0.007525,            0.007525
