               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10805,            0.019923,                   0,                   0,                   0,                   0,                   0,            0.082047,            0.015744,                   0,            0.070158,           0.0033158,           0.0033158
                   1,            0.097117,             0.01688,                   0,           0.0033728,             0.44691,           0.0062089,           0.0013099,            0.073982,            0.013645,                   0,            0.040125,           0.0066162,           0.0066162
                   2,            0.086862,            0.014322,                   0,            0.023989,             0.05951,           0.0094304,           0.0027234,            0.070719,            0.025838,                   0,            0.010059,           0.0098836,           0.0098836
                   3,            0.072152,            0.013606,                   0,             0.31176,             0.33489,             0.21875,            0.054173,             0.05008,            0.012899,                   0,           0.0098515,           0.0098515,           0.0098515
                   4,            0.066884,            0.013081,                   0,             0.33585,             0.37806,             0.26454,            0.064174,            0.051195,            0.010317,                   0,           0.0098515,           0.0098515,           0.0098515
                   5,            0.064651,            0.012546,                   0,             0.52918,             0.47725,             0.43917,             0.11985,             0.04755,            0.010178,                   0,            0.009802,            0.009802,            0.009802
                   6,             0.05938,            0.011947,                   0,             0.47672,             0.45624,             0.38609,             0.10058,            0.048104,            0.010141,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,            0.056522,            0.011731,                   0,             0.57979,             0.50875,             0.45893,              0.1316,             0.04623,           0.0098902,                   0,            0.009703,            0.009703,            0.009703
                   8,            0.055977,            0.011599,                   0,             0.60339,              0.5916,             0.53693,              0.1663,            0.044444,             0.00987,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,              0.0545,            0.011361,                   0,             0.62484,             0.63744,             0.57061,             0.16821,            0.042509,           0.0095461,                   0,            0.009604,            0.009604,            0.009604
                  10,            0.054191,            0.011311,                   0,             0.61561,             0.55076,              0.5366,             0.16771,             0.04433,            0.010245,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,            0.050705,            0.011007,                   0,             0.65395,              0.6056,             0.57492,             0.18261,            0.044531,            0.009507,                   0,            0.009505,            0.009505,            0.009505
                  12,            0.051704,             0.01108,                   0,              0.6621,              0.6021,             0.59465,             0.17321,            0.044318,           0.0092208,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,            0.050379,            0.010885,                   0,              0.6858,              0.5705,             0.55597,             0.17417,            0.042493,           0.0097087,                   0,            0.009406,            0.009406,            0.009406
                  14,                0.05,            0.011113,                   0,             0.67721,             0.64177,             0.61931,             0.20232,            0.042539,           0.0092276,                   0,           0.0093565,           0.0093565,           0.0093565
                  15,            0.050532,            0.011146,                   0,             0.60279,             0.56593,             0.54935,             0.17372,             0.04432,           0.0096654,                   0,            0.009307,            0.009307,            0.009307
                  16,            0.049958,            0.010711,                   0,             0.69277,             0.70776,             0.66797,             0.21966,            0.040443,           0.0088985,                   0,           0.0092575,           0.0092575,           0.0092575
                  17,            0.047405,            0.010791,                   0,             0.67936,             0.66394,             0.63315,             0.20485,            0.040776,           0.0091206,                   0,            0.009208,            0.009208,            0.009208
                  18,            0.048626,            0.010675,                   0,             0.69669,             0.63127,             0.62467,             0.20869,            0.041991,           0.0093377,                   0,           0.0091585,           0.0091585,           0.0091585
