               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099315,            0.021414,                   0,                   0,                   0,                   0,                   0,            0.077772,            0.016808,                   0,            0.070158,           0.0033158,           0.0033158
                   1,             0.09489,            0.019112,                   0,          8.7719e-06,           0.0011669,          4.4522e-06,          4.4522e-07,              0.1087,           0.0047885,                   0,            0.040125,           0.0066162,           0.0066162
                   2,            0.088803,            0.018182,                   0,            0.015319,              0.1902,           0.0073409,           0.0016587,            0.077782,            0.012682,                   0,            0.010059,           0.0098836,           0.0098836
                   3,            0.076051,             0.01753,                   0,             0.17556,             0.19481,            0.098336,            0.023731,            0.057785,            0.013752,                   0,           0.0098515,           0.0098515,           0.0098515
                   4,            0.072216,            0.015943,                   0,             0.20051,             0.29147,             0.13761,            0.031457,            0.056488,            0.011908,                   0,           0.0098515,           0.0098515,           0.0098515
                   5,            0.069495,            0.015049,                   0,             0.30093,             0.31039,             0.22028,            0.057897,            0.051334,            0.011802,                   0,            0.009802,            0.009802,            0.009802
                   6,            0.066596,             0.01412,                   0,             0.36746,             0.35452,             0.27147,            0.068959,            0.051349,            0.011107,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,             0.06376,            0.013715,                   0,             0.40458,             0.38273,             0.31653,            0.078715,            0.049429,            0.011694,                   0,            0.009703,            0.009703,            0.009703
                   8,            0.062038,            0.013347,                   0,             0.44101,              0.3839,             0.32534,            0.082738,            0.049307,            0.010869,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,            0.060429,            0.013128,                   0,             0.39485,             0.39743,              0.3303,            0.085802,            0.048172,            0.011748,                   0,            0.009604,            0.009604,            0.009604
                  10,             0.06024,            0.013071,                   0,             0.45626,             0.36873,             0.35206,            0.094323,            0.048038,            0.010826,                   0,           0.0095545,           0.0095545,           0.0095545
