               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12626,            0.033253,                   0,          2.6316e-05,           0.0035006,          1.3259e-05,          2.2091e-06,             0.10358,            0.016148,                   0,            0.070158,           0.0033158,           0.0033158
                   1,             0.12039,            0.020543,                   0,          0.00065789,            0.087515,          0.00047813,          9.0471e-05,             0.10062,             0.01875,                   0,            0.040125,           0.0066162,           0.0066162
                   2,             0.11412,            0.026207,                   0,            0.076338,            0.044341,            0.020814,           0.0050674,            0.085993,            0.037621,                   0,            0.010059,           0.0098836,           0.0098836
                   3,            0.096366,            0.032464,                   0,             0.18657,             0.22287,            0.097473,            0.022634,            0.071229,            0.031926,                   0,           0.0098515,           0.0098515,           0.0098515
                   4,            0.091179,              0.0339,                   0,             0.33319,              0.3096,             0.21414,            0.051057,            0.062981,             0.03034,                   0,           0.0098515,           0.0098515,           0.0098515
                   5,            0.083446,            0.035198,                   0,             0.40235,             0.32789,             0.23761,            0.051473,            0.062857,            0.030337,                   0,            0.009802,            0.009802,            0.009802
                   6,            0.076872,            0.034842,                   0,             0.41776,             0.36173,             0.26018,             0.05925,            0.058132,            0.030977,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,             0.07219,            0.035066,                   0,             0.44301,             0.36989,              0.2858,            0.062155,            0.055347,             0.02994,                   0,            0.009703,            0.009703,            0.009703
                   8,             0.07112,            0.034894,                   0,             0.41013,             0.38132,             0.30651,            0.072555,            0.056594,             0.03168,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,            0.069811,             0.03508,                   0,             0.45337,              0.4014,             0.34215,            0.082448,            0.054386,             0.03081,                   0,            0.009604,            0.009604,            0.009604
                  10,            0.070015,            0.035173,                   0,             0.54715,             0.50049,             0.44834,             0.11815,            0.052834,            0.029973,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,            0.064543,            0.034481,                   0,             0.55766,             0.51636,              0.4527,             0.12165,            0.051301,            0.029467,                   0,            0.009505,            0.009505,            0.009505
                  12,            0.065161,            0.034972,                   0,             0.57468,             0.50292,             0.45931,             0.11747,            0.050229,            0.029932,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,            0.064545,            0.034088,                   0,             0.57365,             0.52625,             0.46506,             0.11961,            0.051522,            0.030082,                   0,            0.009406,            0.009406,            0.009406
                  14,            0.062994,             0.03499,                   0,             0.56058,             0.54842,             0.47988,             0.12729,            0.049649,            0.029722,                   0,           0.0093565,           0.0093565,           0.0093565
                  15,            0.063262,            0.034999,                   0,             0.55969,             0.52975,             0.45871,               0.122,            0.049226,            0.029178,                   0,            0.009307,            0.009307,            0.009307
                  16,            0.064051,            0.034279,                   0,             0.61096,             0.52975,             0.49022,             0.12982,            0.049225,            0.029063,                   0,           0.0092575,           0.0092575,           0.0092575
