               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12387,            0.045468,                   0,          2.6316e-05,           0.0035006,          1.3214e-05,          2.2041e-06,              0.1027,            0.019885,                   0,            0.070158,           0.0033158,           0.0033158
                   1,             0.11929,            0.020637,                   0,          0.00034211,            0.045508,          0.00020943,          5.0349e-05,             0.10113,            0.020274,                   0,            0.040125,           0.0066162,           0.0066162
                   2,             0.10982,            0.024981,                   0,            0.014743,             0.29055,            0.019567,           0.0046391,            0.088253,            0.038742,                   0,            0.010059,           0.0098836,           0.0098836
                   3,            0.099299,            0.032929,                   0,             0.19651,             0.21237,             0.10621,            0.023631,            0.068422,            0.032058,                   0,           0.0098515,           0.0098515,           0.0098515
                   4,            0.087647,             0.03368,                   0,             0.31535,             0.30313,             0.20063,            0.050471,            0.063729,            0.031207,                   0,           0.0098515,           0.0098515,           0.0098515
                   5,            0.081756,            0.034287,                   0,             0.34603,             0.31972,              0.1954,            0.043793,            0.062096,             0.03409,                   0,            0.009802,            0.009802,            0.009802
                   6,            0.081538,            0.034443,                   0,             0.43008,              0.3979,             0.29092,            0.067471,            0.058789,            0.031232,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,            0.078198,            0.035067,                   0,             0.46416,             0.37456,             0.29303,            0.065861,            0.055665,            0.030336,                   0,            0.009703,            0.009703,            0.009703
                   8,            0.071094,            0.035177,                   0,             0.47809,              0.4294,             0.32816,            0.080949,            0.055045,            0.031259,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,            0.069484,            0.035433,                   0,             0.47625,             0.45306,             0.35864,            0.087865,            0.054553,            0.030816,                   0,            0.009604,            0.009604,            0.009604
                  10,             0.06747,            0.034941,                   0,             0.48369,             0.43174,             0.34881,             0.08206,            0.054744,            0.030659,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,            0.066188,            0.034813,                   0,              0.5599,             0.48308,             0.41411,             0.10989,            0.051915,            0.030141,                   0,            0.009505,            0.009505,            0.009505
                  12,            0.065864,            0.034958,                   0,             0.57097,             0.49071,             0.41832,             0.11002,            0.051408,            0.029369,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,            0.067525,            0.034877,                   0,             0.57804,             0.46515,             0.42272,             0.10467,             0.05412,            0.031221,                   0,            0.009406,            0.009406,            0.009406
