               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12196,             0.03803,                   0,                   0,                   0,                   0,                   0,              0.1002,            0.022427,                   0,            0.070158,           0.0033158,           0.0033158
                   1,             0.11884,            0.024476,                   0,          0.00035583,            0.036173,          0.00020808,           4.453e-05,             0.10007,             0.02089,                   0,            0.040125,           0.0066162,           0.0066162
                   2,              0.1191,            0.023268,                   0,          3.5161e-05,           0.0046674,          1.7673e-05,          4.4121e-06,             0.11052,             0.89096,                   0,            0.010059,           0.0098836,           0.0098836
                   3,             0.10262,            0.029788,                   0,              0.1064,             0.13069,            0.035685,               0.007,             0.07708,             0.02952,                   0,           0.0098515,           0.0098515,           0.0098515
                   4,             0.09269,            0.033119,                   0,             0.23757,             0.26488,             0.14009,            0.031472,            0.065962,            0.031567,                   0,           0.0098515,           0.0098515,           0.0098515
                   5,            0.085802,            0.034386,                   0,             0.27185,             0.26838,             0.15694,            0.035525,            0.066144,            0.031889,                   0,            0.009802,            0.009802,            0.009802
                   6,            0.081061,            0.034404,                   0,             0.24029,             0.30105,             0.13106,            0.028571,            0.062491,            0.036525,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,            0.075861,             0.03492,                   0,             0.36192,             0.32205,             0.22551,            0.050746,            0.060043,            0.032114,                   0,            0.009703,            0.009703,            0.009703
                   8,            0.073879,            0.034939,                   0,             0.36958,             0.36756,             0.26653,            0.063164,            0.057892,            0.032275,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,             0.07198,            0.035024,                   0,             0.47482,             0.38856,              0.3343,            0.082252,            0.055644,            0.030335,                   0,            0.009604,            0.009604,            0.009604
                  10,            0.070245,            0.035222,                   0,             0.35826,             0.33352,              0.1938,            0.045962,            0.055336,            0.033117,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,            0.066489,            0.034873,                   0,              0.4975,             0.41307,             0.34916,              0.0913,            0.053645,            0.031592,                   0,            0.009505,            0.009505,            0.009505
                  12,            0.067306,            0.034928,                   0,             0.47911,             0.43874,             0.37711,             0.10326,            0.053813,            0.030601,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,            0.064484,            0.034252,                   0,             0.45931,             0.40145,             0.31461,            0.073183,            0.054179,             0.03025,                   0,            0.009406,            0.009406,            0.009406
                  14,            0.064892,            0.035339,                   0,             0.47689,              0.3979,             0.33469,            0.084379,            0.053606,            0.033338,                   0,           0.0093565,           0.0093565,           0.0093565
                  15,            0.064599,            0.035209,                   0,             0.49661,             0.44807,             0.37696,            0.091095,            0.051016,            0.031934,                   0,            0.009307,            0.009307,            0.009307
                  16,            0.064196,            0.034839,                   0,              0.5445,             0.51609,             0.45205,             0.11631,            0.049764,            0.029498,                   0,           0.0092575,           0.0092575,           0.0092575
                  17,            0.061426,            0.035114,                   0,             0.54301,              0.5033,             0.41637,             0.10537,            0.050156,            0.029619,                   0,            0.009208,            0.009208,            0.009208
                  18,            0.061826,            0.034328,                   0,             0.52317,             0.49942,             0.43268,             0.12161,            0.050512,            0.029593,                   0,           0.0091585,           0.0091585,           0.0091585
                  19,            0.059935,            0.034152,                   0,             0.42711,             0.54109,             0.31316,            0.080267,            0.050093,            0.035359,                   0,            0.009109,            0.009109,            0.009109
                  20,            0.059218,            0.034416,                   0,               0.612,             0.56126,             0.51264,             0.13822,             0.04734,            0.029213,                   0,           0.0090595,           0.0090595,           0.0090595
                  21,             0.06211,            0.034305,                   0,             0.57477,             0.51101,             0.45165,             0.11508,            0.049445,            0.029558,                   0,             0.00901,             0.00901,             0.00901
                  22,            0.059565,            0.034655,                   0,               0.496,             0.45741,             0.38797,             0.10356,            0.053345,            0.029887,                   0,           0.0089605,           0.0089605,           0.0089605
                  23,            0.059203,            0.033876,                   0,             0.57928,             0.52042,             0.47828,             0.12327,            0.049662,            0.030223,                   0,            0.008911,            0.008911,            0.008911
                  24,            0.057795,            0.034328,                   0,             0.49361,             0.57526,             0.39143,             0.10511,            0.048751,            0.029866,                   0,           0.0088615,           0.0088615,           0.0088615
                  25,            0.059641,            0.034993,                   0,             0.60114,             0.59627,             0.54365,             0.15117,            0.048336,            0.028807,                   0,            0.008812,            0.008812,            0.008812
                  26,            0.056189,            0.034784,                   0,             0.60488,             0.56627,             0.53733,             0.14699,            0.048642,            0.028661,                   0,           0.0087625,           0.0087625,           0.0087625
                  27,            0.058076,            0.034065,                   0,             0.62103,             0.60041,             0.55668,             0.15311,            0.047792,            0.028411,                   0,            0.008713,            0.008713,            0.008713
                  28,            0.058344,            0.034169,                   0,             0.55923,              0.5706,             0.44818,             0.12447,            0.047691,            0.031119,                   0,           0.0086635,           0.0086635,           0.0086635
                  29,              0.0586,             0.03391,                   0,             0.59914,             0.57728,             0.52029,             0.14462,            0.049084,            0.029201,                   0,            0.008614,            0.008614,            0.008614
                  30,            0.056918,            0.034153,                   0,             0.63023,             0.61377,             0.57352,             0.16497,            0.047487,            0.028098,                   0,           0.0085645,           0.0085645,           0.0085645
                  31,            0.056736,            0.034081,                   0,             0.64586,             0.60437,             0.57729,             0.15211,            0.047019,            0.028568,                   0,            0.008515,            0.008515,            0.008515
                  32,             0.05586,            0.033901,                   0,             0.64961,             0.61223,             0.56208,             0.15741,            0.046342,              0.0281,                   0,           0.0084655,           0.0084655,           0.0084655
                  33,            0.055664,            0.033602,                   0,             0.64138,             0.63649,             0.58866,             0.16638,            0.046637,            0.028188,                   0,            0.008416,            0.008416,            0.008416
                  34,            0.054141,            0.033369,                   0,             0.63884,              0.5881,             0.56068,             0.15976,            0.046796,            0.028251,                   0,           0.0083665,           0.0083665,           0.0083665
                  35,            0.055346,            0.033906,                   0,             0.65948,             0.63594,             0.61358,             0.17625,            0.045674,            0.027733,                   0,            0.008317,            0.008317,            0.008317
                  36,            0.055034,             0.03372,                   0,             0.65248,             0.59627,             0.57016,             0.16666,            0.046082,            0.028315,                   0,           0.0082675,           0.0082675,           0.0082675
                  37,            0.053643,            0.033877,                   0,             0.65939,             0.61896,             0.59679,             0.17414,            0.044802,            0.028406,                   0,            0.008218,            0.008218,            0.008218
                  38,            0.053184,            0.032916,                   0,             0.65612,             0.65233,             0.62746,              0.1826,            0.044767,            0.027732,                   0,           0.0081685,           0.0081685,           0.0081685
                  39,            0.056443,            0.033226,                   0,             0.69265,             0.64061,             0.62091,             0.17888,            0.045099,            0.027961,                   0,            0.008119,            0.008119,            0.008119
                  40,            0.054152,            0.033434,                   0,             0.68427,             0.64061,              0.6215,             0.18717,            0.045159,            0.027711,                   0,           0.0080695,           0.0080695,           0.0080695
                  41,            0.053987,            0.033168,                   0,             0.68841,              0.6548,             0.63776,             0.18516,             0.04579,            0.027601,                   0,             0.00802,             0.00802,             0.00802
                  42,            0.053195,            0.033566,                   0,             0.68916,             0.66485,             0.62057,              0.1829,            0.044349,            0.027431,                   0,           0.0079705,           0.0079705,           0.0079705
                  43,            0.055325,            0.033466,                   0,              0.6905,             0.65928,             0.62966,             0.18634,            0.045795,            0.027655,                   0,            0.007921,            0.007921,            0.007921
                  44,            0.052813,            0.032721,                   0,             0.68723,             0.66044,             0.62066,             0.18946,            0.045595,            0.028058,                   0,           0.0078715,           0.0078715,           0.0078715
                  45,            0.054318,            0.033236,                   0,              0.6839,             0.66902,             0.61523,             0.18574,            0.046239,            0.027795,                   0,            0.007822,            0.007822,            0.007822
                  46,            0.053769,            0.033317,                   0,             0.70778,             0.68676,             0.64972,             0.19179,            0.044362,            0.027591,                   0,           0.0077725,           0.0077725,           0.0077725
                  47,            0.053374,            0.033098,                   0,             0.68302,             0.67678,             0.64136,             0.19152,            0.044737,            0.027882,                   0,            0.007723,            0.007723,            0.007723
                  48,            0.051032,            0.033093,                   0,             0.67569,             0.69195,             0.64941,             0.20633,            0.043133,            0.027202,                   0,           0.0076735,           0.0076735,           0.0076735
                  49,            0.053507,            0.032908,                   0,             0.70063,             0.69195,             0.63466,             0.19815,             0.04382,            0.026894,                   0,            0.007624,            0.007624,            0.007624
                  50,            0.051956,            0.032708,                   0,             0.72291,             0.69195,              0.6799,             0.21066,            0.043219,             0.02665,                   0,           0.0075745,           0.0075745,           0.0075745
