               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12219,            0.037775,                   0,                   0,                   0,                   0,                   0,             0.10075,            0.023238,                   0,            0.070158,           0.0033158,           0.0033158
                   1,             0.11916,            0.024565,                   0,          2.0613e-05,           0.0023337,          1.0355e-05,          1.0355e-06,             0.10501,            0.012095,                   0,            0.040125,           0.0066162,           0.0066162
                   2,             0.12091,            0.023168,                   0,          3.6128e-05,           0.0035006,          1.8193e-05,          2.4231e-06,             0.10875,            0.013036,                   0,            0.010059,           0.0098836,           0.0098836
                   3,             0.10698,            0.028224,                   0,           0.0095803,             0.02217,           0.0017792,          0.00041353,            0.099457,             0.02783,                   0,           0.0098515,           0.0098515,           0.0098515
                   4,            0.095039,            0.032726,                   0,             0.21089,             0.22054,             0.10535,            0.024009,            0.067911,            0.032669,                   0,           0.0098515,           0.0098515,           0.0098515
                   5,            0.088236,            0.033826,                   0,             0.26214,             0.28471,             0.14719,            0.034098,            0.064159,            0.031443,                   0,            0.009802,            0.009802,            0.009802
                   6,            0.080997,            0.034137,                   0,             0.23148,             0.26254,             0.13034,            0.029137,            0.067052,            0.033206,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,              0.0752,            0.034713,                   0,             0.39031,             0.34656,             0.24945,            0.057648,             0.05943,            0.031535,                   0,            0.009703,            0.009703,            0.009703
                   8,             0.07275,            0.034775,                   0,             0.41876,             0.33542,             0.25421,            0.058676,            0.058788,            0.031259,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,            0.070822,            0.034869,                   0,              0.4542,              0.3804,             0.31293,            0.076832,            0.056562,            0.029823,                   0,            0.009604,            0.009604,            0.009604
                  10,            0.069645,            0.035133,                   0,              0.4701,             0.44341,             0.34147,            0.082999,            0.055874,            0.029938,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,            0.065676,            0.034572,                   0,             0.47279,             0.44807,             0.38425,              0.1004,            0.054559,            0.029967,                   0,            0.009505,            0.009505,            0.009505
                  12,            0.065437,            0.034828,                   0,             0.54517,             0.48112,             0.41726,             0.10968,            0.052656,            0.029921,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,            0.063674,             0.03436,                   0,             0.50645,             0.47725,             0.37161,            0.097325,            0.052874,            0.030106,                   0,            0.009406,            0.009406,            0.009406
                  14,            0.063354,            0.035305,                   0,             0.55518,             0.49475,             0.43614,             0.11578,            0.050987,             0.02952,                   0,           0.0093565,           0.0093565,           0.0093565
                  15,            0.063177,             0.03502,                   0,             0.52682,             0.51692,             0.41042,             0.10864,            0.051535,            0.029118,                   0,            0.009307,            0.009307,            0.009307
                  16,            0.062412,            0.034659,                   0,             0.56305,             0.51692,             0.43508,             0.11326,            0.052247,            0.029378,                   0,           0.0092575,           0.0092575,           0.0092575
                  17,            0.059624,            0.034678,                   0,             0.57209,             0.53326,             0.46914,             0.12764,            0.050593,             0.02928,                   0,            0.009208,            0.009208,            0.009208
                  18,            0.060919,            0.034282,                   0,             0.54138,             0.52742,             0.45268,             0.12715,            0.049961,             0.02955,                   0,           0.0091585,           0.0091585,           0.0091585
                  19,            0.058586,            0.033915,                   0,             0.60562,             0.54959,             0.51136,             0.14325,            0.048666,            0.028814,                   0,            0.009109,            0.009109,            0.009109
                  20,            0.058929,            0.034458,                   0,             0.59108,             0.52275,             0.47567,              0.1308,            0.049802,            0.029202,                   0,           0.0090595,           0.0090595,           0.0090595
                  21,            0.061359,            0.034315,                   0,             0.56557,              0.5803,             0.45632,             0.11659,            0.048511,            0.029564,                   0,             0.00901,             0.00901,             0.00901
                  22,            0.059319,            0.034571,                   0,             0.58216,             0.57876,             0.49203,             0.13598,            0.048644,            0.029231,                   0,           0.0089605,           0.0089605,           0.0089605
                  23,            0.058126,            0.033536,                   0,             0.59089,              0.5741,             0.51197,              0.1444,            0.048852,             0.02885,                   0,            0.008911,            0.008911,            0.008911
                  24,            0.056646,            0.033854,                   0,             0.63211,             0.59393,             0.53773,             0.15444,            0.047854,            0.028765,                   0,           0.0088615,           0.0088615,           0.0088615
                  25,            0.058352,            0.034696,                   0,              0.5856,              0.6056,             0.51155,             0.14005,            0.048087,            0.029387,                   0,            0.008812,            0.008812,            0.008812
