               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12255,            0.037001,                   0,                   0,                   0,                   0,                   0,             0.10054,            0.022568,                   0,            0.070158,           0.0033158,           0.0033158
                   1,             0.11936,            0.023859,                   0,          0.00011404,            0.015169,          5.8584e-05,          1.0763e-05,             0.10312,            0.015798,                   0,            0.040125,           0.0066162,           0.0066162
                   2,             0.12022,             0.02301,                   0,           0.0029152,            0.038506,           0.0016309,          0.00037038,            0.098761,             0.02431,                   0,            0.010059,           0.0098836,           0.0098836
                   3,             0.10434,            0.028699,                   0,            0.037033,             0.12135,             0.01541,           0.0034298,             0.08128,            0.033998,                   0,           0.0098515,           0.0098515,           0.0098515
                   4,            0.093536,            0.032436,                   0,             0.20548,             0.26767,             0.11518,            0.024169,            0.070447,            0.029486,                   0,           0.0098515,           0.0098515,           0.0098515
                   5,             0.08699,            0.034009,                   0,             0.29038,             0.29522,             0.18338,            0.043532,            0.064418,            0.030666,                   0,            0.009802,            0.009802,            0.009802
                   6,            0.079915,            0.034039,                   0,             0.23034,             0.27655,             0.14797,            0.033274,             0.06487,            0.032003,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,            0.076006,            0.034411,                   0,             0.28217,             0.29264,             0.15475,            0.034916,            0.058089,            0.029641,                   0,            0.009703,            0.009703,            0.009703
                   8,            0.072547,            0.034455,                   0,             0.32386,              0.3734,             0.22308,            0.049625,            0.058929,            0.030672,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,            0.071189,            0.034731,                   0,             0.46005,             0.41457,             0.31839,            0.082115,            0.055671,            0.029747,                   0,            0.009604,            0.009604,            0.009604
                  10,             0.06954,            0.034972,                   0,             0.50056,              0.4292,             0.36048,            0.088707,            0.054347,            0.030165,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,            0.065532,            0.034293,                   0,             0.47446,             0.46246,             0.36242,            0.098035,            0.052878,            0.029844,                   0,            0.009505,            0.009505,            0.009505
                  12,            0.065963,            0.034609,                   0,             0.49378,             0.45974,             0.36755,             0.09489,            0.051646,            0.030008,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,            0.063745,            0.034109,                   0,             0.48058,             0.48075,             0.38335,            0.095451,            0.051332,            0.029992,                   0,            0.009406,            0.009406,            0.009406
                  14,            0.063277,            0.034869,                   0,             0.52512,             0.48425,             0.37986,            0.095295,            0.050505,            0.030094,                   0,           0.0093565,           0.0093565,           0.0093565
                  15,            0.064116,            0.034858,                   0,             0.51992,             0.50294,             0.38786,             0.10385,            0.050133,            0.030218,                   0,            0.009307,            0.009307,            0.009307
                  16,            0.063172,            0.034254,                   0,             0.54914,             0.49358,             0.42098,              0.1089,            0.049515,            0.029292,                   0,           0.0092575,           0.0092575,           0.0092575
                  17,            0.060582,            0.034621,                   0,             0.59335,             0.52625,             0.46991,             0.12634,            0.049229,            0.029042,                   0,            0.009208,            0.009208,            0.009208
                  18,            0.060541,            0.033809,                   0,             0.57244,              0.5624,             0.46612,              0.1289,            0.048048,            0.029111,                   0,           0.0091585,           0.0091585,           0.0091585
                  19,            0.058682,            0.033868,                   0,             0.58049,             0.56126,             0.46908,             0.12589,            0.047581,            0.029198,                   0,            0.009109,            0.009109,            0.009109
                  20,             0.05829,            0.034173,                   0,             0.62794,              0.5811,              0.5202,             0.14195,            0.045958,            0.028717,                   0,           0.0090595,           0.0090595,           0.0090595
                  21,             0.06088,            0.033836,                   0,             0.62104,             0.58132,             0.51905,             0.14116,            0.047076,            0.028487,                   0,             0.00901,             0.00901,             0.00901
                  22,            0.058357,             0.03404,                   0,             0.59091,              0.5776,             0.49433,             0.13399,            0.047943,            0.028717,                   0,           0.0089605,           0.0089605,           0.0089605
                  23,            0.057981,            0.033388,                   0,              0.5696,             0.56009,             0.51511,             0.14219,             0.04787,            0.028709,                   0,            0.008911,            0.008911,            0.008911
                  24,            0.057285,            0.033699,                   0,             0.61432,             0.58733,             0.51969,             0.14378,            0.047057,            0.029427,                   0,           0.0088615,           0.0088615,           0.0088615
                  25,            0.057998,            0.034472,                   0,             0.62446,             0.61703,             0.55737,             0.15902,            0.046552,            0.028619,                   0,            0.008812,            0.008812,            0.008812
                  26,            0.054962,            0.034068,                   0,             0.63733,             0.62077,             0.56128,             0.15705,            0.046487,            0.028342,                   0,           0.0087625,           0.0087625,           0.0087625
                  27,            0.056158,            0.033721,                   0,             0.58722,             0.59043,              0.5356,             0.15761,            0.046731,            0.028569,                   0,            0.008713,            0.008713,            0.008713
                  28,            0.056989,            0.034031,                   0,             0.63583,             0.58926,             0.54151,             0.15156,            0.046507,            0.028607,                   0,           0.0086635,           0.0086635,           0.0086635
                  29,            0.056934,            0.033534,                   0,             0.63777,              0.6231,             0.57445,             0.16802,            0.045145,            0.028174,                   0,            0.008614,            0.008614,            0.008614
                  30,            0.054923,            0.033806,                   0,             0.63096,              0.6266,             0.55617,             0.16038,            0.047052,            0.028177,                   0,           0.0085645,           0.0085645,           0.0085645
                  31,            0.055609,            0.033701,                   0,             0.64751,             0.64527,             0.57703,             0.16937,             0.04486,            0.028692,                   0,            0.008515,            0.008515,            0.008515
                  32,            0.054688,            0.033544,                   0,             0.61781,              0.6266,             0.56414,             0.16229,            0.045486,            0.028336,                   0,           0.0084655,           0.0084655,           0.0084655
                  33,            0.055732,            0.032984,                   0,              0.6539,             0.63244,             0.59896,             0.18343,            0.044925,            0.027496,                   0,            0.008416,            0.008416,            0.008416
                  34,            0.052917,            0.032868,                   0,             0.63357,             0.59517,             0.55865,              0.1663,            0.045903,            0.027881,                   0,           0.0083665,           0.0083665,           0.0083665
                  35,            0.053577,            0.033407,                   0,             0.64942,             0.62427,              0.6083,             0.18261,            0.045529,            0.027844,                   0,            0.008317,            0.008317,            0.008317
                  36,            0.053613,            0.033186,                   0,             0.69301,             0.67433,             0.63037,             0.18851,            0.044717,            0.027663,                   0,           0.0082675,           0.0082675,           0.0082675
                  37,            0.053251,            0.033437,                   0,             0.64134,             0.66161,             0.63298,              0.1869,            0.043387,             0.02759,                   0,            0.008218,            0.008218,            0.008218
                  38,             0.05234,             0.03263,                   0,             0.70117,             0.66628,             0.64382,             0.19222,            0.043312,             0.02743,                   0,           0.0081685,           0.0081685,           0.0081685
                  39,            0.055237,            0.033056,                   0,              0.6719,             0.67095,             0.61457,              0.1854,            0.043716,            0.027379,                   0,            0.008119,            0.008119,            0.008119
                  40,            0.052779,            0.033115,                   0,             0.67015,             0.66044,             0.59426,             0.18229,            0.043583,             0.02777,                   0,           0.0080695,           0.0080695,           0.0080695
                  41,             0.05246,            0.033075,                   0,             0.64472,              0.6162,             0.58035,             0.18044,            0.046212,            0.028239,                   0,             0.00802,             0.00802,             0.00802
                  42,            0.052671,            0.033283,                   0,             0.69578,             0.70186,             0.63864,             0.19548,             0.04428,             0.02733,                   0,           0.0079705,           0.0079705,           0.0079705
                  43,            0.053926,            0.033272,                   0,             0.67577,             0.65578,             0.59514,             0.18252,            0.044083,             0.02758,                   0,            0.007921,            0.007921,            0.007921
                  44,            0.052307,            0.032528,                   0,             0.71685,             0.68728,              0.6456,             0.20649,            0.042432,            0.027664,                   0,           0.0078715,           0.0078715,           0.0078715
                  45,            0.052825,            0.033163,                   0,             0.68309,             0.69312,             0.64842,             0.19803,            0.042637,             0.02746,                   0,            0.007822,            0.007822,            0.007822
                  46,            0.052876,             0.03305,                   0,             0.68105,             0.70014,             0.65239,             0.20475,            0.043227,             0.02717,                   0,           0.0077725,           0.0077725,           0.0077725
                  47,            0.052502,            0.032842,                   0,              0.6989,             0.70691,              0.6621,             0.20929,            0.043927,            0.027204,                   0,            0.007723,            0.007723,            0.007723
                  48,              0.0509,            0.032897,                   0,             0.65623,             0.66823,             0.61035,             0.18749,            0.043837,            0.027956,                   0,           0.0076735,           0.0076735,           0.0076735
                  49,            0.052325,             0.03256,                   0,             0.70042,             0.69545,              0.6575,             0.20678,             0.04257,            0.027277,                   0,            0.007624,            0.007624,            0.007624
                  50,            0.050935,             0.03262,                   0,             0.70265,             0.69762,             0.66324,             0.21075,             0.04219,            0.027286,                   0,           0.0075745,           0.0075745,           0.0075745
                  51,            0.052437,            0.032538,                   0,             0.73227,             0.71529,             0.67691,             0.21755,            0.041183,            0.027113,                   0,            0.007525,            0.007525,            0.007525
                  52,            0.050245,            0.032345,                   0,             0.68916,             0.69849,             0.67586,             0.20841,            0.043649,            0.027046,                   0,           0.0074755,           0.0074755,           0.0074755
                  53,            0.050291,              0.0325,                   0,             0.67283,             0.68495,              0.6414,             0.21427,            0.042764,            0.027048,                   0,            0.007426,            0.007426,            0.007426
                  54,            0.050643,            0.032253,                   0,              0.6977,             0.71368,             0.66452,             0.20874,            0.042436,            0.026639,                   0,           0.0073765,           0.0073765,           0.0073765
                  55,            0.050905,             0.03194,                   0,             0.69872,             0.68611,             0.67468,             0.21762,            0.043058,            0.026882,                   0,            0.007327,            0.007327,            0.007327
                  56,            0.048785,            0.033014,                   0,             0.72565,             0.70712,             0.68309,             0.22251,            0.042456,            0.026777,                   0,           0.0072775,           0.0072775,           0.0072775
                  57,            0.049875,            0.032161,                   0,             0.70936,              0.7376,             0.68587,             0.22849,            0.042159,            0.026552,                   0,            0.007228,            0.007228,            0.007228
                  58,            0.049554,            0.031994,                   0,             0.72096,             0.72695,             0.68128,             0.21916,            0.041803,            0.026769,                   0,           0.0071785,           0.0071785,           0.0071785
                  59,            0.049409,            0.032107,                   0,             0.72079,             0.74102,             0.69909,             0.23744,            0.041227,            0.026527,                   0,            0.007129,            0.007129,            0.007129
                  60,            0.049328,            0.032152,                   0,             0.71464,             0.72472,             0.67519,             0.22104,            0.041225,             0.02714,                   0,           0.0070795,           0.0070795,           0.0070795
                  61,            0.048755,            0.032101,                   0,              0.7287,             0.73979,              0.7011,             0.24131,            0.039883,            0.026699,                   0,             0.00703,             0.00703,             0.00703
