               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1224,            0.036752,                   0,                   0,                   0,                   0,                   0,             0.10071,            0.023606,                   0,            0.070158,           0.0033158,           0.0033158
                   1,             0.11944,            0.025001,                   0,                   0,                   0,                   0,                   0,             0.10012,            0.020894,                   0,            0.040125,           0.0066162,           0.0066162
                   2,             0.12054,            0.023579,                   0,          0.00062568,             0.08168,          0.00038637,          8.1526e-05,            0.098431,            0.024985,                   0,            0.010059,           0.0098836,           0.0098836
                   3,             0.10474,            0.031574,                   0,           0.0032097,            0.029172,           0.0010741,           0.0002667,            0.093083,            0.043501,                   0,           0.0098515,           0.0098515,           0.0098515
                   4,            0.096171,            0.033725,                   0,             0.14015,             0.23454,            0.075621,            0.016627,             0.07014,            0.033221,                   0,           0.0098515,           0.0098515,           0.0098515
                   5,            0.088366,            0.034973,                   0,             0.21048,             0.25904,             0.13343,              0.0307,            0.065773,            0.031186,                   0,            0.009802,            0.009802,            0.009802
                   6,             0.08263,            0.034911,                   0,             0.22406,             0.27091,             0.13273,            0.029411,            0.064099,            0.031775,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,            0.077139,            0.035161,                   0,             0.27389,             0.32702,             0.16149,             0.03529,            0.059296,            0.030682,                   0,            0.009703,            0.009703,            0.009703
                   8,            0.074041,            0.035038,                   0,             0.40124,             0.37806,             0.29185,            0.070365,            0.055138,             0.03025,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,            0.072242,            0.034884,                   0,             0.49187,             0.44457,              0.3622,            0.082731,            0.053833,            0.030969,                   0,            0.009604,            0.009604,            0.009604
                  10,            0.070102,            0.035213,                   0,             0.47052,              0.4049,             0.34176,            0.083626,            0.053254,            0.030148,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,             0.06686,             0.03467,                   0,             0.51519,             0.44224,             0.39717,             0.10397,            0.053194,            0.029799,                   0,            0.009505,            0.009505,            0.009505
                  12,            0.066819,            0.035023,                   0,             0.43169,             0.41424,             0.32312,            0.083633,            0.055958,            0.034427,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,            0.065712,            0.034433,                   0,             0.53126,             0.48541,             0.40646,            0.099829,            0.054805,            0.030161,                   0,            0.009406,            0.009406,            0.009406
                  14,              0.0646,            0.035413,                   0,              0.5361,             0.50525,             0.42786,             0.10643,            0.050444,            0.030253,                   0,           0.0093565,           0.0093565,           0.0093565
                  15,            0.064769,            0.035055,                   0,             0.58216,             0.49125,             0.44464,             0.11613,              0.0525,            0.029302,                   0,            0.009307,            0.009307,            0.009307
                  16,            0.064075,            0.034787,                   0,             0.54356,             0.50758,             0.43944,             0.10886,            0.051409,            0.029357,                   0,           0.0092575,           0.0092575,           0.0092575
                  17,            0.061416,            0.034968,                   0,             0.56287,             0.52737,             0.46761,             0.12704,            0.051462,            0.028976,                   0,            0.009208,            0.009208,            0.009208
                  18,             0.06283,            0.034412,                   0,             0.56796,             0.54456,             0.48419,             0.13008,            0.050142,             0.02932,                   0,           0.0091585,           0.0091585,           0.0091585
                  19,            0.060112,            0.034087,                   0,              0.5907,             0.51109,               0.462,             0.12686,            0.049706,            0.028823,                   0,            0.009109,            0.009109,            0.009109
                  20,            0.059734,            0.034685,                   0,             0.61471,             0.54142,             0.50941,             0.13685,            0.049618,            0.029007,                   0,           0.0090595,           0.0090595,           0.0090595
                  21,            0.062829,             0.03436,                   0,             0.61775,             0.59277,              0.5326,             0.13746,            0.047104,            0.028636,                   0,             0.00901,             0.00901,             0.00901
                  22,             0.05977,            0.034712,                   0,              0.6186,             0.58101,              0.5062,             0.13709,            0.049585,            0.029081,                   0,           0.0089605,           0.0089605,           0.0089605
                  23,             0.05924,            0.033745,                   0,             0.61375,             0.58777,             0.53103,              0.1455,            0.049203,            0.028711,                   0,            0.008911,            0.008911,            0.008911
                  24,            0.058226,            0.033882,                   0,             0.59013,             0.58634,             0.51897,             0.14249,            0.049549,            0.028584,                   0,           0.0088615,           0.0088615,           0.0088615
                  25,             0.05874,            0.034915,                   0,             0.64824,             0.62575,              0.5927,               0.163,            0.047005,            0.028185,                   0,            0.008812,            0.008812,            0.008812
                  26,            0.056058,            0.034844,                   0,             0.64965,              0.6161,             0.55799,             0.15744,             0.04805,            0.028516,                   0,           0.0087625,           0.0087625,           0.0087625
                  27,            0.057056,            0.034118,                   0,             0.61067,             0.57654,             0.52381,             0.14546,             0.04859,            0.028508,                   0,            0.008713,            0.008713,            0.008713
                  28,            0.057558,             0.03415,                   0,             0.65723,             0.63988,             0.56773,             0.16052,            0.048094,            0.028115,                   0,           0.0086635,           0.0086635,           0.0086635
                  29,            0.058212,            0.034101,                   0,             0.67188,             0.58777,             0.54516,             0.14484,            0.047744,            0.028798,                   0,            0.008614,            0.008614,            0.008614
                  30,            0.056177,            0.034251,                   0,             0.67062,             0.63477,             0.57729,             0.16109,            0.046495,            0.028129,                   0,           0.0085645,           0.0085645,           0.0085645
                  31,            0.055805,            0.034131,                   0,             0.63917,             0.62427,             0.55205,             0.15569,            0.047092,            0.027999,                   0,            0.008515,            0.008515,            0.008515
                  32,            0.054874,            0.033909,                   0,             0.65979,             0.62894,             0.56791,             0.15779,            0.046632,            0.028325,                   0,           0.0084655,           0.0084655,           0.0084655
                  33,            0.054948,            0.033444,                   0,             0.59636,             0.63011,             0.54365,             0.15794,              0.0468,             0.02809,                   0,            0.008416,            0.008416,            0.008416
                  34,            0.053542,            0.033244,                   0,             0.67341,             0.67211,             0.60555,             0.17103,            0.046727,            0.028004,                   0,           0.0083665,           0.0083665,           0.0083665
                  35,            0.054164,            0.033547,                   0,             0.68386,             0.65376,             0.60175,             0.17176,            0.045974,            0.027476,                   0,            0.008317,            0.008317,            0.008317
                  36,            0.054398,             0.03359,                   0,              0.6931,             0.64177,             0.59719,             0.17416,            0.046702,            0.027713,                   0,           0.0082675,           0.0082675,           0.0082675
                  37,            0.054093,            0.033897,                   0,             0.67913,             0.63594,             0.59469,             0.17154,            0.047047,            0.028046,                   0,            0.008218,            0.008218,            0.008218
                  38,            0.053291,            0.032754,                   0,             0.71941,             0.66161,             0.62135,             0.18058,            0.045131,            0.027227,                   0,           0.0081685,           0.0081685,           0.0081685
                  39,            0.056488,            0.033062,                   0,             0.68861,             0.67095,             0.60176,             0.18071,            0.044585,            0.027458,                   0,            0.008119,            0.008119,            0.008119
                  40,            0.054369,            0.033149,                   0,             0.66506,             0.66278,             0.61416,             0.18615,              0.0454,            0.027542,                   0,           0.0080695,           0.0080695,           0.0080695
                  41,            0.053021,            0.032922,                   0,             0.70972,             0.65228,              0.6273,             0.19165,             0.04556,            0.027351,                   0,             0.00802,             0.00802,             0.00802
                  42,            0.052518,            0.033202,                   0,             0.72183,             0.69428,             0.64512,             0.19507,            0.044209,            0.027108,                   0,           0.0079705,           0.0079705,           0.0079705
                  43,            0.054508,            0.033403,                   0,             0.67822,             0.66978,             0.63397,             0.19215,            0.044714,            0.028067,                   0,            0.007921,            0.007921,            0.007921
                  44,            0.053242,             0.03252,                   0,             0.67764,             0.68961,             0.61763,             0.18947,            0.044326,            0.027097,                   0,           0.0078715,           0.0078715,           0.0078715
                  45,             0.05272,            0.033134,                   0,             0.69717,             0.69078,             0.64538,             0.19292,            0.045007,            0.026947,                   0,            0.007822,            0.007822,            0.007822
                  46,            0.053156,             0.03315,                   0,             0.71099,             0.69312,             0.65214,             0.19899,            0.044694,            0.027269,                   0,           0.0077725,           0.0077725,           0.0077725
                  47,            0.053324,            0.032996,                   0,             0.69994,             0.69078,             0.64215,             0.19993,            0.044988,            0.027041,                   0,            0.007723,            0.007723,            0.007723
                  48,             0.05082,            0.032886,                   0,              0.7421,              0.7286,             0.69246,             0.21829,            0.043435,            0.026765,                   0,           0.0076735,           0.0076735,           0.0076735
                  49,            0.052329,            0.032589,                   0,             0.70299,             0.69428,             0.67442,             0.21257,            0.043327,            0.026921,                   0,            0.007624,            0.007624,            0.007624
                  50,             0.05098,            0.032464,                   0,             0.73344,             0.70245,              0.6653,             0.21385,            0.042232,             0.02676,                   0,           0.0075745,           0.0075745,           0.0075745
                  51,            0.052948,            0.032584,                   0,             0.73481,             0.70945,             0.67912,              0.2122,            0.043361,            0.026604,                   0,            0.007525,            0.007525,            0.007525
                  52,            0.050359,            0.032434,                   0,             0.72007,             0.68435,             0.66867,             0.21779,            0.043111,            0.026648,                   0,           0.0074755,           0.0074755,           0.0074755
                  53,            0.050107,             0.03245,                   0,             0.73427,             0.70012,             0.69634,             0.22659,            0.041827,            0.026479,                   0,            0.007426,            0.007426,            0.007426
                  54,            0.051499,            0.032341,                   0,             0.70946,             0.71529,              0.6725,             0.20872,            0.042972,            0.026777,                   0,           0.0073765,           0.0073765,           0.0073765
                  55,            0.050879,            0.032002,                   0,             0.74212,             0.73629,             0.69548,             0.22393,            0.042257,            0.026408,                   0,            0.007327,            0.007327,            0.007327
                  56,            0.049834,             0.03277,                   0,             0.71877,             0.69188,             0.66784,             0.20285,            0.044279,            0.026901,                   0,           0.0072775,           0.0072775,           0.0072775
