               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12193,            0.035945,                   0,                   0,                   0,                   0,                   0,             0.10088,             0.02152,                   0,            0.070158,           0.0033158,           0.0033158
                   1,             0.11955,            0.024376,                   0,          0.00010526,            0.014002,          5.3863e-05,          1.0693e-05,             0.10091,            0.019887,                   0,            0.040125,           0.0066162,           0.0066162
                   2,             0.12109,            0.022972,                   0,            0.010694,           0.0046674,           0.0057227,           0.0010385,             0.10031,            0.019472,                   0,            0.010059,           0.0098836,           0.0098836
                   3,             0.10654,            0.029005,                   0,            0.006248,            0.019837,          0.00099823,          0.00021651,             0.10012,            0.021953,                   0,           0.0098515,           0.0098515,           0.0098515
                   4,            0.095157,            0.033991,                   0,             0.17047,              0.2287,            0.091455,            0.019739,            0.070993,            0.031815,                   0,           0.0098515,           0.0098515,           0.0098515
                   5,            0.089043,            0.034704,                   0,             0.21493,             0.28355,             0.12785,            0.029103,            0.064685,            0.031001,                   0,            0.009802,            0.009802,            0.009802
                   6,            0.082121,            0.034828,                   0,             0.16505,             0.19253,             0.10482,            0.026505,            0.070275,            0.032615,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,            0.076788,            0.035414,                   0,             0.32568,             0.30455,             0.18352,            0.037626,            0.059766,             0.03082,                   0,            0.009703,            0.009703,            0.009703
                   8,            0.073349,            0.035141,                   0,             0.39598,             0.33839,             0.25659,            0.057525,            0.059003,            0.031238,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,            0.071336,            0.035045,                   0,             0.46247,             0.39557,             0.34149,             0.08231,            0.055126,            0.030574,                   0,            0.009604,            0.009604,            0.009604
                  10,             0.07072,            0.035335,                   0,             0.43929,              0.3909,             0.32588,            0.079049,            0.055606,            0.031464,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,            0.066499,            0.034654,                   0,             0.48862,             0.43706,             0.37885,            0.094482,            0.053187,            0.030664,                   0,            0.009505,            0.009505,            0.009505
                  12,            0.067416,            0.035009,                   0,             0.52397,             0.45858,             0.41082,             0.10185,            0.052864,            0.030019,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,            0.065139,            0.034304,                   0,             0.53528,             0.44083,             0.39852,            0.098781,            0.052098,            0.030013,                   0,            0.009406,            0.009406,            0.009406
                  14,            0.064159,              0.0353,                   0,             0.53313,             0.50175,             0.43463,              0.1124,            0.048994,            0.030623,                   0,           0.0093565,           0.0093565,           0.0093565
                  15,            0.065551,            0.035144,                   0,             0.56838,             0.52975,              0.4821,              0.1179,            0.049859,            0.029254,                   0,            0.009307,            0.009307,            0.009307
                  16,            0.064826,              0.0347,                   0,             0.57874,             0.52099,             0.46562,             0.11494,            0.049836,            0.029658,                   0,           0.0092575,           0.0092575,           0.0092575
                  17,            0.061144,            0.035017,                   0,             0.59562,             0.54726,             0.48868,             0.12767,             0.04888,            0.029196,                   0,            0.009208,            0.009208,            0.009208
                  18,            0.061801,             0.03429,                   0,             0.56841,             0.51342,             0.44503,             0.11704,            0.048649,            0.029609,                   0,           0.0091585,           0.0091585,           0.0091585
                  19,            0.059711,            0.034182,                   0,             0.59715,             0.53209,             0.48371,             0.13077,            0.049212,            0.029744,                   0,            0.009109,            0.009109,            0.009109
                  20,            0.059783,            0.034574,                   0,             0.64106,             0.55543,             0.51293,             0.13404,            0.048143,            0.028902,                   0,           0.0090595,           0.0090595,           0.0090595
                  21,             0.06232,            0.034341,                   0,              0.6174,             0.58576,             0.53787,             0.14416,            0.047063,            0.028887,                   0,             0.00901,             0.00901,             0.00901
                  22,             0.06057,             0.03458,                   0,             0.61227,              0.5706,               0.533,             0.14573,            0.048236,              0.0289,                   0,           0.0089605,           0.0089605,           0.0089605
                  23,            0.059016,            0.033714,                   0,             0.59434,             0.56245,             0.50905,             0.14155,            0.049363,            0.028729,                   0,            0.008911,            0.008911,            0.008911
                  24,            0.058415,            0.034096,                   0,             0.62895,             0.54959,             0.53607,             0.14482,            0.049028,             0.02913,                   0,           0.0088615,           0.0088615,           0.0088615
                  25,            0.059456,            0.035049,                   0,             0.62203,              0.5986,             0.55235,             0.15352,            0.047926,            0.028591,                   0,            0.008812,            0.008812,            0.008812
                  26,            0.056462,            0.034509,                   0,             0.64347,             0.61144,             0.57894,             0.15322,            0.047954,            0.028847,                   0,           0.0087625,           0.0087625,           0.0087625
                  27,            0.057616,             0.03412,                   0,             0.65995,             0.58427,             0.56901,             0.15495,            0.046872,             0.02921,                   0,            0.008713,            0.008713,            0.008713
                  28,            0.058331,            0.034179,                   0,             0.62719,             0.60793,             0.55254,             0.15351,            0.046501,             0.02858,                   0,           0.0086635,           0.0086635,           0.0086635
                  29,            0.058155,            0.033855,                   0,             0.64635,             0.64833,             0.59313,             0.16385,            0.046229,            0.028154,                   0,            0.008614,            0.008614,            0.008614
                  30,            0.056398,            0.034035,                   0,             0.64922,             0.63492,             0.59351,             0.16776,            0.047225,            0.028368,                   0,           0.0085645,           0.0085645,           0.0085645
                  31,             0.05651,            0.034211,                   0,             0.63665,             0.64609,              0.6096,             0.16786,            0.046534,             0.02872,                   0,            0.008515,            0.008515,            0.008515
                  32,            0.055667,            0.033813,                   0,             0.68582,             0.65928,             0.62217,             0.16864,            0.046139,            0.028041,                   0,           0.0084655,           0.0084655,           0.0084655
                  33,            0.055383,            0.033429,                   0,             0.64063,             0.59043,             0.57163,             0.15621,            0.047247,            0.028364,                   0,            0.008416,            0.008416,            0.008416
                  34,            0.054551,            0.033196,                   0,             0.66942,              0.6616,             0.61333,             0.17927,            0.045389,             0.02781,                   0,           0.0083665,           0.0083665,           0.0083665
                  35,            0.054428,            0.033676,                   0,             0.67635,             0.63244,             0.61315,             0.18709,            0.045301,            0.027545,                   0,            0.008317,            0.008317,            0.008317
                  36,             0.05477,            0.033568,                   0,             0.65371,             0.66044,             0.62686,             0.17842,            0.045722,            0.027906,                   0,           0.0082675,           0.0082675,           0.0082675
                  37,            0.053653,            0.033698,                   0,             0.65758,             0.68028,             0.62846,             0.18856,            0.043913,            0.027796,                   0,            0.008218,            0.008218,            0.008218
                  38,            0.052354,            0.032884,                   0,             0.64402,             0.64174,             0.58834,             0.17434,            0.044429,            0.027987,                   0,           0.0081685,           0.0081685,           0.0081685
                  39,            0.055969,            0.033103,                   0,             0.67972,             0.66615,             0.61333,             0.17983,            0.045529,            0.027466,                   0,            0.008119,            0.008119,            0.008119
                  40,            0.053399,            0.033135,                   0,             0.70353,             0.70245,             0.65738,             0.20429,            0.043159,            0.027772,                   0,           0.0080695,           0.0080695,           0.0080695
                  41,            0.052651,             0.03294,                   0,             0.69536,             0.68961,             0.64619,             0.19874,            0.044783,            0.027582,                   0,             0.00802,             0.00802,             0.00802
                  42,            0.052564,            0.033335,                   0,             0.69339,             0.71062,             0.65482,             0.19725,            0.044399,            0.027126,                   0,           0.0079705,           0.0079705,           0.0079705
                  43,            0.054833,            0.033435,                   0,             0.68084,             0.69545,             0.63812,             0.20352,            0.043102,            0.027513,                   0,            0.007921,            0.007921,            0.007921
                  44,             0.05341,            0.032638,                   0,             0.68982,             0.71412,             0.67149,             0.20179,            0.044573,            0.027516,                   0,           0.0078715,           0.0078715,           0.0078715
                  45,            0.053459,            0.033182,                   0,             0.69052,             0.68845,             0.64478,             0.19415,            0.043045,            0.027718,                   0,            0.007822,            0.007822,            0.007822
                  46,            0.053629,            0.033246,                   0,             0.67778,             0.68234,             0.64072,             0.20232,            0.044173,              0.0275,                   0,           0.0077725,           0.0077725,           0.0077725
                  47,            0.053577,            0.032908,                   0,             0.70679,               0.706,             0.66947,             0.21285,            0.042721,            0.027237,                   0,            0.007723,            0.007723,            0.007723
                  48,            0.050715,            0.032921,                   0,             0.69161,             0.68728,             0.64743,             0.20188,            0.043243,            0.027697,                   0,           0.0076735,           0.0076735,           0.0076735
                  49,            0.052212,            0.032654,                   0,             0.70082,             0.71529,             0.66456,             0.21855,            0.043429,            0.027338,                   0,            0.007624,            0.007624,            0.007624
                  50,            0.051702,            0.032582,                   0,             0.69837,             0.69895,             0.66225,             0.21196,            0.041898,            0.027302,                   0,           0.0075745,           0.0075745,           0.0075745
                  51,            0.052573,            0.032652,                   0,              0.6907,             0.71412,             0.64965,             0.21333,            0.042932,            0.026928,                   0,            0.007525,            0.007525,            0.007525
                  52,            0.050364,            0.032378,                   0,             0.71727,             0.71062,             0.68404,             0.22297,            0.041813,            0.026783,                   0,           0.0074755,           0.0074755,           0.0074755
                  53,            0.049745,            0.032348,                   0,             0.71457,             0.70595,             0.68298,             0.21988,            0.042983,            0.027088,                   0,            0.007426,            0.007426,            0.007426
                  54,             0.05103,             0.03217,                   0,             0.71951,             0.71879,             0.67939,             0.21873,            0.042461,            0.026975,                   0,           0.0073765,           0.0073765,           0.0073765
                  55,            0.051222,            0.031941,                   0,             0.74918,             0.74446,             0.71564,             0.23902,            0.041624,            0.026496,                   0,            0.007327,            0.007327,            0.007327
                  56,            0.050032,            0.032957,                   0,             0.72675,             0.73046,             0.70533,             0.23009,            0.041481,            0.026538,                   0,           0.0072775,           0.0072775,           0.0072775
                  57,             0.04895,            0.032241,                   0,             0.74103,             0.77128,             0.71102,             0.24016,            0.040855,             0.02643,                   0,            0.007228,            0.007228,            0.007228
                  58,            0.049998,            0.032169,                   0,             0.75412,             0.74797,             0.71747,             0.24121,            0.040456,            0.026354,                   0,           0.0071785,           0.0071785,           0.0071785
                  59,            0.051025,            0.032496,                   0,             0.74323,             0.72618,             0.71421,             0.23574,            0.041878,            0.026502,                   0,            0.007129,            0.007129,            0.007129
                  60,            0.049159,            0.032179,                   0,             0.74323,             0.75146,             0.71404,             0.24059,            0.041271,            0.026568,                   0,           0.0070795,           0.0070795,           0.0070795
                  61,            0.049634,            0.032045,                   0,             0.75235,             0.74796,              0.7159,             0.25277,            0.039989,            0.026383,                   0,             0.00703,             0.00703,             0.00703
                  62,            0.049631,             0.03214,                   0,             0.73366,             0.75212,             0.70394,             0.23027,            0.041232,            0.026922,                   0,           0.0069805,           0.0069805,           0.0069805
                  63,            0.049645,            0.032146,                   0,             0.74746,             0.76546,             0.72672,             0.24587,            0.041077,            0.026425,                   0,            0.006931,            0.006931,            0.006931
                  64,            0.048254,            0.031896,                   0,             0.77868,             0.77596,              0.7597,             0.26354,              0.0393,            0.025962,                   0,           0.0068815,           0.0068815,           0.0068815
                  65,            0.047429,            0.031803,                   0,             0.76272,             0.76196,             0.73548,             0.24605,            0.040542,            0.026161,                   0,            0.006832,            0.006832,            0.006832
                  66,            0.047855,             0.03181,                   0,             0.77222,             0.75029,             0.73745,              0.2515,            0.039988,            0.026705,                   0,           0.0067825,           0.0067825,           0.0067825
                  67,             0.04989,            0.032385,                   0,             0.75757,             0.76546,             0.75432,              0.2558,            0.040335,            0.026178,                   0,            0.006733,            0.006733,            0.006733
                  68,            0.048463,            0.031752,                   0,             0.76586,             0.79007,             0.75495,             0.26551,            0.040453,            0.026143,                   0,           0.0066835,           0.0066835,           0.0066835
                  69,            0.048312,            0.031664,                   0,             0.78349,             0.77695,             0.75797,             0.27223,            0.039308,            0.025754,                   0,            0.006634,            0.006634,            0.006634
                  70,            0.048452,            0.031397,                   0,             0.78771,              0.7853,             0.74763,             0.27272,            0.039368,            0.025854,                   0,           0.0065845,           0.0065845,           0.0065845
                  71,            0.047226,            0.031442,                   0,             0.78036,             0.79184,             0.77653,             0.28252,            0.039988,            0.025987,                   0,            0.006535,            0.006535,            0.006535
                  72,            0.046848,            0.031282,                   0,             0.80699,             0.79524,             0.78805,             0.28297,            0.038465,            0.025492,                   0,           0.0064855,           0.0064855,           0.0064855
                  73,            0.045863,            0.031328,                   0,             0.78464,             0.79347,             0.76348,             0.27103,            0.039199,            0.025821,                   0,            0.006436,            0.006436,            0.006436
                  74,            0.047188,            0.031519,                   0,             0.78983,              0.7923,             0.75861,             0.27033,            0.039167,            0.025858,                   0,           0.0063865,           0.0063865,           0.0063865
                  75,            0.048032,            0.031083,                   0,             0.79435,             0.78996,             0.76473,             0.28199,            0.038358,            0.025602,                   0,            0.006337,            0.006337,            0.006337
                  76,            0.046224,            0.031286,                   0,             0.81238,              0.8063,             0.79418,             0.28594,            0.038028,            0.025339,                   0,           0.0062875,           0.0062875,           0.0062875
                  77,            0.045933,            0.030862,                   0,             0.80989,             0.79533,             0.79631,             0.28576,            0.039193,            0.025384,                   0,            0.006238,            0.006238,            0.006238
                  78,            0.044933,            0.030884,                   0,             0.80207,             0.78413,             0.77821,             0.29057,            0.038433,            0.025168,                   0,           0.0061885,           0.0061885,           0.0061885
                  79,            0.046657,            0.031307,                   0,             0.79579,             0.79463,             0.77607,             0.29283,               0.038,            0.025265,                   0,            0.006139,            0.006139,            0.006139
                  80,            0.045712,            0.030749,                   0,             0.80602,              0.7923,              0.7864,             0.28755,            0.038987,            0.025291,                   0,           0.0060895,           0.0060895,           0.0060895
                  81,            0.045967,            0.031199,                   0,             0.80517,             0.80047,             0.78087,             0.29822,            0.038382,             0.02518,                   0,             0.00604,             0.00604,             0.00604
                  82,            0.045861,            0.030624,                   0,             0.81445,             0.79903,             0.79468,             0.30233,            0.037728,            0.025531,                   0,           0.0059905,           0.0059905,           0.0059905
                  83,            0.044908,            0.030882,                   0,             0.82196,             0.81346,             0.81539,             0.30687,            0.037852,            0.025032,                   0,            0.005941,            0.005941,            0.005941
                  84,            0.045728,            0.030589,                   0,             0.81524,             0.81914,             0.80627,             0.30489,            0.037064,            0.024915,                   0,           0.0058915,           0.0058915,           0.0058915
                  85,             0.04467,            0.030223,                   0,              0.8083,             0.80691,             0.79845,             0.31029,            0.037559,            0.024807,                   0,            0.005842,            0.005842,            0.005842
                  86,             0.04492,             0.03063,                   0,             0.81742,             0.82497,             0.81474,             0.31264,            0.037036,            0.024862,                   0,           0.0057925,           0.0057925,           0.0057925
                  87,            0.044967,            0.030359,                   0,             0.82933,             0.81085,             0.80042,             0.30161,            0.037213,            0.024787,                   0,            0.005743,            0.005743,            0.005743
                  88,            0.045018,             0.03061,                   0,             0.83378,             0.83197,             0.81626,             0.32796,            0.036654,            0.024611,                   0,           0.0056935,           0.0056935,           0.0056935
                  89,            0.043189,            0.030405,                   0,              0.8415,             0.82614,             0.83504,              0.3313,            0.037047,            0.024553,                   0,            0.005644,            0.005644,            0.005644
                  90,             0.04596,             0.03109,                   0,             0.84163,             0.80747,             0.82567,             0.32553,            0.036406,            0.024699,                   0,           0.0055945,           0.0055945,           0.0055945
                  91,             0.04555,            0.030915,                   0,             0.83722,             0.82964,             0.83169,             0.32285,            0.036078,            0.024619,                   0,            0.005545,            0.005545,            0.005545
                  92,            0.044367,            0.030402,                   0,             0.83808,             0.85414,             0.83135,             0.33014,             0.03636,            0.024683,                   0,           0.0054955,           0.0054955,           0.0054955
                  93,            0.045355,            0.030822,                   0,             0.85331,             0.83547,             0.83979,              0.3252,            0.036733,            0.024453,                   0,            0.005446,            0.005446,            0.005446
                  94,            0.044385,            0.030359,                   0,             0.82317,             0.83664,              0.8144,             0.31107,             0.03697,            0.024873,                   0,           0.0053965,           0.0053965,           0.0053965
                  95,            0.044852,            0.030437,                   0,             0.86046,             0.85627,             0.85448,             0.33274,            0.036045,            0.024348,                   0,            0.005347,            0.005347,            0.005347
                  96,             0.04453,            0.030169,                   0,              0.8427,              0.8314,             0.82922,             0.33442,            0.035914,            0.024226,                   0,           0.0052975,           0.0052975,           0.0052975
                  97,            0.044268,            0.030255,                   0,             0.82633,             0.85648,             0.83774,             0.33773,            0.035833,            0.024435,                   0,            0.005248,            0.005248,            0.005248
                  98,            0.043362,            0.030331,                   0,             0.85221,             0.86464,             0.85822,             0.34606,            0.035705,            0.024082,                   0,           0.0051985,           0.0051985,           0.0051985
                  99,            0.043461,            0.029371,                   0,             0.84906,             0.83897,             0.85054,             0.34449,            0.035626,            0.024077,                   0,            0.005149,            0.005149,            0.005149
                 100,             0.04393,            0.029744,                   0,              0.8658,             0.84315,             0.85816,              0.3474,            0.035368,             0.02412,                   0,           0.0050995,           0.0050995,           0.0050995
                 101,            0.043576,            0.029775,                   0,             0.85866,             0.85778,             0.85964,             0.35437,            0.035359,            0.024082,                   0,             0.00505,             0.00505,             0.00505
                 102,            0.042389,            0.029797,                   0,             0.85491,             0.84569,              0.8593,             0.34717,            0.035133,            0.024187,                   0,           0.0050005,           0.0050005,           0.0050005
                 103,            0.043342,            0.029591,                   0,             0.86465,             0.85881,              0.8629,             0.35656,            0.034824,            0.023799,                   0,            0.004951,            0.004951,            0.004951
                 104,              0.0434,            0.029971,                   0,              0.8568,             0.85414,             0.85487,             0.36082,            0.034309,            0.023861,                   0,           0.0049015,           0.0049015,           0.0049015
                 105,            0.043021,            0.029514,                   0,             0.86156,             0.86581,             0.85856,             0.35712,            0.035169,            0.023905,                   0,            0.004852,            0.004852,            0.004852
                 106,            0.043499,            0.029704,                   0,             0.87251,             0.85443,             0.87119,              0.3717,             0.03446,            0.023721,                   0,           0.0048025,           0.0048025,           0.0048025
                 107,            0.041405,            0.029663,                   0,             0.87035,             0.86946,             0.87562,             0.37089,            0.034017,             0.02349,                   0,            0.004753,            0.004753,            0.004753
