               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12579,            0.017144,                   0,          8.7719e-06,           0.0011669,          4.4032e-06,          4.4032e-07,             0.10727,           0.0045643,                   0,            0.070158,           0.0033158,           0.0033158
                   1,             0.12449,           0.0060861,                   0,                   0,                   0,                   0,                   0,             0.10724,           0.0035052,                   0,            0.040125,           0.0066162,           0.0066162
                   2,             0.12676,           0.0049548,                   0,                   0,                   0,                   0,                   0,             0.10721,           0.0036287,                   0,            0.010059,           0.0098836,           0.0098836
                   3,             0.12395,           0.0049359,                   0,                   0,                   0,                   0,                   0,               0.107,            0.004171,                   0,           0.0098515,           0.0098515,           0.0098515
                   4,             0.12662,            0.005272,                   0,           0.0092593,           0.0058343,           0.0047064,           0.0006638,             0.10654,           0.0050474,                   0,           0.0098515,           0.0098515,           0.0098515
                   5,             0.12593,           0.0062807,                   0,            0.002789,             0.36639,           0.0038053,          0.00080443,             0.10615,           0.0060479,                   0,            0.009802,            0.009802,            0.009802
                   6,             0.12226,           0.0084322,                   0,            0.024449,              0.2147,            0.017622,           0.0045217,             0.10242,            0.011581,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,             0.11892,            0.010763,                   0,            0.084546,             0.23104,            0.059351,            0.013772,            0.099767,            0.011493,                   0,            0.009703,            0.009703,            0.009703
                   8,             0.11775,            0.012219,                   0,             0.19968,             0.13186,            0.091303,            0.022758,            0.097289,            0.012821,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,             0.11609,             0.01266,                   0,              0.2583,             0.20653,             0.13087,            0.030014,            0.095201,            0.013228,                   0,            0.009604,            0.009604,            0.009604
                  10,             0.11695,             0.01354,                   0,             0.34744,             0.25904,             0.19432,            0.043171,             0.09386,            0.013807,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,             0.11176,             0.01415,                   0,             0.31212,             0.25204,             0.19337,             0.04782,             0.09327,            0.013948,                   0,            0.009505,            0.009505,            0.009505
                  12,             0.11169,            0.014752,                   0,             0.36234,             0.29755,             0.24536,            0.065356,            0.091557,            0.015026,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,             0.11076,            0.015142,                   0,             0.39614,             0.39557,             0.31201,            0.077508,            0.089627,             0.01571,                   0,            0.009406,            0.009406,            0.009406
                  14,             0.10954,            0.016072,                   0,             0.45248,             0.41657,             0.34409,            0.081607,            0.089038,            0.015888,                   0,           0.0093565,           0.0093565,           0.0093565
                  15,             0.11024,            0.016256,                   0,             0.42164,             0.39907,             0.32458,            0.080994,            0.089308,            0.015938,                   0,            0.009307,            0.009307,            0.009307
                  16,             0.10985,            0.016474,                   0,             0.47418,             0.44406,             0.37529,            0.094836,            0.088219,            0.016013,                   0,           0.0092575,           0.0092575,           0.0092575
                  17,             0.10606,            0.016983,                   0,             0.55508,             0.49358,             0.45088,             0.12715,            0.085989,            0.016894,                   0,            0.009208,            0.009208,            0.009208
                  18,             0.10836,            0.016855,                   0,              0.5236,             0.46091,              0.4061,              0.1085,            0.086966,            0.016649,                   0,           0.0091585,           0.0091585,           0.0091585
                  19,             0.10538,            0.017047,                   0,             0.54133,             0.47958,             0.42691,             0.11745,            0.085959,            0.017078,                   0,            0.009109,            0.009109,            0.009109
                  20,              0.1055,            0.017519,                   0,             0.58444,             0.50642,             0.46632,             0.12447,            0.085175,            0.017269,                   0,           0.0090595,           0.0090595,           0.0090595
                  21,              0.1111,              0.0174,                   0,             0.61404,             0.52275,             0.49948,             0.13546,            0.084456,            0.017584,                   0,             0.00901,             0.00901,             0.00901
                  22,             0.10759,            0.017864,                   0,              0.5277,             0.49358,             0.42648,             0.12274,            0.085546,            0.017099,                   0,           0.0089605,           0.0089605,           0.0089605
                  23,             0.10524,            0.017373,                   0,             0.57195,             0.47958,             0.44853,              0.1237,            0.085119,            0.017232,                   0,            0.008911,            0.008911,            0.008911
                  24,             0.10391,            0.017928,                   0,             0.56981,             0.51342,             0.48755,             0.14921,            0.084134,            0.017427,                   0,           0.0088615,           0.0088615,           0.0088615
                  25,             0.10726,            0.018592,                   0,             0.60374,             0.52624,             0.50847,             0.15132,            0.083693,            0.017625,                   0,            0.008812,            0.008812,            0.008812
                  26,             0.10248,            0.018462,                   0,             0.62249,             0.57146,             0.53324,             0.15641,            0.082961,            0.017736,                   0,           0.0087625,           0.0087625,           0.0087625
                  27,             0.10378,            0.018172,                   0,             0.58807,             0.53972,             0.50099,             0.15144,            0.082876,            0.018049,                   0,            0.008713,            0.008713,            0.008713
                  28,             0.10677,            0.018556,                   0,             0.59657,             0.57526,             0.53493,             0.14989,            0.082424,            0.018035,                   0,           0.0086635,           0.0086635,           0.0086635
                  29,              0.1069,            0.018455,                   0,             0.61341,             0.56243,             0.53246,             0.15805,            0.082774,             0.01786,                   0,            0.008614,            0.008614,            0.008614
                  30,              0.1034,            0.018683,                   0,             0.62301,              0.5846,             0.54567,             0.16536,            0.082438,            0.017955,                   0,           0.0085645,           0.0085645,           0.0085645
                  31,             0.10434,            0.018821,                   0,             0.63219,             0.56943,             0.55541,             0.16533,            0.082044,            0.018151,                   0,            0.008515,            0.008515,            0.008515
                  32,             0.10191,            0.018839,                   0,             0.63652,             0.57418,             0.56622,             0.16726,            0.081709,            0.018343,                   0,           0.0084655,           0.0084655,           0.0084655
                  33,             0.10309,            0.018848,                   0,             0.63423,             0.54609,             0.53822,             0.15721,            0.082601,            0.017941,                   0,            0.008416,            0.008416,            0.008416
                  34,             0.10068,            0.018989,                   0,             0.64771,             0.56709,             0.57029,             0.17626,            0.081362,            0.018437,                   0,           0.0083665,           0.0083665,           0.0083665
                  35,             0.10037,            0.019188,                   0,             0.67621,             0.62894,             0.61065,             0.19056,            0.080341,            0.018455,                   0,            0.008317,            0.008317,            0.008317
                  36,             0.10191,            0.019241,                   0,             0.63715,             0.60034,             0.56941,              0.1805,            0.081479,            0.018284,                   0,           0.0082675,           0.0082675,           0.0082675
