               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12569,             0.01621,                   0,                   0,                   0,                   0,                   0,             0.10725,           0.0039728,                   0,            0.070158,           0.0033158,           0.0033158
                   1,             0.12444,           0.0053058,                   0,                   0,                   0,                   0,                   0,              0.1075,           0.0028463,                   0,            0.040125,           0.0066162,           0.0066162
                   2,              0.1267,           0.0045501,                   0,                   0,                   0,                   0,                   0,             0.10851,          0.00014651,                   0,            0.010059,           0.0098836,           0.0098836
                   3,             0.12392,           0.0047803,                   0,                   0,                   0,                   0,                   0,             0.10778,           0.0025484,                   0,           0.0098515,           0.0098515,           0.0098515
                   4,             0.12672,           0.0048635,                   0,                   0,                   0,                   0,                   0,             0.10689,           0.0042269,                   0,           0.0098515,           0.0098515,           0.0098515
                   5,             0.12664,           0.0047966,                   0,            0.011194,           0.0035006,           0.0057329,           0.0018848,             0.10659,           0.0045962,                   0,            0.009802,            0.009802,            0.009802
                   6,             0.12373,           0.0060129,                   0,            0.011602,             0.33722,            0.014869,           0.0037175,             0.10357,           0.0087881,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,             0.12043,           0.0088356,                   0,           0.0047242,              0.3804,           0.0091489,           0.0019357,               0.104,             0.00859,                   0,            0.009703,            0.009703,            0.009703
                   8,             0.11903,            0.010581,                   0,             0.19342,             0.17853,             0.10492,            0.022592,            0.098102,            0.011836,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,             0.11712,            0.011479,                   0,             0.22528,              0.2077,             0.10184,            0.022324,            0.097271,            0.011999,                   0,            0.009604,            0.009604,            0.009604
                  10,             0.11805,            0.012607,                   0,             0.25477,             0.21354,             0.12372,            0.028361,            0.095517,             0.01288,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,               0.113,            0.013183,                   0,              0.3447,             0.30105,             0.20188,            0.047922,            0.093153,            0.013965,                   0,            0.009505,            0.009505,            0.009505
                  12,             0.11282,            0.013994,                   0,             0.35547,             0.29988,             0.23416,            0.055396,            0.092124,            0.014792,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,             0.11179,             0.01452,                   0,              0.3894,             0.35123,             0.24125,            0.060316,            0.090888,            0.015032,                   0,            0.009406,            0.009406,            0.009406
                  14,             0.11075,            0.015321,                   0,             0.40485,             0.36173,              0.2799,            0.068038,            0.090885,            0.015274,                   0,           0.0093565,           0.0093565,           0.0093565
                  15,             0.11126,            0.015743,                   0,             0.44772,             0.35356,             0.31505,            0.085511,            0.088845,            0.015819,                   0,            0.009307,            0.009307,            0.009307
                  16,             0.11035,            0.016072,                   0,             0.48627,             0.40645,             0.30723,            0.078226,            0.088962,            0.015933,                   0,           0.0092575,           0.0092575,           0.0092575
                  17,             0.10698,            0.016462,                   0,             0.49782,             0.42124,             0.36614,            0.095525,            0.088324,            0.016122,                   0,            0.009208,            0.009208,            0.009208
                  18,             0.10882,            0.016621,                   0,             0.53731,             0.46558,             0.40183,             0.10217,            0.087175,            0.016469,                   0,           0.0091585,           0.0091585,           0.0091585
                  19,             0.10582,            0.016762,                   0,             0.52817,             0.45717,             0.43463,             0.11354,            0.086575,            0.016581,                   0,            0.009109,            0.009109,            0.009109
                  20,             0.10577,            0.017216,                   0,             0.56465,             0.49125,             0.45124,             0.11918,            0.085783,            0.017011,                   0,           0.0090595,           0.0090595,           0.0090595
                  21,             0.11135,            0.017226,                   0,             0.59492,             0.49592,             0.46372,              0.1232,             0.08581,             0.01714,                   0,             0.00901,             0.00901,             0.00901
                  22,             0.10784,            0.017635,                   0,             0.58629,             0.50642,             0.47469,             0.13394,            0.084414,            0.017357,                   0,           0.0089605,           0.0089605,           0.0089605
                  23,              0.1052,             0.01734,                   0,              0.5932,             0.52159,             0.46259,             0.13297,            0.084542,            0.017423,                   0,            0.008911,            0.008911,            0.008911
                  24,              0.1043,             0.01775,                   0,             0.56864,             0.51225,             0.47973,             0.13782,            0.084326,            0.017662,                   0,           0.0088615,           0.0088615,           0.0088615
                  25,             0.10751,            0.018399,                   0,             0.59217,             0.53326,             0.49599,             0.13191,            0.083735,            0.017817,                   0,            0.008812,            0.008812,            0.008812
                  26,             0.10265,            0.018343,                   0,              0.5916,             0.50371,             0.48073,             0.13759,            0.083642,            0.017968,                   0,           0.0087625,           0.0087625,           0.0087625
                  27,             0.10365,            0.018179,                   0,             0.59905,             0.51254,             0.49554,             0.14709,            0.083033,            0.018012,                   0,            0.008713,            0.008713,            0.008713
                  28,             0.10712,            0.018373,                   0,             0.58869,             0.52107,              0.4951,             0.14253,            0.084322,            0.017353,                   0,           0.0086635,           0.0086635,           0.0086635
                  29,             0.10691,             0.01848,                   0,              0.6137,             0.53758,             0.52526,              0.1611,            0.082632,            0.017845,                   0,            0.008614,            0.008614,            0.008614
                  30,             0.10342,            0.018689,                   0,             0.63923,             0.56359,             0.53776,             0.15566,            0.082414,            0.017976,                   0,           0.0085645,           0.0085645,           0.0085645
                  31,             0.10432,            0.018877,                   0,             0.64989,             0.56476,             0.56765,             0.17152,            0.081992,            0.017968,                   0,            0.008515,            0.008515,            0.008515
