               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.034168,            0.015862,                   0,          1.7544e-05,           0.0023337,          8.8058e-06,          1.3204e-06,            0.033393,           0.0037101,                   0,            0.070158,           0.0033158,           0.0033158
                   1,            0.033668,           0.0051736,                   0,                   0,                   0,                   0,                   0,            0.030338,            0.003012,                   0,            0.040125,           0.0066162,           0.0066162
                   2,            0.033341,           0.0044321,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.010059,           0.0098836,           0.0098836
                   3,            0.031277,           0.0046562,                   0,                   0,                   0,                   0,                   0,            0.026693,           0.0038114,                   0,           0.0098515,           0.0098515,           0.0098515
                   4,            0.031021,            0.004758,                   0,                   0,                   0,                   0,                   0,            0.030916,           0.0042777,                   0,           0.0098515,           0.0098515,           0.0098515
                   5,            0.028625,           0.0047477,                   0,            0.025316,           0.0023337,            0.012715,           0.0025415,            0.029828,           0.0043071,                   0,            0.009802,            0.009802,            0.009802
                   6,            0.028777,           0.0048156,                   0,           0.0085268,             0.15986,           0.0062626,           0.0013713,            0.032592,           0.0046406,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,            0.033291,           0.0057593,                   0,           0.0064496,             0.39207,            0.013298,           0.0029923,            0.042107,           0.0070621,                   0,            0.009703,            0.009703,            0.009703
                   8,            0.039899,           0.0075018,                   0,             0.12064,            0.067678,            0.037795,           0.0081005,            0.046859,           0.0086952,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,            0.045678,           0.0090751,                   0,             0.16038,             0.14002,            0.068616,            0.014858,            0.051193,            0.010306,                   0,            0.009604,            0.009604,            0.009604
                  10,            0.049724,             0.01056,                   0,             0.23414,             0.19478,              0.1245,            0.027945,            0.053546,            0.011305,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,            0.052597,            0.011604,                   0,             0.25089,             0.23687,             0.14574,            0.032736,            0.054986,            0.013104,                   0,            0.009505,            0.009505,            0.009505
                  12,            0.055357,            0.012773,                   0,             0.28341,             0.30044,             0.17919,            0.042048,            0.055133,            0.013431,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,            0.055882,            0.013482,                   0,             0.35217,             0.31622,             0.21358,            0.046646,            0.056847,            0.014021,                   0,            0.009406,            0.009406,            0.009406
                  14,            0.057214,            0.014578,                   0,             0.39854,             0.35006,             0.27998,            0.068625,            0.057111,             0.01531,                   0,           0.0093565,           0.0093565,           0.0093565
                  15,            0.057766,            0.014902,                   0,             0.36362,             0.32439,             0.23509,            0.055861,            0.057505,            0.014752,                   0,            0.009307,            0.009307,            0.009307
                  16,            0.056357,            0.015269,                   0,             0.40133,              0.3769,             0.26894,            0.062223,            0.057787,            0.014532,                   0,           0.0092575,           0.0092575,           0.0092575
                  17,            0.055868,            0.015815,                   0,             0.48006,              0.4049,             0.36333,              0.0957,            0.055963,            0.015477,                   0,            0.009208,            0.009208,            0.009208
                  18,            0.055783,            0.016034,                   0,             0.49648,             0.45508,             0.38192,             0.10312,            0.055985,            0.016467,                   0,           0.0091585,           0.0091585,           0.0091585
                  19,            0.056124,            0.016242,                   0,             0.49449,              0.4084,             0.36368,            0.095171,            0.056127,            0.015802,                   0,            0.009109,            0.009109,            0.009109
                  20,            0.056185,            0.016738,                   0,             0.51103,             0.42562,             0.38851,              0.1084,            0.056423,            0.016373,                   0,           0.0090595,           0.0090595,           0.0090595
                  21,            0.057254,            0.016667,                   0,             0.55377,             0.48511,             0.42958,             0.11569,            0.056819,             0.01668,                   0,             0.00901,             0.00901,             0.00901
                  22,            0.057408,             0.01704,                   0,             0.57789,             0.49708,             0.45585,             0.12574,            0.056659,            0.016719,                   0,           0.0089605,           0.0089605,           0.0089605
                  23,            0.057539,            0.016775,                   0,             0.57016,             0.47981,             0.44726,             0.12621,            0.056962,             0.01689,                   0,            0.008911,            0.008911,            0.008911
                  24,            0.057599,              0.0174,                   0,             0.53595,             0.48541,             0.42561,             0.11736,             0.05573,            0.017019,                   0,           0.0088615,           0.0088615,           0.0088615
                  25,            0.058053,            0.017944,                   0,             0.57961,             0.50194,             0.47821,             0.13514,            0.056372,            0.017151,                   0,            0.008812,            0.008812,            0.008812
                  26,            0.057038,            0.017785,                   0,             0.56536,             0.49358,             0.46097,             0.13238,            0.055466,             0.01738,                   0,           0.0087625,           0.0087625,           0.0087625
                  27,            0.057737,            0.017663,                   0,             0.61773,             0.52042,             0.51828,             0.14518,            0.055601,            0.017517,                   0,            0.008713,            0.008713,            0.008713
                  28,            0.058187,            0.017989,                   0,             0.62932,             0.53442,             0.52064,             0.15549,            0.055831,            0.017444,                   0,           0.0086635,           0.0086635,           0.0086635
                  29,            0.059092,            0.017999,                   0,             0.61423,             0.53326,             0.52624,             0.15288,            0.055917,            0.017195,                   0,            0.008614,            0.008614,            0.008614
                  30,            0.057337,            0.018028,                   0,             0.60872,             0.56009,             0.50885,             0.14527,            0.055558,            0.017608,                   0,           0.0085645,           0.0085645,           0.0085645
                  31,            0.057723,            0.018446,                   0,             0.61128,             0.54726,             0.50352,             0.14655,            0.055933,            0.017543,                   0,            0.008515,            0.008515,            0.008515
                  32,            0.057598,            0.018333,                   0,             0.62764,             0.55893,             0.51756,             0.14974,            0.055969,            0.017588,                   0,           0.0084655,           0.0084655,           0.0084655
                  33,            0.057951,            0.018334,                   0,              0.6214,              0.5776,             0.53282,             0.15585,            0.055775,            0.017756,                   0,            0.008416,            0.008416,            0.008416
                  34,             0.05757,            0.018517,                   0,             0.64817,             0.56593,             0.54623,             0.16122,            0.055645,            0.017701,                   0,           0.0083665,           0.0083665,           0.0083665
                  35,            0.057757,            0.018662,                   0,              0.6371,             0.56359,             0.53739,             0.16501,            0.055754,             0.01782,                   0,            0.008317,            0.008317,            0.008317
                  36,            0.058793,            0.018755,                   0,             0.66806,             0.59977,             0.56357,             0.17169,            0.055781,            0.018024,                   0,           0.0082675,           0.0082675,           0.0082675
