               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.03418,            0.016077,                   0,                   0,                   0,                   0,                   0,             0.03337,            0.003726,                   0,            0.070158,           0.0033158,           0.0033158
                   1,             0.03355,            0.005158,                   0,                   0,                   0,                   0,                   0,            0.029928,           0.0031412,                   0,            0.040125,           0.0066162,           0.0066162
                   2,            0.033859,           0.0044848,                   0,                   0,                   0,                   0,                   0,            0.024322,           0.0026135,                   0,            0.010059,           0.0098836,           0.0098836
                   3,            0.032329,           0.0047014,                   0,                   0,                   0,                   0,                   0,            0.024116,           0.0032227,                   0,           0.0098515,           0.0098515,           0.0098515
                   4,            0.031432,           0.0049109,                   0,            0.018868,            0.023337,            0.014784,           0.0040057,            0.031491,             0.00438,                   0,           0.0098515,           0.0098515,           0.0098515
                   5,            0.034912,           0.0051398,                   0,           0.0088446,             0.23921,           0.0091023,           0.0020844,             0.03929,           0.0057079,                   0,            0.009802,            0.009802,            0.009802
                   6,            0.040245,           0.0071423,                   0,           0.0069063,             0.36523,            0.012788,           0.0026955,            0.042249,           0.0069386,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,            0.047367,           0.0089505,                   0,             0.13453,             0.10968,            0.046864,            0.010105,            0.051206,            0.010149,                   0,            0.009703,            0.009703,            0.009703
                   8,            0.050423,            0.010078,                   0,             0.21261,             0.16541,            0.095775,            0.021733,            0.053764,            0.011378,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,            0.053874,            0.011184,                   0,             0.23745,             0.21587,             0.12538,             0.02838,            0.054848,            0.012079,                   0,            0.009604,            0.009604,            0.009604
                  10,            0.055277,            0.012127,                   0,              0.2476,             0.11785,            0.096985,            0.022843,            0.050292,           0.0098925,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,            0.055848,            0.012685,                   0,             0.30281,             0.31272,             0.18529,            0.043558,             0.05624,            0.013603,                   0,            0.009505,            0.009505,            0.009505
                  12,             0.05665,            0.013478,                   0,             0.34695,             0.30455,             0.23389,            0.053303,            0.057081,            0.013782,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,            0.056888,            0.014038,                   0,             0.38758,             0.36406,             0.25344,            0.059957,            0.057354,            0.014804,                   0,            0.009406,            0.009406,            0.009406
                  14,            0.058075,            0.014798,                   0,             0.42445,             0.37089,             0.28566,            0.068294,            0.056663,            0.015123,                   0,           0.0093565,           0.0093565,           0.0093565
                  15,            0.058444,            0.014999,                   0,              0.4043,             0.36989,              0.2969,            0.076579,            0.057329,            0.015434,                   0,            0.009307,            0.009307,            0.009307
                  16,            0.058759,            0.015313,                   0,             0.43642,             0.38856,             0.30571,            0.074171,            0.057553,            0.015327,                   0,           0.0092575,           0.0092575,           0.0092575
                  17,            0.059152,             0.01576,                   0,             0.50292,             0.39907,             0.35505,            0.092286,            0.057036,            0.016078,                   0,            0.009208,            0.009208,            0.009208
                  18,            0.059514,            0.015981,                   0,             0.48118,             0.47375,             0.36916,            0.093317,            0.057187,            0.016243,                   0,           0.0091585,           0.0091585,           0.0091585
                  19,            0.058029,            0.016029,                   0,              0.5241,             0.44924,              0.4101,             0.11034,            0.056332,            0.016237,                   0,            0.009109,            0.009109,            0.009109
                  20,            0.056676,            0.016792,                   0,             0.53722,             0.49475,             0.40717,             0.10376,            0.056956,            0.016771,                   0,           0.0090595,           0.0090595,           0.0090595
                  21,            0.057689,            0.016843,                   0,             0.51285,             0.49752,             0.41464,             0.10988,            0.057193,            0.016625,                   0,             0.00901,             0.00901,             0.00901
                  22,            0.057902,            0.017119,                   0,             0.51149,             0.45624,             0.42144,             0.11729,              0.0566,             0.01668,                   0,           0.0089605,           0.0089605,           0.0089605
                  23,            0.058931,            0.016956,                   0,             0.54276,             0.48201,             0.44632,             0.12858,            0.057036,            0.017219,                   0,            0.008911,            0.008911,            0.008911
                  24,            0.059235,            0.017258,                   0,             0.58394,             0.52407,             0.51641,             0.14028,            0.057128,            0.017068,                   0,           0.0088615,           0.0088615,           0.0088615
                  25,            0.059941,            0.017857,                   0,             0.54613,             0.50828,              0.4597,             0.12389,            0.057894,            0.017104,                   0,            0.008812,            0.008812,            0.008812
                  26,             0.05934,            0.017765,                   0,             0.58992,             0.53326,             0.48072,             0.14203,            0.057678,            0.017308,                   0,           0.0087625,           0.0087625,           0.0087625
                  27,            0.059446,              0.0177,                   0,             0.59811,             0.54726,              0.5079,             0.14932,            0.057068,            0.017473,                   0,            0.008713,            0.008713,            0.008713
                  28,            0.057978,             0.01799,                   0,             0.60803,             0.53209,             0.51739,             0.14827,            0.056301,             0.01767,                   0,           0.0086635,           0.0086635,           0.0086635
                  29,            0.058669,            0.017938,                   0,             0.60982,             0.56476,              0.5359,             0.15681,            0.056215,            0.017587,                   0,            0.008614,            0.008614,            0.008614
                  30,            0.057668,            0.018071,                   0,              0.6159,             0.58226,             0.54124,             0.16689,             0.05602,            0.017577,                   0,           0.0085645,           0.0085645,           0.0085645
                  31,            0.057977,            0.018339,                   0,             0.64055,             0.56943,             0.55846,             0.16152,            0.056222,            0.017882,                   0,            0.008515,            0.008515,            0.008515
                  32,            0.058505,            0.018336,                   0,             0.64798,             0.59043,             0.57961,             0.16766,            0.055776,            0.018127,                   0,           0.0084655,           0.0084655,           0.0084655
                  33,            0.058882,            0.018162,                   0,             0.61162,             0.58576,             0.52214,             0.15707,            0.055335,            0.017958,                   0,            0.008416,            0.008416,            0.008416
                  34,            0.057635,            0.018531,                   0,             0.65279,             0.56709,              0.5779,             0.18288,            0.055639,            0.018129,                   0,           0.0083665,           0.0083665,           0.0083665
                  35,            0.056641,            0.018775,                   0,             0.64468,             0.58432,             0.56252,              0.1703,             0.05553,            0.018175,                   0,            0.008317,            0.008317,            0.008317
                  36,            0.056602,            0.018747,                   0,             0.64478,             0.60793,               0.589,             0.18234,            0.055913,             0.01814,                   0,           0.0082675,           0.0082675,           0.0082675
                  37,            0.056738,             0.01892,                   0,             0.67261,             0.61609,             0.60691,              0.1926,            0.055504,            0.018037,                   0,            0.008218,            0.008218,            0.008218
                  38,            0.056565,            0.018688,                   0,               0.673,             0.63127,             0.59549,             0.18716,            0.055188,            0.018337,                   0,           0.0081685,           0.0081685,           0.0081685
                  39,            0.057447,            0.018773,                   0,             0.66702,             0.59977,             0.59493,              0.1887,            0.055246,            0.018343,                   0,            0.008119,            0.008119,            0.008119
                  40,            0.056735,            0.018949,                   0,             0.64979,             0.59977,             0.59714,             0.19127,            0.055523,            0.018348,                   0,           0.0080695,           0.0080695,           0.0080695
                  41,             0.05685,            0.018957,                   0,             0.69403,             0.62777,              0.6372,             0.20708,            0.054819,            0.018848,                   0,             0.00802,             0.00802,             0.00802
                  42,             0.05722,             0.01919,                   0,             0.67663,             0.63944,             0.61426,             0.19496,            0.055047,            0.018414,                   0,           0.0079705,           0.0079705,           0.0079705
                  43,            0.057171,            0.019299,                   0,             0.68977,             0.62266,             0.62566,             0.20647,            0.054559,            0.018517,                   0,            0.007921,            0.007921,            0.007921
                  44,             0.05722,            0.018924,                   0,              0.6483,             0.59977,             0.57916,             0.17807,            0.054978,            0.018072,                   0,           0.0078715,           0.0078715,           0.0078715
                  45,            0.057795,            0.019329,                   0,              0.6853,             0.66067,             0.63326,             0.20859,            0.054472,            0.018843,                   0,            0.007822,            0.007822,            0.007822
                  46,            0.058416,            0.019598,                   0,             0.70699,             0.65228,             0.63944,             0.21609,            0.054487,            0.018846,                   0,           0.0077725,           0.0077725,           0.0077725
                  47,            0.058377,            0.019392,                   0,             0.71346,             0.68261,             0.66663,             0.22729,            0.054437,            0.018727,                   0,            0.007723,            0.007723,            0.007723
                  48,            0.057488,            0.019677,                   0,             0.72258,             0.67473,             0.66476,             0.22396,             0.05445,            0.018787,                   0,           0.0076735,           0.0076735,           0.0076735
                  49,            0.057758,            0.019498,                   0,             0.71418,             0.67934,              0.6574,              0.2303,            0.054068,             0.01919,                   0,            0.007624,            0.007624,            0.007624
                  50,            0.058528,            0.019362,                   0,             0.69293,             0.67445,             0.64452,             0.22109,            0.055211,            0.018915,                   0,           0.0075745,           0.0075745,           0.0075745
                  51,            0.059514,            0.019725,                   0,               0.711,             0.68495,             0.67187,             0.22392,            0.054207,            0.018927,                   0,            0.007525,            0.007525,            0.007525
                  52,            0.058606,            0.019486,                   0,             0.71146,             0.66511,             0.65624,             0.22512,            0.054883,            0.018833,                   0,           0.0074755,           0.0074755,           0.0074755
                  53,             0.05999,             0.01985,                   0,             0.74388,             0.68797,             0.68393,             0.24387,            0.054227,            0.019054,                   0,            0.007426,            0.007426,            0.007426
                  54,            0.058041,            0.019454,                   0,             0.71856,             0.67328,             0.67103,             0.24702,            0.053425,            0.018994,                   0,           0.0073765,           0.0073765,           0.0073765
                  55,            0.056116,            0.019638,                   0,             0.71705,             0.69492,             0.68584,             0.25509,            0.052396,             0.01936,                   0,            0.007327,            0.007327,            0.007327
                  56,            0.057714,            0.020544,                   0,             0.70052,             0.70362,             0.68191,             0.24359,            0.054182,            0.018987,                   0,           0.0072775,           0.0072775,           0.0072775
                  57,            0.059126,            0.019894,                   0,             0.72696,             0.68378,             0.66632,             0.24681,            0.054316,            0.018921,                   0,            0.007228,            0.007228,            0.007228
                  58,            0.058045,            0.019829,                   0,             0.74393,             0.68378,             0.67989,             0.24703,             0.05269,            0.018974,                   0,           0.0071785,           0.0071785,           0.0071785
                  59,            0.057905,            0.019918,                   0,             0.73037,             0.70712,             0.69404,             0.25079,            0.052602,            0.019133,                   0,            0.007129,            0.007129,            0.007129
                  60,            0.056862,            0.019934,                   0,             0.72215,             0.70828,             0.68325,             0.25166,            0.052986,            0.018986,                   0,           0.0070795,           0.0070795,           0.0070795
                  61,             0.05711,            0.020076,                   0,             0.74201,             0.69469,             0.68924,             0.25009,            0.052158,            0.019012,                   0,             0.00703,             0.00703,             0.00703
                  62,            0.058833,             0.02011,                   0,             0.74901,             0.71038,             0.71057,             0.27294,            0.052128,            0.019362,                   0,           0.0069805,           0.0069805,           0.0069805
                  63,            0.056832,            0.020178,                   0,             0.75658,             0.71811,             0.71019,             0.27797,             0.05171,              0.0193,                   0,            0.006931,            0.006931,            0.006931
                  64,            0.055925,            0.020198,                   0,             0.74147,             0.71995,             0.70059,             0.27596,            0.051807,            0.019325,                   0,           0.0068815,           0.0068815,           0.0068815
                  65,            0.056471,            0.020275,                   0,             0.77272,             0.70712,             0.71792,              0.2718,            0.052307,            0.019443,                   0,            0.006832,            0.006832,            0.006832
                  66,               0.057,            0.020374,                   0,             0.74556,             0.73279,             0.72374,              0.2756,            0.052935,            0.019158,                   0,           0.0067825,           0.0067825,           0.0067825
                  67,            0.055788,            0.020566,                   0,             0.76696,             0.71995,             0.72979,             0.28922,            0.052304,            0.019414,                   0,            0.006733,            0.006733,            0.006733
                  68,            0.054662,            0.020503,                   0,             0.77698,             0.71645,             0.73056,             0.29069,            0.051086,            0.019428,                   0,           0.0066835,           0.0066835,           0.0066835
                  69,            0.054551,            0.020089,                   0,             0.75785,             0.73039,             0.72242,             0.28013,            0.052085,            0.019289,                   0,            0.006634,            0.006634,            0.006634
                  70,            0.052674,            0.020346,                   0,             0.76407,             0.71645,             0.71992,             0.29891,            0.051086,            0.019426,                   0,           0.0065845,           0.0065845,           0.0065845
                  71,            0.052526,            0.020364,                   0,             0.76064,             0.73862,             0.74842,             0.29853,            0.051721,            0.019318,                   0,            0.006535,            0.006535,            0.006535
                  72,            0.052552,            0.020295,                   0,             0.76628,             0.74982,             0.74692,             0.29422,            0.051491,            0.019445,                   0,           0.0064855,           0.0064855,           0.0064855
                  73,            0.052491,            0.020387,                   0,             0.77323,             0.74801,             0.76279,             0.31541,            0.049995,             0.01983,                   0,            0.006436,            0.006436,            0.006436
                  74,            0.052648,            0.020448,                   0,             0.75747,             0.73046,             0.74133,             0.29514,            0.051417,            0.019547,                   0,           0.0063865,           0.0063865,           0.0063865
                  75,            0.052515,             0.02027,                   0,              0.7691,             0.74212,             0.75054,             0.30882,            0.050987,            0.019512,                   0,            0.006337,            0.006337,            0.006337
                  76,            0.052691,            0.020632,                   0,             0.77117,             0.73144,               0.746,             0.30308,             0.05113,            0.019548,                   0,           0.0062875,           0.0062875,           0.0062875
                  77,            0.052768,             0.02043,                   0,             0.77089,             0.76079,             0.75168,             0.31192,            0.050715,            0.019581,                   0,            0.006238,            0.006238,            0.006238
                  78,            0.052662,            0.020418,                   0,             0.77949,             0.73746,             0.75079,             0.31785,            0.050799,            0.019581,                   0,           0.0061885,           0.0061885,           0.0061885
                  79,            0.053782,            0.020778,                   0,             0.77148,             0.76429,             0.77051,             0.33013,            0.050553,            0.019722,                   0,            0.006139,            0.006139,            0.006139
                  80,            0.054848,             0.02062,                   0,              0.7949,             0.71995,             0.76733,             0.33331,            0.050868,            0.019474,                   0,           0.0060895,           0.0060895,           0.0060895
                  81,            0.055112,            0.020769,                   0,             0.79458,              0.7402,             0.76299,             0.33639,            0.050039,            0.019628,                   0,             0.00604,             0.00604,             0.00604
                  82,            0.053865,            0.020603,                   0,             0.79356,             0.74459,             0.77054,             0.33863,            0.049586,            0.019643,                   0,           0.0059905,           0.0059905,           0.0059905
                  83,            0.053643,             0.02061,                   0,             0.77805,             0.75613,             0.77583,             0.34715,            0.049486,            0.019707,                   0,            0.005941,            0.005941,            0.005941
                  84,            0.053632,             0.02069,                   0,             0.78542,             0.74742,             0.78036,             0.35966,             0.04904,            0.019732,                   0,           0.0058915,           0.0058915,           0.0058915
                  85,            0.055621,            0.020523,                   0,             0.79545,             0.75846,             0.78872,             0.35207,            0.049482,            0.019771,                   0,            0.005842,            0.005842,            0.005842
                  86,            0.056639,            0.020647,                   0,             0.78724,             0.74796,             0.77201,             0.34912,            0.049722,            0.019551,                   0,           0.0057925,           0.0057925,           0.0057925
                  87,            0.056488,            0.020516,                   0,             0.78366,             0.76896,             0.78865,             0.35928,            0.049896,            0.019582,                   0,            0.005743,            0.005743,            0.005743
                  88,            0.056847,            0.020718,                   0,             0.79089,             0.77013,             0.79549,              0.3686,            0.049464,            0.019606,                   0,           0.0056935,           0.0056935,           0.0056935
                  89,            0.057154,            0.020917,                   0,             0.82599,             0.75379,             0.80632,              0.3727,            0.049878,              0.0197,                   0,            0.005644,            0.005644,            0.005644
                  90,            0.059039,             0.02104,                   0,             0.81885,             0.75428,             0.80224,             0.37068,            0.050144,            0.019618,                   0,           0.0055945,           0.0055945,           0.0055945
                  91,             0.05542,            0.021098,                   0,             0.81805,             0.77013,             0.80221,             0.36173,            0.049684,            0.019748,                   0,            0.005545,            0.005545,            0.005545
                  92,            0.054963,            0.020791,                   0,             0.81664,             0.76546,             0.80242,              0.3787,            0.048983,            0.019809,                   0,           0.0054955,           0.0054955,           0.0054955
                  93,            0.056927,            0.021092,                   0,             0.79827,             0.79347,             0.80753,             0.37798,            0.049918,            0.019808,                   0,            0.005446,            0.005446,            0.005446
                  94,            0.056582,            0.020877,                   0,              0.8072,             0.75724,             0.79472,             0.36385,            0.049312,            0.019868,                   0,           0.0053965,           0.0053965,           0.0053965
                  95,            0.057895,            0.020947,                   0,             0.83791,             0.75146,             0.80703,             0.38871,            0.048165,             0.01982,                   0,            0.005347,            0.005347,            0.005347
                  96,            0.057028,            0.020897,                   0,             0.81924,             0.76153,             0.78913,             0.37856,            0.048268,            0.019685,                   0,           0.0052975,           0.0052975,           0.0052975
                  97,            0.057363,             0.02101,                   0,             0.83342,              0.7818,              0.8169,             0.38978,            0.049299,            0.019905,                   0,            0.005248,            0.005248,            0.005248
                  98,            0.056708,            0.021212,                   0,             0.82726,             0.78063,             0.80474,             0.38441,            0.048937,             0.01973,                   0,           0.0051985,           0.0051985,           0.0051985
                  99,            0.059102,            0.020563,                   0,             0.82018,             0.78646,             0.80826,             0.39004,            0.048812,            0.019897,                   0,            0.005149,            0.005149,            0.005149
                 100,            0.057942,            0.021022,                   0,             0.84232,             0.77295,             0.81494,              0.4002,            0.049183,             0.01988,                   0,           0.0050995,           0.0050995,           0.0050995
                 101,            0.059011,            0.020862,                   0,             0.82421,             0.77143,             0.81193,             0.38238,            0.049881,            0.019559,                   0,             0.00505,             0.00505,             0.00505
                 102,            0.056577,            0.021096,                   0,             0.83545,             0.78996,             0.81832,             0.40425,            0.048508,            0.019745,                   0,           0.0050005,           0.0050005,           0.0050005
                 103,            0.058452,              0.0212,                   0,             0.85488,             0.77596,             0.82262,             0.39683,            0.048796,            0.019624,                   0,            0.004951,            0.004951,            0.004951
                 104,            0.059392,            0.021134,                   0,             0.83423,              0.7923,             0.82349,             0.40261,            0.048984,             0.01966,                   0,           0.0049015,           0.0049015,           0.0049015
                 105,             0.05826,            0.021109,                   0,             0.83132,             0.78788,             0.82307,             0.40388,            0.048864,            0.019755,                   0,            0.004852,            0.004852,            0.004852
                 106,             0.05983,            0.021093,                   0,             0.84404,             0.78996,             0.82395,             0.41523,            0.048862,            0.019702,                   0,           0.0048025,           0.0048025,           0.0048025
                 107,            0.057624,            0.021197,                   0,             0.86018,             0.78249,             0.83448,             0.40625,            0.048794,            0.019676,                   0,            0.004753,            0.004753,            0.004753
                 108,            0.061849,             0.02126,                   0,             0.83426,             0.79347,             0.83008,             0.41338,            0.048269,            0.019815,                   0,           0.0047035,           0.0047035,           0.0047035
                 109,               0.057,            0.021592,                   0,             0.85414,             0.78413,             0.83079,             0.40921,            0.048187,            0.019755,                   0,            0.004654,            0.004654,            0.004654
                 110,            0.054937,            0.021484,                   0,             0.85762,             0.81533,             0.84048,             0.42332,            0.047065,            0.019827,                   0,           0.0046045,           0.0046045,           0.0046045
                 111,            0.058526,            0.021307,                   0,             0.85437,              0.8028,              0.8326,             0.42522,            0.046906,            0.019805,                   0,            0.004555,            0.004555,            0.004555
                 112,            0.060629,            0.021124,                   0,             0.86379,              0.7993,             0.84113,              0.4259,            0.048736,            0.019687,                   0,           0.0045055,           0.0045055,           0.0045055
                 113,            0.060124,            0.021324,                   0,             0.84623,             0.81214,             0.84301,              0.4279,            0.048715,            0.019831,                   0,            0.004456,            0.004456,            0.004456
                 114,            0.059459,            0.021411,                   0,             0.87003,             0.81237,             0.84502,             0.42964,            0.046948,            0.019746,                   0,           0.0044065,           0.0044065,           0.0044065
                 115,            0.061273,            0.021512,                   0,             0.85956,             0.80513,             0.83231,             0.42837,            0.046626,            0.019787,                   0,            0.004357,            0.004357,            0.004357
                 116,            0.062771,             0.02143,                   0,             0.85706,             0.79757,              0.8357,              0.4315,            0.047604,            0.019919,                   0,           0.0043075,           0.0043075,           0.0043075
                 117,            0.062613,            0.021646,                   0,             0.86057,             0.80397,              0.8437,             0.42305,            0.048532,            0.019748,                   0,            0.004258,            0.004258,            0.004258
                 118,            0.060292,            0.021586,                   0,             0.83717,             0.81592,             0.84212,             0.43489,            0.048492,            0.019876,                   0,           0.0042085,           0.0042085,           0.0042085
                 119,            0.063049,            0.021384,                   0,             0.85344,              0.8028,             0.84207,             0.43309,            0.048338,            0.019881,                   0,            0.004159,            0.004159,            0.004159
                 120,            0.062618,            0.021597,                   0,              0.8492,             0.81483,             0.83817,              0.4344,            0.047614,             0.01979,                   0,           0.0041095,           0.0041095,           0.0041095
                 121,            0.060716,            0.021194,                   0,             0.86127,             0.81447,             0.84802,             0.43781,            0.047618,             0.01987,                   0,             0.00406,             0.00406,             0.00406
                 122,            0.064197,            0.021475,                   0,               0.862,             0.80863,             0.83689,              0.4433,            0.047374,            0.019876,                   0,           0.0040105,           0.0040105,           0.0040105
                 123,            0.064415,            0.021379,                   0,             0.86653,             0.81815,             0.84299,             0.43948,            0.047563,            0.019848,                   0,            0.003961,            0.003961,            0.003961
                 124,            0.062858,            0.021297,                   0,             0.86137,              0.8203,             0.85207,              0.4449,            0.047581,            0.019704,                   0,           0.0039115,           0.0039115,           0.0039115
                 125,            0.063316,            0.021693,                   0,             0.85781,             0.80956,             0.84631,             0.44808,            0.047149,            0.019697,                   0,            0.003862,            0.003862,            0.003862
                 126,            0.062241,            0.021767,                   0,             0.87741,             0.80863,             0.85455,             0.45007,            0.047499,             0.01976,                   0,           0.0038125,           0.0038125,           0.0038125
                 127,            0.062991,            0.021444,                   0,             0.87808,             0.81797,             0.85403,              0.4436,             0.04774,            0.019772,                   0,            0.003763,            0.003763,            0.003763
