               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.037449,             0.02002,                   0,                   0,                   0,                   0,                   0,            0.034525,            0.002652,                   0,            0.070158,           0.0033158,           0.0033158
                   1,            0.031822,           0.0036466,                   0,                   0,                   0,                   0,                   0,             0.02818,          0.00071636,                   0,            0.040125,           0.0066162,           0.0066162
                   2,            0.028635,           0.0020345,                   0,                   0,                   0,                   0,                   0,            0.025313,           0.0003814,                   0,            0.010059,           0.0098836,           0.0098836
                   3,            0.026579,           0.0015726,                   0,                   0,                   0,                   0,                   0,            0.021647,          0.00017196,                   0,           0.0098515,           0.0098515,           0.0098515
                   4,            0.025974,           0.0016292,                   0,                   0,                   0,                   0,                   0,            0.025725,          0.00079311,                   0,           0.0098515,           0.0098515,           0.0098515
                   5,            0.024782,           0.0016035,                   0,                   0,                   0,                   0,                   0,            0.023718,          0.00044629,                   0,            0.009802,            0.009802,            0.009802
                   6,            0.024036,           0.0016718,                   0,               0.004,             0.01867,            0.002115,          0.00051325,            0.027586,           0.0020723,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,            0.023697,           0.0018152,                   0,           0.0063052,           0.0058343,           0.0031775,          0.00069712,             0.02148,          0.00035546,                   0,            0.009703,            0.009703,            0.009703
                   8,            0.023217,           0.0017823,                   0,           0.0046996,            0.049008,           0.0040328,          0.00090907,            0.024298,          0.00087696,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,            0.023529,           0.0020699,                   0,           0.0084025,            0.093349,           0.0074365,           0.0015303,            0.026331,           0.0015397,                   0,            0.009604,            0.009604,            0.009604
                  10,             0.02423,           0.0024091,                   0,           0.0078141,            0.088681,           0.0095708,           0.0024325,            0.023487,           0.0010539,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,            0.024569,           0.0028855,                   0,             0.07638,             0.13186,            0.032501,           0.0078007,            0.031562,           0.0043826,                   0,            0.009505,            0.009505,            0.009505
                  12,            0.024985,           0.0032122,                   0,            0.016653,            0.093349,            0.018806,           0.0050555,            0.022396,           0.0013303,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,            0.025405,           0.0036251,                   0,             0.16398,             0.13769,            0.066421,            0.013934,            0.033869,           0.0057756,                   0,            0.009406,            0.009406,            0.009406
                  14,            0.026501,           0.0041297,                   0,             0.18949,             0.11319,            0.064196,            0.015651,            0.030163,           0.0046433,                   0,           0.0093565,           0.0093565,           0.0093565
                  15,            0.026826,           0.0044236,                   0,             0.16112,             0.11319,            0.056959,            0.013952,             0.02977,           0.0049205,                   0,            0.009307,            0.009307,            0.009307
                  16,            0.027268,           0.0046897,                   0,              0.2371,             0.14324,             0.10267,            0.024553,            0.033092,           0.0062841,                   0,           0.0092575,           0.0092575,           0.0092575
                  17,            0.028044,           0.0049084,                   0,             0.17074,              0.2147,            0.082509,            0.019955,             0.03191,           0.0055122,                   0,            0.009208,            0.009208,            0.009208
                  18,            0.027134,           0.0047982,                   0,             0.25884,             0.19603,             0.12136,            0.027626,            0.034524,           0.0069799,                   0,           0.0091585,           0.0091585,           0.0091585
                  19,            0.027724,           0.0051083,                   0,            0.070623,              0.3874,             0.11146,            0.028776,            0.034139,            0.007034,                   0,            0.009109,            0.009109,            0.009109
                  20,            0.028806,           0.0055143,                   0,             0.26472,             0.25438,             0.15097,            0.035628,            0.034405,           0.0078923,                   0,           0.0090595,           0.0090595,           0.0090595
                  21,            0.028387,           0.0055449,                   0,             0.30256,              0.2147,             0.15232,            0.039804,            0.033611,           0.0072702,                   0,             0.00901,             0.00901,             0.00901
                  22,            0.028986,           0.0059235,                   0,             0.36511,             0.24962,             0.20166,            0.050234,            0.034885,           0.0078106,                   0,           0.0089605,           0.0089605,           0.0089605
                  23,            0.030358,           0.0063403,                   0,             0.36291,             0.26954,              0.2188,            0.054403,            0.035323,           0.0083084,                   0,            0.008911,            0.008911,            0.008911
                  24,            0.029845,           0.0063318,                   0,             0.34212,             0.23337,             0.19453,            0.050464,            0.034704,           0.0080738,                   0,           0.0088615,           0.0088615,           0.0088615
                  25,            0.029361,           0.0065464,                   0,             0.36436,             0.27771,             0.23204,            0.058392,            0.035474,           0.0084384,                   0,            0.008812,            0.008812,            0.008812
                  26,            0.028096,           0.0062981,                   0,             0.40768,             0.28121,             0.24792,            0.067238,            0.034962,           0.0083217,                   0,           0.0087625,           0.0087625,           0.0087625
                  27,            0.029446,           0.0064836,                   0,             0.39421,             0.31505,             0.27337,            0.068299,            0.035486,           0.0089506,                   0,            0.008713,            0.008713,            0.008713
                  28,            0.032609,           0.0073365,                   0,             0.40995,             0.34539,              0.2808,            0.074213,            0.035768,           0.0089642,                   0,           0.0086635,           0.0086635,           0.0086635
                  29,            0.030597,           0.0070661,                   0,             0.41568,             0.31039,             0.26459,            0.073864,            0.034917,           0.0086391,                   0,            0.008614,            0.008614,            0.008614
                  30,            0.030256,            0.006951,                   0,             0.45027,             0.36523,             0.31885,            0.085809,            0.035684,           0.0092653,                   0,           0.0085645,           0.0085645,           0.0085645
                  31,            0.031736,           0.0073211,                   0,             0.48935,             0.32322,             0.32377,            0.087646,            0.035613,           0.0092316,                   0,            0.008515,            0.008515,            0.008515
                  32,            0.029898,           0.0072742,                   0,             0.45689,             0.34656,             0.31976,            0.087539,            0.035818,            0.009276,                   0,           0.0084655,           0.0084655,           0.0084655
                  33,            0.030219,           0.0072872,                   0,             0.47297,             0.37806,             0.36611,             0.10317,            0.035555,           0.0098457,                   0,            0.008416,            0.008416,            0.008416
                  34,            0.032916,           0.0081494,                   0,             0.47969,             0.39207,             0.35902,            0.098987,            0.035853,           0.0093253,                   0,           0.0083665,           0.0083665,           0.0083665
                  35,            0.030441,           0.0075883,                   0,             0.50784,              0.3874,             0.37959,             0.10727,            0.035479,            0.009497,                   0,            0.008317,            0.008317,            0.008317
                  36,            0.032736,           0.0084385,                   0,             0.49757,             0.40373,             0.37808,             0.11121,              0.0358,           0.0099783,                   0,           0.0082675,           0.0082675,           0.0082675
                  37,            0.034441,           0.0086046,                   0,             0.48858,             0.38623,             0.36119,             0.10097,            0.035584,           0.0097348,                   0,            0.008218,            0.008218,            0.008218
                  38,            0.033495,           0.0084232,                   0,             0.53602,             0.44457,             0.41284,             0.11959,            0.035855,            0.010319,                   0,           0.0081685,           0.0081685,           0.0081685
                  39,            0.034129,           0.0083805,                   0,             0.48763,             0.41074,             0.38901,             0.10694,            0.035718,           0.0099408,                   0,            0.008119,            0.008119,            0.008119
                  40,            0.031222,           0.0081808,                   0,             0.53392,             0.42374,             0.42567,             0.12312,            0.036029,            0.010447,                   0,           0.0080695,           0.0080695,           0.0080695
                  41,            0.032156,           0.0084226,                   0,             0.55512,             0.45391,             0.45344,             0.13188,            0.035899,            0.010513,                   0,             0.00802,             0.00802,             0.00802
                  42,            0.034417,           0.0089951,                   0,             0.53888,             0.45508,             0.42676,             0.12526,            0.035897,            0.010526,                   0,           0.0079705,           0.0079705,           0.0079705
                  43,             0.03338,             0.00858,                   0,             0.59572,             0.47112,             0.47181,             0.13565,             0.03584,            0.010544,                   0,            0.007921,            0.007921,            0.007921
                  44,            0.033416,           0.0087678,                   0,             0.58249,             0.47374,             0.45245,             0.12672,            0.035728,            0.010341,                   0,           0.0078715,           0.0078715,           0.0078715
                  45,            0.033581,           0.0089169,                   0,             0.50859,             0.44341,               0.434,             0.12029,            0.035983,            0.010412,                   0,            0.007822,            0.007822,            0.007822
                  46,            0.036267,           0.0096695,                   0,             0.56776,             0.49354,             0.46211,             0.13632,            0.035763,            0.010652,                   0,           0.0077725,           0.0077725,           0.0077725
                  47,            0.034548,           0.0094537,                   0,             0.57266,             0.48075,             0.45022,             0.13103,            0.035708,            0.011174,                   0,            0.007723,            0.007723,            0.007723
                  48,            0.033603,           0.0092413,                   0,             0.56844,             0.47491,             0.44243,             0.13089,             0.03546,            0.010888,                   0,           0.0076735,           0.0076735,           0.0076735
                  49,            0.035933,            0.009662,                   0,             0.58427,             0.46908,             0.45441,             0.13228,            0.035621,            0.010678,                   0,            0.007624,            0.007624,            0.007624
                  50,            0.034081,           0.0092386,                   0,             0.60692,             0.50807,             0.52414,             0.16094,            0.035741,            0.010867,                   0,           0.0075745,           0.0075745,           0.0075745
                  51,            0.034866,            0.009542,                   0,             0.61143,             0.48657,             0.49818,              0.1567,            0.035747,            0.011286,                   0,            0.007525,            0.007525,            0.007525
                  52,            0.034008,           0.0095421,                   0,             0.62654,             0.51692,             0.52615,             0.16394,            0.035524,            0.011038,                   0,           0.0074755,           0.0074755,           0.0074755
                  53,             0.03393,           0.0095455,                   0,             0.61012,             0.52509,             0.52267,             0.16533,            0.035731,            0.011257,                   0,            0.007426,            0.007426,            0.007426
                  54,            0.035089,           0.0097373,                   0,             0.57854,             0.50058,             0.49664,             0.15234,            0.035759,            0.011101,                   0,           0.0073765,           0.0073765,           0.0073765
                  55,            0.036318,            0.010039,                   0,              0.5918,             0.52104,             0.51959,              0.1587,             0.03554,            0.011218,                   0,            0.007327,            0.007327,            0.007327
                  56,            0.035273,            0.010199,                   0,             0.60352,             0.52042,             0.49312,             0.15992,            0.035432,            0.011236,                   0,           0.0072775,           0.0072775,           0.0072775
                  57,            0.034936,            0.010153,                   0,             0.58667,             0.50846,             0.51685,             0.17032,             0.03544,            0.010645,                   0,            0.007228,            0.007228,            0.007228
                  58,            0.035375,            0.010094,                   0,             0.61474,             0.52742,             0.53157,             0.16591,            0.035726,            0.010876,                   0,           0.0071785,           0.0071785,           0.0071785
                  59,            0.036214,            0.010308,                   0,             0.64162,             0.57241,             0.56147,              0.1782,            0.035481,            0.011469,                   0,            0.007129,            0.007129,            0.007129
                  60,            0.035736,            0.010153,                   0,             0.61063,             0.56709,             0.54941,             0.17876,            0.035317,            0.011413,                   0,           0.0070795,           0.0070795,           0.0070795
                  61,            0.035814,            0.010404,                   0,             0.63718,             0.55893,             0.55266,             0.18758,            0.035308,            0.011512,                   0,             0.00703,             0.00703,             0.00703
                  62,            0.035419,            0.010524,                   0,             0.66101,             0.56428,             0.58622,             0.18423,              0.0357,            0.011421,                   0,           0.0069805,           0.0069805,           0.0069805
                  63,            0.034865,            0.010392,                   0,             0.62964,             0.55543,             0.55105,             0.18669,            0.035195,            0.011338,                   0,            0.006931,            0.006931,            0.006931
                  64,             0.03471,            0.010282,                   0,             0.63163,             0.55076,             0.56134,             0.18594,            0.035346,             0.01136,                   0,           0.0068815,           0.0068815,           0.0068815
