               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.03495,            0.015742,                   0,          8.7719e-06,           0.0011669,          4.4801e-06,          4.4801e-07,              0.0339,           0.0036152,                   0,            0.070158,           0.0033158,           0.0033158
                   1,            0.035357,           0.0052247,                   0,                   0,                   0,                   0,                   0,            0.027611,           0.0017816,                   0,            0.040125,           0.0066162,           0.0066162
                   2,            0.035737,           0.0044825,                   0,                   0,                   0,                   0,                   0,            0.023528,           0.0016921,                   0,            0.010059,           0.0098836,           0.0098836
                   3,            0.035334,           0.0046972,                   0,                   0,                   0,                   0,                   0,            0.028602,           0.0028492,                   0,           0.0098515,           0.0098515,           0.0098515
                   4,            0.036297,           0.0048266,                   0,                   0,                   0,                   0,                   0,            0.033709,           0.0041537,                   0,           0.0098515,           0.0098515,           0.0098515
                   5,            0.035716,            0.004667,                   0,                   0,                   0,                   0,                   0,            0.034039,           0.0042849,                   0,            0.009802,            0.009802,            0.009802
                   6,            0.035962,           0.0046924,                   0,            0.007513,            0.079347,           0.0047412,           0.0011616,            0.035784,           0.0042834,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,             0.03939,           0.0053178,                   0,           0.0073803,             0.27305,           0.0098261,           0.0022027,            0.042169,            0.006435,                   0,            0.009703,            0.009703,            0.009703
                   8,            0.045623,           0.0070861,                   0,             0.05229,             0.24621,            0.034582,           0.0073872,            0.049434,           0.0091052,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,            0.052045,           0.0090427,                   0,             0.19016,             0.13419,            0.069301,            0.015272,            0.054578,            0.010414,                   0,            0.009604,            0.009604,            0.009604
                  10,            0.053168,            0.010651,                   0,             0.23081,             0.17503,            0.094442,            0.021332,            0.054658,            0.011321,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,            0.053288,             0.01144,                   0,             0.26632,             0.21004,             0.13586,             0.03066,            0.054922,            0.012256,                   0,            0.009505,            0.009505,            0.009505
                  12,            0.054744,            0.012348,                   0,             0.23946,             0.26488,             0.13431,            0.029345,            0.056312,            0.012707,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,            0.055447,            0.013181,                   0,             0.30343,             0.32322,             0.18192,            0.043455,            0.056871,            0.013804,                   0,            0.009406,            0.009406,            0.009406
                  14,            0.056337,            0.014164,                   0,             0.34024,             0.30688,             0.22383,            0.051677,            0.056619,            0.013846,                   0,           0.0093565,           0.0093565,           0.0093565
                  15,            0.056662,            0.014489,                   0,             0.37359,             0.36173,             0.24285,            0.058293,            0.057385,            0.014947,                   0,            0.009307,            0.009307,            0.009307
                  16,            0.056942,            0.014908,                   0,             0.42653,             0.36797,             0.27931,            0.067313,            0.057251,            0.015105,                   0,           0.0092575,           0.0092575,           0.0092575
                  17,            0.057059,            0.015516,                   0,             0.46591,             0.36849,             0.32205,            0.082372,            0.056751,            0.015425,                   0,            0.009208,            0.009208,            0.009208
                  18,            0.057493,            0.015753,                   0,             0.47301,             0.40957,             0.35067,            0.091511,            0.057348,            0.015902,                   0,           0.0091585,           0.0091585,           0.0091585
                  19,            0.057455,            0.015821,                   0,               0.486,             0.40023,             0.35806,            0.094948,            0.056871,            0.015766,                   0,            0.009109,            0.009109,            0.009109
                  20,            0.057591,            0.016423,                   0,             0.52108,              0.4469,             0.39238,              0.1046,            0.057164,            0.016452,                   0,           0.0090595,           0.0090595,           0.0090595
                  21,            0.058752,            0.016445,                   0,             0.56157,             0.46184,             0.42924,             0.11499,            0.057437,            0.016664,                   0,             0.00901,             0.00901,             0.00901
                  22,            0.058047,             0.01695,                   0,             0.57352,             0.49125,             0.43257,             0.11988,            0.057115,            0.016813,                   0,           0.0089605,           0.0089605,           0.0089605
                  23,            0.057888,            0.016759,                   0,             0.59126,             0.47767,             0.45209,             0.12998,            0.057175,            0.017163,                   0,            0.008911,            0.008911,            0.008911
                  24,            0.057972,            0.017157,                   0,             0.56806,             0.47141,             0.47661,             0.13165,            0.057224,             0.01698,                   0,           0.0088615,           0.0088615,           0.0088615
                  25,            0.058469,            0.017967,                   0,             0.59758,             0.51809,             0.49412,             0.13308,            0.057065,            0.017353,                   0,            0.008812,            0.008812,            0.008812
                  26,             0.05793,            0.017838,                   0,             0.57312,             0.52042,             0.48739,             0.13924,            0.057045,            0.017559,                   0,           0.0087625,           0.0087625,           0.0087625
                  27,            0.058051,            0.017712,                   0,             0.61449,             0.52859,             0.51422,             0.14207,            0.057073,             0.01748,                   0,            0.008713,            0.008713,            0.008713
                  28,            0.058544,            0.017874,                   0,             0.60533,             0.55076,             0.51444,             0.15181,            0.056929,            0.017489,                   0,           0.0086635,           0.0086635,           0.0086635
                  29,            0.058533,            0.018033,                   0,             0.62676,             0.56826,             0.55254,             0.15776,            0.057052,            0.017416,                   0,            0.008614,            0.008614,            0.008614
                  30,            0.058065,            0.018229,                   0,             0.59734,             0.55565,             0.52759,             0.15211,            0.056646,            0.017831,                   0,           0.0085645,           0.0085645,           0.0085645
                  31,            0.058314,            0.018596,                   0,             0.59539,             0.53745,             0.49717,             0.14139,            0.056706,            0.017611,                   0,            0.008515,            0.008515,            0.008515
                  32,            0.058047,            0.018423,                   0,             0.63467,             0.53792,             0.53039,             0.15651,            0.056542,            0.018078,                   0,           0.0084655,           0.0084655,           0.0084655
                  33,            0.058321,            0.018349,                   0,             0.63351,              0.5741,             0.57027,             0.17356,            0.056751,             0.01792,                   0,            0.008416,            0.008416,            0.008416
                  34,            0.057839,            0.018504,                   0,             0.65145,             0.56476,             0.55754,             0.16167,            0.056836,             0.01785,                   0,           0.0083665,           0.0083665,           0.0083665
                  35,            0.057896,            0.018708,                   0,             0.62758,             0.58343,              0.5633,              0.1678,            0.056225,             0.01812,                   0,            0.008317,            0.008317,            0.008317
                  36,            0.057964,            0.018853,                   0,             0.64584,             0.60793,             0.57373,             0.18213,            0.056113,            0.018149,                   0,           0.0082675,           0.0082675,           0.0082675
                  37,            0.058081,            0.018798,                   0,             0.66166,             0.62194,             0.60639,             0.19133,            0.056093,             0.01849,                   0,            0.008218,            0.008218,            0.008218
                  38,            0.057723,            0.018641,                   0,             0.67672,              0.6091,             0.58767,             0.18275,             0.05598,            0.018301,                   0,           0.0081685,           0.0081685,           0.0081685
