               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1263,            0.016313,                   0,                   0,                   0,                   0,                   0,             0.10739,           0.0039276,                   0,            0.070158,           0.0033158,           0.0033158
                   1,             0.12463,           0.0051664,                   0,                   0,                   0,                   0,                   0,             0.10761,           0.0025894,                   0,            0.040125,           0.0066162,           0.0066162
                   2,             0.12685,           0.0042788,                   0,                   0,                   0,                   0,                   0,             0.10738,           0.0033168,                   0,            0.010059,           0.0098836,           0.0098836
                   3,             0.12407,           0.0044318,                   0,                   0,                   0,                   0,                   0,             0.10738,           0.0035448,                   0,           0.0098515,           0.0098515,           0.0098515
                   4,             0.12685,           0.0045715,                   0,                   0,                   0,                   0,                   0,             0.10702,           0.0040332,                   0,           0.0098515,           0.0098515,           0.0098515
                   5,             0.12683,           0.0043812,                   0,           0.0082967,            0.039673,           0.0045865,           0.0010925,             0.10695,           0.0039067,                   0,            0.009802,            0.009802,            0.009802
                   6,             0.12467,           0.0046878,                   0,           0.0072035,            0.052509,           0.0041431,          0.00088709,             0.10639,            0.005086,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,             0.12226,           0.0067953,                   0,           0.0048647,             0.18203,           0.0034741,          0.00082888,             0.10566,           0.0068219,                   0,            0.009703,            0.009703,            0.009703
                   8,             0.12061,           0.0091144,                   0,             0.16507,             0.13419,            0.070743,            0.015881,            0.099583,            0.011062,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,             0.11829,            0.010706,                   0,             0.18187,             0.13826,            0.077282,            0.017912,            0.098215,             0.01213,                   0,            0.009604,            0.009604,            0.009604
                  10,             0.11885,            0.012051,                   0,             0.31195,             0.23337,             0.13568,            0.029583,            0.096099,            0.012637,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,             0.11342,            0.012898,                   0,             0.32516,             0.27071,             0.20259,            0.047031,             0.09377,            0.014212,                   0,            0.009505,            0.009505,            0.009505
                  12,             0.11296,             0.01393,                   0,             0.35264,             0.30922,             0.20809,            0.046536,            0.092115,            0.014803,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,             0.11175,            0.014539,                   0,             0.38875,             0.35589,             0.26573,            0.068132,            0.090958,            0.015522,                   0,            0.009406,            0.009406,            0.009406
                  14,             0.11046,            0.015543,                   0,             0.43574,              0.3839,             0.29459,            0.071629,            0.089626,            0.015742,                   0,           0.0093565,           0.0093565,           0.0093565
