               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12574,            0.016256,                   0,          2.6316e-05,           0.0035006,          1.3209e-05,          2.6411e-06,             0.10731,             0.00411,                   0,            0.070158,           0.0033158,           0.0033158
                   1,             0.12466,           0.0054445,                   0,                   0,                   0,                   0,                   0,             0.10794,           0.0029221,                   0,            0.040125,           0.0066162,           0.0066162
                   2,             0.12751,             0.00494,                   0,                   0,                   0,                   0,                   0,             0.11025,          0.00046096,                   0,            0.010059,           0.0098836,           0.0098836
                   3,             0.12498,           0.0049711,                   0,                   0,                   0,                   0,                   0,             0.11027,           0.0025464,                   0,           0.0098515,           0.0098515,           0.0098515
                   4,             0.12812,           0.0053466,                   0,                   0,                   0,                   0,                   0,             0.10735,           0.0048208,                   0,           0.0098515,           0.0098515,           0.0098515
                   5,             0.12758,           0.0056025,                   0,            0.011407,           0.0035006,           0.0057443,           0.0022944,             0.10618,           0.0067316,                   0,            0.009802,            0.009802,            0.009802
                   6,             0.12426,           0.0073186,                   0,           0.0025448,             0.33372,           0.0053752,           0.0010874,             0.10535,            0.007007,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,             0.12112,           0.0093841,                   0,            0.028077,             0.14819,            0.012732,           0.0026821,             0.10338,           0.0090148,                   0,            0.009703,            0.009703,            0.009703
                   8,             0.11961,            0.010957,                   0,             0.18279,             0.10385,            0.065669,            0.014417,             0.10004,            0.010918,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,             0.11794,            0.011828,                   0,             0.21997,             0.22987,             0.11906,            0.025199,             0.09705,             0.01256,                   0,            0.009604,            0.009604,            0.009604
                  10,             0.11798,            0.013161,                   0,             0.24527,             0.25788,             0.14314,            0.034673,            0.095556,            0.013077,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,             0.11249,            0.013778,                   0,             0.31764,             0.27188,             0.17079,            0.041737,            0.093651,            0.014436,                   0,            0.009505,            0.009505,            0.009505
