               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12685,            0.034219,                   0,          8.7719e-06,           0.0011669,          4.4611e-06,          8.9222e-07,             0.10293,            0.017274,                   0,            0.070158,           0.0033158,           0.0033158
                   1,             0.12004,            0.021233,                   0,          0.00057663,            0.058343,          0.00056514,          0.00012434,             0.10038,            0.020495,                   0,            0.040125,           0.0066162,           0.0066162
                   2,             0.11289,            0.026194,                   0,            0.078437,            0.077013,            0.020695,           0.0045092,            0.083718,            0.033087,                   0,            0.010059,           0.0098836,           0.0098836
                   3,            0.094028,             0.03298,                   0,             0.19909,             0.26838,             0.10362,            0.022144,            0.066502,            0.031657,                   0,           0.0098515,           0.0098515,           0.0098515
                   4,            0.087437,            0.034728,                   0,             0.36439,             0.26954,             0.20166,            0.040631,            0.063149,            0.031365,                   0,           0.0098515,           0.0098515,           0.0098515
                   5,            0.082865,            0.035037,                   0,             0.35313,             0.36639,             0.25283,             0.05593,            0.059967,             0.03158,                   0,            0.009802,            0.009802,            0.009802
                   6,            0.078333,            0.034761,                   0,             0.34907,             0.32555,             0.24917,             0.05919,            0.058593,            0.030989,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,            0.072468,            0.035131,                   0,             0.34508,             0.32905,             0.20065,            0.044591,            0.058969,            0.030725,                   0,            0.009703,            0.009703,            0.009703
                   8,            0.072005,             0.03497,                   0,             0.45326,             0.42124,             0.33327,            0.077918,            0.054533,            0.030583,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,            0.069119,             0.03523,                   0,             0.53467,             0.45624,             0.40798,            0.098673,            0.053736,            0.029937,                   0,            0.009604,            0.009604,            0.009604
                  10,            0.068964,            0.035078,                   0,             0.51636,             0.45391,             0.40211,             0.10008,            0.052603,            0.030249,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,            0.065138,            0.034637,                   0,             0.50249,             0.49475,             0.43038,             0.12031,            0.051168,             0.03067,                   0,            0.009505,            0.009505,            0.009505
                  12,            0.065048,             0.03491,                   0,             0.52103,             0.45508,             0.37798,            0.097345,            0.052394,            0.030086,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,            0.064322,            0.034165,                   0,             0.56127,             0.52509,             0.44265,             0.10849,            0.052361,             0.02981,                   0,            0.009406,            0.009406,            0.009406
                  14,            0.062382,            0.035111,                   0,             0.48915,             0.48891,             0.39547,             0.10258,             0.05391,            0.031401,                   0,           0.0093565,           0.0093565,           0.0093565
                  15,            0.064541,            0.034871,                   0,             0.57506,             0.53909,             0.46701,             0.11838,            0.049307,            0.029919,                   0,            0.009307,            0.009307,            0.009307
                  16,            0.063281,            0.034633,                   0,             0.57428,              0.4974,             0.43369,             0.11418,            0.051312,            0.030069,                   0,           0.0092575,           0.0092575,           0.0092575
                  17,             0.06127,            0.034948,                   0,             0.54894,             0.45868,             0.40152,             0.10557,            0.052495,            0.030187,                   0,            0.009208,            0.009208,            0.009208
                  18,            0.061265,            0.034286,                   0,             0.59803,             0.54842,             0.48195,             0.12702,            0.049664,             0.02938,                   0,           0.0091585,           0.0091585,           0.0091585
                  19,            0.059702,            0.033974,                   0,             0.56036,             0.53988,             0.48331,             0.13315,            0.049291,            0.029241,                   0,            0.009109,            0.009109,            0.009109
                  20,            0.060138,            0.034329,                   0,             0.59272,              0.5553,             0.51351,             0.14636,            0.048308,            0.029054,                   0,           0.0090595,           0.0090595,           0.0090595
                  21,            0.061086,            0.034019,                   0,             0.61433,             0.59663,             0.53889,             0.14642,            0.047776,            0.028984,                   0,             0.00901,             0.00901,             0.00901
                  22,            0.059676,            0.034495,                   0,             0.57514,             0.52975,             0.47696,             0.12816,            0.050384,            0.028981,                   0,           0.0089605,           0.0089605,           0.0089605
                  23,             0.05861,            0.033487,                   0,             0.63781,              0.6126,             0.56771,             0.15456,            0.046686,            0.028488,                   0,            0.008911,            0.008911,            0.008911
