               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12189,            0.035721,                   0,                   0,                   0,                   0,                   0,              0.1004,            0.021693,                   0,            0.070158,           0.0033158,           0.0033158
                   1,             0.11883,            0.024381,                   0,           8.507e-05,           0.0093349,          4.3795e-05,          8.7832e-06,             0.10365,            0.015941,                   0,            0.040125,           0.0066162,           0.0066162
                   2,             0.11982,            0.023302,                   0,          9.1516e-05,           0.0093349,          4.6188e-05,          1.2678e-05,             0.11097,             0.22941,                   0,            0.010059,           0.0098836,           0.0098836
                   3,             0.10174,            0.030592,                   0,             0.11424,             0.13886,            0.041482,           0.0094952,            0.077448,            0.033119,                   0,           0.0098515,           0.0098515,           0.0098515
                   4,            0.092378,            0.033386,                   0,             0.24885,             0.24621,             0.13342,            0.029942,            0.065403,            0.032581,                   0,           0.0098515,           0.0098515,           0.0098515
                   5,            0.085999,            0.034003,                   0,             0.28883,             0.29055,             0.16602,            0.039861,            0.064127,            0.031123,                   0,            0.009802,            0.009802,            0.009802
                   6,            0.080164,            0.034259,                   0,             0.28861,             0.30455,             0.17147,            0.039107,            0.062549,            0.032779,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,            0.075401,            0.034897,                   0,             0.33641,             0.28355,             0.18497,            0.038797,            0.060548,            0.030116,                   0,            0.009703,            0.009703,            0.009703
                   8,            0.072841,            0.034922,                   0,             0.38339,             0.33139,             0.21763,            0.049116,            0.056212,            0.031278,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,            0.070391,            0.035128,                   0,             0.43345,              0.4189,             0.31542,            0.077794,            0.055264,            0.030936,                   0,            0.009604,            0.009604,            0.009604
                  10,            0.069752,            0.035149,                   0,             0.42581,             0.38273,             0.27733,            0.064821,            0.055697,            0.030512,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,            0.065522,            0.034455,                   0,             0.51084,             0.48775,             0.39475,             0.10174,            0.051133,            0.030347,                   0,            0.009505,            0.009505,            0.009505
                  12,            0.066049,             0.03494,                   0,             0.48491,             0.47025,             0.37948,             0.10226,            0.055013,            0.030357,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,            0.064126,            0.034349,                   0,             0.52093,             0.51225,             0.40678,            0.097253,            0.052369,            0.030457,                   0,            0.009406,            0.009406,            0.009406
                  14,            0.064335,            0.035041,                   0,             0.53353,             0.46845,             0.38901,             0.10253,             0.05287,            0.030331,                   0,           0.0093565,           0.0093565,           0.0093565
                  15,            0.063004,            0.035118,                   0,             0.55424,             0.51575,             0.41046,             0.10257,            0.050065,            0.029516,                   0,            0.009307,            0.009307,            0.009307
                  16,            0.063493,            0.034587,                   0,             0.56508,             0.53366,             0.47046,             0.12205,            0.049708,            0.029764,                   0,           0.0092575,           0.0092575,           0.0092575
                  17,            0.059859,            0.034695,                   0,             0.54318,             0.52625,             0.45194,              0.1154,            0.050129,            0.029383,                   0,            0.009208,            0.009208,            0.009208
                  18,            0.061446,            0.034179,                   0,             0.57285,             0.58226,             0.48687,             0.13318,            0.048316,            0.029545,                   0,           0.0091585,           0.0091585,           0.0091585
                  19,            0.059295,            0.034052,                   0,             0.56288,             0.53792,             0.46346,             0.13055,            0.048797,            0.029397,                   0,            0.009109,            0.009109,            0.009109
                  20,            0.058712,            0.034268,                   0,             0.60671,             0.56943,             0.50917,             0.13395,            0.049094,            0.028751,                   0,           0.0090595,           0.0090595,           0.0090595
                  21,            0.062005,            0.034021,                   0,             0.59283,              0.5741,             0.49779,              0.1327,            0.049162,            0.028675,                   0,             0.00901,             0.00901,             0.00901
                  22,            0.058798,             0.03426,                   0,             0.53103,             0.54842,              0.4417,             0.11809,            0.050156,            0.029152,                   0,           0.0089605,           0.0089605,           0.0089605
