               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12209,            0.035992,                   0,                   0,                   0,                   0,                   0,             0.10095,            0.021773,                   0,            0.070158,           0.0033158,           0.0033158
                   1,             0.11954,            0.024391,                   0,          1.7544e-05,           0.0023337,            9.25e-06,          4.6785e-06,             0.10139,            0.018622,                   0,            0.040125,           0.0066162,           0.0066162
                   2,             0.12092,            0.023625,                   0,          0.00069445,            0.092182,          0.00049554,          9.7542e-05,              0.1006,            0.019179,                   0,            0.010059,           0.0098836,           0.0098836
                   3,             0.10867,            0.029514,                   0,            0.073381,            0.016336,           0.0094985,           0.0022895,             0.09231,            0.029965,                   0,           0.0098515,           0.0098515,           0.0098515
                   4,            0.097708,            0.033532,                   0,             0.13682,             0.18203,            0.071188,            0.015763,            0.072893,             0.03216,                   0,           0.0098515,           0.0098515,           0.0098515
                   5,             0.08991,            0.034427,                   0,             0.24845,             0.31438,             0.16503,            0.036159,            0.063295,            0.031206,                   0,            0.009802,            0.009802,            0.009802
                   6,            0.082219,            0.034341,                   0,             0.27223,             0.25554,             0.17781,            0.039958,            0.064323,            0.029751,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,            0.076257,            0.035023,                   0,             0.30163,             0.27305,             0.18086,            0.044117,             0.06006,            0.036581,                   0,            0.009703,            0.009703,            0.009703
                   8,            0.073213,            0.035044,                   0,             0.37046,             0.37573,             0.28168,            0.062196,            0.055208,              0.0309,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,            0.071646,            0.035004,                   0,             0.44366,              0.4084,             0.34686,            0.084352,            0.053666,            0.031306,                   0,            0.009604,            0.009604,            0.009604
                  10,            0.070627,            0.035078,                   0,             0.45777,             0.39699,             0.30904,            0.074988,            0.053782,            0.030048,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,            0.065856,              0.0347,                   0,             0.51075,             0.40443,             0.40763,             0.10552,              0.0528,            0.031754,                   0,            0.009505,            0.009505,            0.009505
                  12,            0.066291,            0.035046,                   0,             0.48596,             0.46221,             0.37633,            0.099164,            0.053149,            0.030213,                   0,           0.0094555,           0.0094555,           0.0094555
